num_layers,learning_rate,baseline_mean_test,pairnorm_mean_test,n_pairs,mean_gain,mean_gain_percentage_points,std_gain,median_gain,minimum_gain,maximum_gain,positive_splits,negative_splits,zero_splits,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,mean_gain_ci95_low,mean_gain_ci95_high,cohen_dz,exact_sign_flip_holm_pvalue
4,0.0003,0.7625132368513943,0.5780444758206849,10,-0.18446876103070947,-18.44687610307095,0.006592056344727278,-0.18372749735262972,-0.1967878573949876,-0.17419696434874687,0,10,0,1.5230451128130312e-14,0.001953125,0.001953125,-0.18918443406157437,-0.17975308799984457,-27.983492765236853,0.0234375
4,0.001,0.7882456759618778,0.6963289798799859,10,-0.091916696081892,-9.1916696081892,0.008276422021886904,-0.09089304624073424,-0.11207200847158483,-0.08224496999647013,0,10,0,6.081169696769839e-11,0.001953125,0.001953125,-0.09783729173212277,-0.08599610043166123,-11.105849343933809,0.0234375
4,0.003,0.7948641016590187,0.7718672785033533,10,-0.02299682315566537,-2.299682315566537,0.0038542252391651657,-0.022767384398164447,-0.028944581715495854,-0.017119661136604347,0,10,0,1.516806748828235e-08,0.001953125,0.001953125,-0.025753969797736732,-0.020239676513594006,-5.966652628907213,0.0234375
4,0.005,0.8003176844334627,0.779368160960113,10,-0.02094952347334981,-2.094952347334981,0.005211760369699635,-0.02250264737027885,-0.027709142252029695,-0.010942463819272774,0,10,0,4.707852543373705e-07,0.001953125,0.001953125,-0.024677792246170786,-0.01722125470052883,-4.019663604479416,0.0234375
4,0.01,0.8026473702788562,0.7848570420049417,10,-0.01779032827391457,-1.7790328273914569,0.005514895851011458,-0.018090363572184964,-0.026650194140487082,-0.008824567596187771,0,10,0,3.0310427303191058e-06,0.001953125,0.001953125,-0.021735447106742058,-0.013845209441087079,-3.2258684034172176,0.0234375
4,0.03,0.7744617013766325,0.7874161666078361,10,0.01295446523120366,1.295446523120366,0.013622825694451618,0.01085421814331089,-0.00635368866925512,0.045711260148252775,9,1,0,0.014784454845413124,0.005859375,0.005859375,0.0032092827916022915,0.02269964767080503,0.9509381916616484,0.0234375
8,0.0003,0.6700847158489234,0.4339922343805154,10,-0.23609248146840808,-23.60924814684081,0.012499788789352791,-0.23076244264031065,-0.25361807271443704,-0.2199082244969996,0,10,0,5.209294303828148e-13,0.001953125,0.001953125,-0.24503429170226723,-0.22715067123454893,-18.887717660438355,0.0234375
8,0.001,0.7232792093187433,0.6344158136251323,10,-0.088863395693611,-8.8863395693611,0.015632580286876138,-0.08842216731380159,-0.12213201553123898,-0.06318390398870455,0,10,0,2.3217965846639224e-08,0.001953125,0.001953125,-0.10004626996024503,-0.07768052142697697,-5.684499555598866,0.0234375
8,0.003,0.7817154959406989,0.7381927285563007,10,-0.0435227673843982,-4.352276738439819,0.015146116316932228,-0.04756441934345218,-0.06794917049064597,-0.018708083303918044,0,10,0,7.892127853634064e-06,0.001953125,0.001953125,-0.054357646290618344,-0.03268788847817805,-2.8735265512085757,0.0234375
8,0.005,0.7984821743734557,0.7569361101306036,10,-0.04154606424285212,-4.1546064242852125,0.008763249330504553,-0.04200494175785391,-0.05647723261560178,-0.027709142252029695,0,10,0,1.133224455729939e-07,0.001953125,0.001953125,-0.04781491517032625,-0.03527721331537799,-4.740942848474227,0.0234375
8,0.01,0.7766678432756795,0.7583480409459936,10,-0.01831980232968585,-1.831980232968585,0.018475908849701392,-0.021443699258736293,-0.036533709848217466,0.01535474761736677,2,8,0,0.012013639994939198,0.01953125,0.01953125,-0.03153667131973083,-0.005102933339640873,-0.991550806984087,0.0234375
8,0.03,0.2801800211789622,0.7508824567596187,10,0.4707024355806567,47.07024355806567,0.22218141994994084,0.6036004235792447,0.11895517119661136,0.6191316625485352,10,0,0,8.859310007551033e-05,0.001953125,0.001953125,0.31176342243717103,0.6296414487241424,2.118549947546062,0.0234375
