seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss
,,,,,,,,,,
1,0,0.7899752912107306,0.8014472290857748,0.7790328273914578,0.7573243911048358,0.011471937875044191,-0.021708436286622,-0.03318037416166619,-0.011471937875044191,0.021708436286622
1,1,0.8079774091069538,0.815743028591599,0.7802682668549241,0.7592657959759972,0.007765619484645159,-0.021002470878926927,-0.028768090363572085,-0.007765619484645159,0.021002470878926927
1,2,0.7961524885280621,0.7950935404165196,0.7816801976703142,0.7507942110836568,-0.0010589481115425015,-0.03088598658665731,-0.02982703847511481,0.0010589481115425015,0.03088598658665731
1,3,0.8016237204376986,0.7968584539357572,0.7772679138722203,0.7569714084009883,-0.004765266501941423,-0.020296505471231963,-0.01553123896929054,0.004765266501941423,0.020296505471231963
1,4,0.7986233674549947,0.801270737733851,0.7737380868337451,0.7530885986586657,0.002647370278856309,-0.02064948817507939,-0.023296858453935698,-0.002647370278856309,0.02064948817507939
1,5,0.8116837274973526,0.7894458171549594,0.7869749382280268,0.7617366749029297,-0.022237910342393197,-0.025238263325097043,-0.0030003529827038466,0.022237910342393197,0.025238263325097043
1,6,0.798446876103071,0.8051535474761736,0.7802682668549241,0.7553829862336745,0.006706671373102657,-0.024885280621249617,-0.031591951994352274,-0.006706671373102657,0.024885280621249617
1,7,0.8035651253088598,0.800564772326156,0.7809742322626191,0.7689728203318037,-0.0030003529827038466,-0.012001411930815387,-0.00900105894811154,0.0030003529827038466,0.012001411930815387
1,8,0.8030356512530886,0.7864454641722556,0.7837980938933993,0.7507942110836568,-0.01659018708083304,-0.033003882809742424,-0.016413695728909383,0.01659018708083304,0.033003882809742424
1,9,0.7920931874338157,0.7927991528415108,0.7696787857394988,0.7550300035298271,0.000705965407695075,-0.014648782209671696,-0.01535474761736677,-0.000705965407695075,0.014648782209671696
