comparison,interpretation,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue,baseline_mean_depth_loss,pairnorm_mean_depth_loss,absolute_depth_loss_reduction,relative_depth_loss_reduction
GraphSAGE L8 minus L4,Negative values indicate depth degradation.,10,-0.0041651959054006425,-0.41651959054006427,0.009015159521411785,-0.002823861630780078,-0.01659018708083304,0.008648076244264002,3,7,0,-0.010614252527629101,0.0022838607168278163,0.17801880946459225,0.265625,0.1796875,-0.46202132036687105,0.17801880946459225,0.265625,0.1796875,0.0041651959054006425,0.02906812566184258,-0.024902929756441938,-5.978813559322025
PairNorm L8 minus L4,Negative values indicate depth degradation.,10,-0.02906812566184258,-2.906812566184258,0.010827376444286324,-0.03220967172608541,-0.04024002823861628,-0.010060007059654152,0,10,0,-0.03681356417499828,-0.021322687148686882,1.3727724869192777e-05,0.001953125,0.001953125,-2.6846878199364737,4.118317460757833e-05,0.005859375,0.005859375,0.0041651959054006425,0.02906812566184258,-0.024902929756441938,-5.978813559322025
PairNorm depth interaction,Positive values indicate that PairNorm reduces the L4-to-L8 depth penalty.,10,-0.024902929756441938,-2.4902929756441936,0.012428815123396478,-0.028591599011648372,-0.044299329332862625,-0.0065301800211789995,0,10,0,-0.033793968488215934,-0.016011891024667945,0.00013508058655295615,0.001953125,0.001953125,-2.0036447166684224,0.0002701611731059123,0.005859375,0.005859375,0.0041651959054006425,0.02906812566184258,-0.024902929756441938,-5.978813559322025
