seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss,relative_depth_loss_reduction
,,,,,,,,,,,
1,0,0.801976703141546,0.8014472290857748,0.7894458171549594,0.7576773738086834,-0.0005294740557711952,-0.03176844334627604,-0.031238969290504848,0.0005294740557711952,0.03176844334627604,-59.00000000000818
1,1,0.807094952347335,0.815743028591599,0.7889163430991881,0.7645605365337098,0.008648076244264002,-0.02435580656547831,-0.03300388280974231,-0.008648076244264002,0.02435580656547831,3.8163265306122565
1,2,0.8003882809742323,0.7950935404165196,0.7903282739145782,0.7541475467702082,-0.005294740557712729,-0.03618072714436993,-0.0308859865866572,0.005294740557712729,0.03618072714436993,-5.83333333333326
1,3,0.8003882809742323,0.7968584539357572,0.7834451111895517,0.7733851041298976,-0.003529827038475153,-0.010060007059654152,-0.0065301800211789995,0.003529827038475153,0.010060007059654152,-1.8499999999999905
1,4,0.7954465231203671,0.801270737733851,0.7823861630780091,0.7439110483586304,0.0058242146134839246,-0.0384751147193787,-0.044299329332862625,-0.0058242146134839246,0.0384751147193787,7.606060606060614
1,5,0.8060360042357925,0.7894458171549594,0.7961524885280621,0.7635015884221673,-0.01659018708083304,-0.032650900105894776,-0.016060713025061735,0.01659018708083304,0.032650900105894776,-0.9680851063829764
1,6,0.8026826685492411,0.8051535474761736,0.7882103776914932,0.7763854571126014,0.0024708789269325404,-0.011824920578891729,-0.01429579950582427,-0.0024708789269325404,0.011824920578891729,5.785714285714401
1,7,0.8145075891281327,0.800564772326156,0.7903282739145782,0.7500882456759619,-0.013942816801976732,-0.04024002823861628,-0.026297211436639545,0.013942816801976732,0.04024002823861628,-1.8860759493670805
1,8,0.8030356512530886,0.7864454641722556,0.7873279209318743,0.7605012354394635,-0.01659018708083304,-0.02682668549241085,-0.01023649841157781,0.01659018708083304,0.02682668549241085,-0.6170212765957432
1,9,0.7949170490645958,0.7927991528415108,0.7776208965760678,0.7393222732086128,-0.002117896223085003,-0.03829862336745504,-0.03618072714437004,0.002117896223085003,0.03829862336745504,-17.08333333333392
