model,num_layers,hidden_channels,learning_rate,n,mean_best_val_acc,std_best_val_acc,mean_test_at_best_val,std_test_at_best_val,mean_final_test_acc,std_final_test_acc,mean_best_epoch,std_best_epoch,best_epoch_at_cap_count,best_epoch_last_10_percent_count
GraphSAGE,4,128,0.0003,10,0.7652603706972639,0.0036810104363914128,0.7625132368513943,0.005258139169603609,0.7628485704200494,0.0051704235254727655,794.3,4.498147766951797,3,10
GraphSAGE,4,128,0.001,10,0.7932568402471315,0.004492604722987635,0.7882456759618779,0.005595886162833649,0.7890751853159195,0.006405471785189343,682.2,80.40287446492334,0,3
GraphSAGE,4,128,0.003,10,0.8014827890556045,0.005074796077362641,0.7948641016590188,0.005250794867260029,0.7882280268266855,0.006488681344223873,449.5,130.96161439309017,0,1
GraphSAGE,4,128,0.005,10,0.805260370697264,0.00410353135281065,0.8003176844334627,0.006715026285658874,0.7937169078715143,0.007095254785991719,317.1,115.80582407154179,0,0
GraphSAGE,4,128,0.01,10,0.8095498676081201,0.005070871662905169,0.8026473702788562,0.00571885239889084,0.7975467702082598,0.006226835672898938,412.2,95.88975150893052,0,0
GraphSAGE,4,128,0.03,10,0.7770344218887908,0.009730093214364731,0.7744617013766326,0.01419178997317609,0.7666607836216025,0.013177876493081551,753.2,43.01885891353026,0,8
GraphSAGEPairNorm,4,128,0.0003,10,0.5794704324801412,0.007090772350930026,0.5780444758206847,0.009781011378032386,0.57837980938934,0.009395372160540892,789.2,10.130262692656212,1,10
GraphSAGEPairNorm,4,128,0.001,10,0.7019770520741394,0.004867136650344643,0.6963289798799859,0.009459160805969435,0.697652665019414,0.00979043696908757,792.6,7.791733511299723,3,10
GraphSAGEPairNorm,4,128,0.003,10,0.7758340688437776,0.0033765104808537324,0.7718672785033533,0.004946797893781812,0.7699611719025767,0.00464291168805208,773.0,26.0,0,9
GraphSAGEPairNorm,4,128,0.005,10,0.7858781994704325,0.0028231339890309177,0.779368160960113,0.004911867030022312,0.7782386163078009,0.004853601314131222,745.8,44.59397069360636,0,8
GraphSAGEPairNorm,4,128,0.01,10,0.7920741394527802,0.0023232072782784887,0.7848570420049418,0.00598800360042334,0.7844334627603248,0.005290293722974117,673.3,87.9520702807311,0,3
GraphSAGEPairNorm,4,128,0.03,10,0.7927978817299206,0.001951174882516043,0.7874161666078362,0.005134958180718718,0.7773561595481822,0.010329477931749558,657.2,94.7755242665531,0,3
GraphSAGE,8,128,0.0003,10,0.6700794351279789,0.00657070633722563,0.6700847158489234,0.005281028380431998,0.6697670314154607,0.004786246755428118,797.0,3.126943839882288,4,10
GraphSAGE,8,128,0.001,10,0.7264607237422772,0.012110410300503293,0.7232792093187433,0.012989798139035827,0.7237910342393222,0.013505913497853125,787.1,11.522441870830457,0,10
GraphSAGE,8,128,0.003,10,0.7857016769638129,0.017412115787637947,0.7817154959406989,0.015102774724590848,0.7808683374514649,0.016187933724243545,779.2,15.76071064387645,0,10
GraphSAGE,8,128,0.005,10,0.801729920564872,0.010691170941921067,0.7984821743734557,0.008408351290662246,0.7976879632897987,0.008331957982777027,772.3,31.843541120784778,1,9
GraphSAGE,8,128,0.01,10,0.7789938217122683,0.014099717950726091,0.7766678432756795,0.013677086578811509,0.7753971055418284,0.012821313569485997,761.7,29.02125657743533,0,9
GraphSAGE,8,128,0.03,10,0.28208296557811113,0.22449528491783496,0.2801800211789621,0.22195462491114268,0.2743558065654782,0.2178414016413989,249.4,336.8515004172214,0,2
GraphSAGEPairNorm,8,128,0.0003,10,0.43609885260370695,0.009666834782517337,0.4339922343805154,0.009429403649910741,0.4331627250264737,0.00978958850720741,792.2,5.181162460726783,1,10
GraphSAGEPairNorm,8,128,0.001,10,0.6384289496910857,0.015542013399987136,0.6344158136251323,0.016314226008633314,0.6339392869749382,0.017004025592139746,783.8,11.390054140930726,1,10
GraphSAGEPairNorm,8,128,0.003,10,0.742153574580759,0.00666801940123935,0.7381927285563007,0.007193787889302379,0.7386339569361101,0.00664521125389815,760.4,60.88459027811005,0,9
GraphSAGEPairNorm,8,128,0.005,10,0.7609532215357457,0.0093971596083732,0.7569361101306036,0.005475215747826664,0.7564772326156018,0.00592630289998,748.5,59.94673561680495,1,7
GraphSAGEPairNorm,8,128,0.01,10,0.762559576345984,0.014672136668751256,0.7583480409459936,0.011916267160223834,0.756671373102718,0.012269231174203692,749.0,49.00793586530426,0,8
GraphSAGEPairNorm,8,128,0.03,10,0.7564518976169461,0.0076448037066133515,0.7508824567596187,0.006519969460433279,0.7438581009530533,0.009482859151994004,722.8,91.53481426332947,0,7
