comparison,learning_rate,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue,baseline_mean_depth_loss,pairnorm_mean_depth_loss,absolute_depth_loss_reduction,relative_depth_loss_reduction
GraphSAGE L8 minus L4,0.005,10,-0.0018355100600070617,-0.18355100600070617,0.010610769413791996,-0.00017649135192371324,-0.022237910342393197,0.011471937875044191,5,5,0,-0.009425997238013016,0.005754977117998893,0.5976593620202775,0.845703125,0.603515625,-0.17298557610923532,0.5976593620202775,0.845703125,0.603515625,0.0018355100600070617,0.022432050829509376,-0.020596540769502313,-11.221153846153843
PairNorm L8 minus L4,0.005,10,-0.022432050829509376,-2.243205082950938,0.0064705205429037,-0.021355453582774464,-0.033003882809742424,-0.012001411930815387,0,10,0,-0.027060782385214963,-0.01780331927380379,1.6563110040569217e-06,0.001953125,0.001953125,-3.46680776002031,4.968933012170765e-06,0.005859375,0.005859375,0.0018355100600070617,0.022432050829509376,-0.020596540769502313,-11.221153846153843
PairNorm depth interaction,0.005,10,-0.020596540769502313,-2.059654076950231,0.010291478950044676,-0.01985527709142254,-0.03318037416166619,-0.0030003529827038466,0,10,0,-0.027958621309250403,-0.013234460229754223,0.00013626128905739568,0.001953125,0.001953125,-2.0013198170524267,0.00027252257811479137,0.005859375,0.005859375,0.0018355100600070617,0.022432050829509376,-0.020596540769502313,-11.221153846153843
