epoch,loss,train_acc,val_acc,test_acc,gradient_norm
1,1.101043462753296,0.433062881231308,0.4284989833831787,0.4226982295513153,0.22179221089151818
2,1.0666919946670532,0.6135902404785156,0.610547661781311,0.6086282134056091,0.13587066947156995
3,1.0575894117355347,0.6430020332336426,0.6495943069458008,0.6478310227394104,0.1303113691076595
4,1.0230741500854492,0.6602433919906616,0.6708924770355225,0.666746199131012,0.10462038001104366
5,0.9364027380943298,0.6784989833831787,0.6784989833831787,0.6700876951217651,0.14062991561572893
6,0.8795700669288635,0.6855983734130859,0.6820486783981323,0.6735485196113586,0.12366466603396502
7,0.8223497867584229,0.7119675278663635,0.6825557351112366,0.6718181371688843,0.1080054691989489
8,0.7687286138534546,0.7322515249252319,0.6663286089897156,0.664359450340271,0.08143531248242455
9,0.7167983055114746,0.7423934936523438,0.6419878005981445,0.643952488899231,0.08422921083689532
10,0.6887111663818359,0.7636916637420654,0.6430020332336426,0.6450862288475037,0.12693336101148114
11,0.631881058216095,0.7748478651046753,0.6485801339149475,0.6506354808807373,0.11589097639131266
12,0.5996946692466736,0.7931034564971924,0.6318458318710327,0.6412076950073242,0.1250099371952445
13,0.5427383780479431,0.8215010166168213,0.6115618348121643,0.6230682134628296,0.10889193069062997
14,0.5230605006217957,0.8509127497673035,0.6232251524925232,0.6379258632659912,0.15209514818177922
15,0.47265228629112244,0.8843812942504883,0.6277890205383301,0.6426397562026978,0.14397336679462291
16,0.43536296486854553,0.9137930870056152,0.6303245425224304,0.6310042142868042,0.13684533559559817
17,0.3919087052345276,0.9371196627616882,0.6470587849617004,0.6400142908096313,0.15871558543923817
18,0.36602774262428284,0.9492900371551514,0.6774847507476807,0.6757562756538391,0.1589818934869831
19,0.31298235058784485,0.9604462385177612,0.6942190527915955,0.7024285197257996,0.16408757973091095
20,0.2664290964603424,0.9746450185775757,0.7175456285476685,0.71889728307724,0.15322703976252086
21,0.25985854864120483,0.9797160029411316,0.7317444086074829,0.7325615882873535,0.20478856175383806
22,0.1894747018814087,0.9858012199401855,0.7363082766532898,0.7355450391769409,0.13844791717040925
23,0.18554845452308655,0.9898579716682434,0.7297160029411316,0.740079939365387,0.11124941993035292
24,0.16720615327358246,0.993914783000946,0.7322515249252319,0.7461662292480469,0.1496591930158467
25,0.14816166460514069,0.9949289560317993,0.7393509149551392,0.750283420085907,0.12401652123239729
26,0.11655362695455551,0.9949289560317993,0.7378296256065369,0.7480756640434265,0.12042890136777189
27,0.11360027641057968,0.9949289560317993,0.7388437986373901,0.7439584732055664,0.19139900767063178
28,0.12325777113437653,0.9959431886672974,0.7408722043037415,0.7500447630882263,0.15726767327002633
29,0.11164084821939468,0.9979715943336487,0.743914783000946,0.7440778017044067,0.22920880582330358
30,0.12768980860710144,0.998985767364502,0.743914783000946,0.7452114820480347,0.20302356672888358
31,0.11916150897741318,0.998985767364502,0.7586206793785095,0.7554746270179749,0.23964463771144567
32,0.08565953373908997,0.998985767364502,0.7550709843635559,0.7636493444442749,0.1353594718687104
33,0.14328160881996155,0.9969573616981506,0.7535496950149536,0.7601288557052612,0.2233568513138957
