dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,1,convs.0,2048,2048,3,0.20380766689777374,0.20853690803050995,0.004729241132736206,0.006187915802001953,0.015793679282069206,test,0.2062855362892151,0.15753552317619324,0.03132489696145058,0.31044813050239084,128,121.36434173583984,0.9481589198112488,0.3170098662376404,0.000166926474776119,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,2,convs.1,2048,2048,3,0.012338856235146523,0.01251449715346098,0.00017564091831445694,0.00019627809524536133,0.010416642762720585,test,0.012084782123565674,0.00770961819216609,0.005171858239918947,0.01552646448284803,128,101.15460968017578,0.7902703881263733,0.5771085023880005,3.171804564772174e-05,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,3,convs.2,2048,2048,3,0.0023892170283943415,0.0024277586489915848,3.854162059724331e-05,4.225969314575195e-05,0.01167985051870346,test,0.0023748278617858887,0.0014036184875294566,0.0010014568688347936,0.002826758857544405,128,85.12464141845703,0.6650362610816956,0.5952061414718628,6.7385899455985054e-06,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,4,convs.3,2048,2048,3,0.00042076403042301536,0.0004253154038451612,4.5513734221458435e-06,5.245208740234375e-06,0.008180443197488785,test,0.00041049718856811523,0.00022749981144443154,0.00019877245358657092,0.0004587779125979229,128,74.70629119873047,0.5836428999900818,0.6582276225090027,1.4076683783059707e-06,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,5,convs.4,2048,2048,3,8.946301386458799e-05,9.044048056239262e-05,9.774666978046298e-07,1.0728836059570312e-06,0.008282878436148167,test,8.779764175415039e-05,4.642365456675179e-05,5.017354487790726e-05,9.340028459309058e-05,128,73.6735610961914,0.5755746960639954,0.7329310178756714,3.6612618714571e-07,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,6,convs.5,2048,2048,3,2.0013123503304087e-05,2.0153944205958396e-05,1.4082070265430957e-07,1.1920928955078125e-07,0.005667506251484156,test,1.990795135498047e-05,1.0274256055708975e-05,1.2603354662132915e-05,2.072495808840097e-05,128,68.46179962158203,0.5348578095436096,0.7798233032226562,9.715165560919559e-08,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,7,convs.6,2048,2048,3,4.647401510737836e-06,4.687184627982788e-06,3.978311724495143e-08,0.0,0.006885269191116095,test,4.649162292480469e-06,2.3542515918961726e-06,3.2047908007371007e-06,4.757896227561799e-06,128,62.70065689086914,0.48984888195991516,0.8207150101661682,2.4843973989163715e-08,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,0,8,convs.7,2048,2048,3,5.130106615069963e-07,5.193376182432985e-07,6.326956736302236e-09,0.0,0.005861612036824226,test,5.960464477539062e-07,2.4019902866712073e-07,1.158864026962192e-08,6.982102112834055e-07,3,2.9625747203826904,0.9875249067942301,0.12883180379867554,4.482918924963997e-09,
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,1,1,convs.0,2048,2048,3,0.20028769969940186,0.20535989105701447,0.00507219135761261,0.006594657897949219,0.01721872203052044,test,0.1962760090827942,0.15241949260234833,0.029335221275687218,0.3007184104913449,128,121.12447357177734,0.9462849497795105,0.31173112988471985,0.00015624682419002056,0.26056983981156284
RW-PubMed-H0.1-LOW-LRSENS-G1-LR0p001,GraphSAGE,65,0,8,128,1,2,convs.1,2048,2048,3,0.011369453743100166,0.011539488099515438,0.00017003435641527176,0.00018894672393798828,0.010904456488788128,test,0.011251270771026611,0.007171065546572208,0.004709432367235422,0.01444455711155893,128,101.23519134521484,0.790899932384491,0.5709591507911682,2.889349161705468e-05,0.26056983981156284
