dataset,variant,n,test_mean,test_std,nde_mean,nde_std,effective_rank_mean,effective_rank_std,rank_ratio_mean,pairwise_mean,pairwise_std
PubMed,baseline,25,0.39936748147010803,0.0,5.335435557343448e-16,2.610262551255767e-15,1.0432522869110108,0.14490846671785532,0.00815040849149224,1.9073486328125e-08,7.44461774635124e-08
PubMed,center,25,0.39936748147010803,0.0,6.172439500321806e-31,2.8332943225778843e-30,0.0,0.0,0.0,3.337860107421875e-08,8.787053580083839e-08
PubMed,scale,25,0.808212878704071,0.00997178862704015,1.967170986947044,0.1205379993652302,3.719081678390503,0.21409369970779266,0.02905532561242576,0.7791251611709594,0.048212363253834205
PubMed,full,25,0.832791907787323,0.005210699425111105,2.688813588178345,0.14945195824017662,4.538836784362793,0.21112350901495935,0.035459662377834274,0.996573543548584,0.0030647476203967175
Roman-Empire,baseline,25,0.9838176703453064,0.002871039596158837,0.07274879345170034,0.028489120716486835,9.895436248779298,0.7632230833872691,0.07730809569358822,0.8785216283798217,0.03852640329211302
Roman-Empire,center,25,0.9822768998146058,0.0037240773559073037,0.06075539431890222,0.042637836449399134,1.894265193939209,0.92743515853566,0.014798946827650018,0.3454513192176819,0.11911733390858913
Roman-Empire,scale,25,0.9785723876953125,0.00354776994848996,0.12837723989451746,0.029874302415792156,14.796049346923828,3.171226883337987,0.11559413552284237,0.8571234273910523,0.0857854657898186
Roman-Empire,full,25,0.9821377730369568,0.002237828804407488,0.1732145472293093,0.016807333078973828,16.413024826049806,1.1165950911274818,0.12822675645351406,0.9970168042182922,0.001130416827964161
