model,distance,width,graph_seed,init_seed,test_acc,matched_influence,distractor_influence,specificity,best_epoch
GraphSAGERewired,10,1,2,47,1.0,0.008137884193274658,8.979351265314683e-08,0.9999889659867691,5
GraphSAGERewired,10,1,3,11,1.0,0.010247518279356882,1.0701497840659435e-07,0.9999895569973215,4
GraphSAGERewired,10,1,3,29,1.0,0.021244862626190297,4.4764087470117175e-07,0.9999789298499738,4
GraphSAGERewired,10,1,3,47,1.0,0.0018181668856414035,1.8604063140026383e-07,0.9998976867314315,4
GraphSAGERewired,10,1,4,11,1.0,0.007388479387373081,1.158552408592195e-07,0.9999843195848412,3
GraphSAGERewired,10,1,4,29,1.0,0.018196595046902075,4.170405035752722e-07,0.9999770818691801,4
GraphSAGERewired,10,1,4,47,1.0,0.01577707978140097,4.146886066758171e-07,0.9999737163839647,5
GraphSAGERewired,10,1,5,11,1.0,0.017535773982672254,1.6295292375179127e-07,0.9999907074298716,4
GraphSAGERewired,10,1,5,29,1.0,0.010853039209905546,1.7735016019648775e-07,0.9999836591153232,4
GraphSAGERewired,10,1,5,47,1.0,0.0022811442649981473,1.5728655297642113e-07,0.9999310535896491,4
GraphSAGE,10,2,1,11,0.59375,0.02355230544344522,0.0235415154020302,0.5001145589826975,72
GraphSAGE,10,2,1,29,0.5927734375,0.03823769264272414,0.03821593659813516,0.5001422826084564,59
GraphSAGE,10,2,1,47,0.587890625,0.029737304837908596,0.029419738450087607,0.502684096171521,79
GraphSAGE,10,2,2,11,0.5986328125,0.0314236832637107,0.031722684783744626,0.497632472537419,61
GraphSAGE,10,2,2,29,0.5983072916666666,0.03505551227135584,0.03462629992282018,0.5030798018450887,39
GraphSAGE,10,2,2,47,0.5953776041666666,0.028370918560540304,0.028212839883053675,0.5013968555715631,41
GraphSAGE,10,2,3,11,0.6188151041666666,0.4884556149727928,0.16236748077972152,0.750519792797558,232
GraphSAGE,10,2,3,29,0.6116536458333334,0.1434386349565102,0.11681582624805742,0.5511476510030393,197
GraphSAGE,10,2,3,47,0.603515625,0.029793075111228973,0.03001784547814168,0.49812099223942646,27
GraphSAGE,10,2,4,11,0.5944010416666666,0.031979339953977615,0.03204990379163064,0.4994489717937925,30
GraphSAGE,10,2,4,29,0.6057942708333334,0.03114697482669726,0.03156946846866049,0.49663171553776736,38
GraphSAGE,10,2,4,47,0.5989583333333334,0.02360687987493293,0.02329229350652895,0.5033538583381687,39
GraphSAGE,10,2,5,11,0.5999348958333334,0.034065226604980126,0.034664767215872416,0.4956384354300518,147
GraphSAGE,10,2,5,29,0.5992838541666666,0.035054913198109716,0.03108417565090349,0.5300180847305809,28
GraphSAGE,10,2,5,47,0.6002604166666666,0.026884392980718985,0.026438576373038813,0.5041803430311068,40
GraphSAGERewired,10,2,1,11,1.0,0.004210963534205803,1.0133511885168645e-07,0.9999759357497515,4
GraphSAGERewired,10,2,1,29,1.0,0.03627060621511191,4.892036328807414e-07,0.9999865125487053,4
GraphSAGERewired,10,2,1,47,1.0,0.007953748339787126,2.3699361872964175e-07,0.9999702042927204,5
GraphSAGERewired,10,2,2,11,1.0,0.04990161382011138,6.355144437364402e-07,0.9999872647936277,5
GraphSAGERewired,10,2,2,29,1.0,0.0312195576261729,9.973238481730817e-07,0.9999680555054279,4
GraphSAGERewired,10,2,2,47,1.0,0.005513105003046803,2.3276727778576145e-07,0.9999577808784006,5
GraphSAGERewired,10,2,3,11,1.0,0.00891671079898515,2.1483135664857045e-07,0.9999759073513079,4
GraphSAGERewired,10,2,3,29,1.0,0.0023447978082913323,2.695799902197038e-07,0.9998850433930164,3
GraphSAGERewired,10,2,3,47,1.0,0.001181211625407741,1.9597294576012558e-07,0.9998341182620906,4
GraphSAGERewired,10,2,4,11,1.0,0.007231904749460227,2.046759758345118e-07,0.9999716988552348,3
GraphSAGERewired,10,2,4,29,1.0,0.01347385184635641,7.014959422235734e-07,0.9999479391320549,4
GraphSAGERewired,10,2,4,47,1.0,0.00962250265001785,8.210078592529868e-07,0.9999146855194363,5
GraphSAGERewired,10,2,5,11,1.0,0.01778552765972563,3.470755901568978e-07,0.9999804858296091,4
GraphSAGERewired,10,2,5,29,1.0,0.11246744869276881,9.956531976662575e-07,0.9999911472573177,5
GraphSAGERewired,10,2,5,47,1.0,0.0031202540558297187,3.9033584256498166e-07,0.999874917871616,4
GraphSAGE,10,4,1,11,0.6442057291666666,0.06855037197237834,0.0688670989475213,0.49884757384188333,43
GraphSAGE,10,4,1,29,0.6790364583333334,3.124717168218922,0.8283686318900436,0.7904501258566154,117
GraphSAGE,10,4,1,47,0.6458333333333334,0.06939961906755343,0.06714619905687869,0.508251516013492,37
GraphSAGE,10,4,2,11,0.7392578125,2.1935460750755738,1.3888655042246683,0.6123098997752319,389
GraphSAGE,10,4,2,29,0.6350911458333334,0.0038101411832940357,0.003769555941573799,0.5026772336708368,12
GraphSAGE,10,4,2,47,0.6350911458333334,0.010336238040054013,0.01015571070547594,0.5044048356701225,11
GraphSAGE,10,4,3,11,0.6295572916666666,0.0751104824594222,0.07534470118116587,0.4992216329239223,26
GraphSAGE,10,4,3,29,0.7330729166666666,3.436373382486636,0.9309008058835389,0.7868462648021353,194
GraphSAGE,10,4,3,47,0.6380208333333334,0.0664354077889584,0.06679873977554962,0.4986364907411871,30
GraphSAGE,10,4,4,11,0.634765625,0.07684032979886979,0.07670073112240061,0.5004545972088204,69
GraphSAGE,10,4,4,29,0.6363932291666666,0.07735537679400295,0.0772747490555048,0.5002607116079569,21
GraphSAGE,10,4,4,47,0.6360677083333334,0.06739009753800929,0.06752681120997295,0.4994933412193055,33
GraphSAGE,10,4,5,11,0.6409505208333334,0.07118032278958708,0.06868565792683512,0.5089180544438181,55
GraphSAGE,10,4,5,29,0.6373697916666666,0.08124658931046724,0.08079079014714807,0.5014064630144046,28
GraphSAGE,10,4,5,47,0.6442057291666666,0.07213333423715085,0.06711106025613844,0.5180340257080093,90
GraphSAGERewired,10,4,1,11,1.0,0.004208538788589067,3.4293591139045176e-07,0.9999185206585129,4
GraphSAGERewired,10,4,1,29,1.0,0.03917361018829979,2.241374766231985e-06,0.9999427868016457,4
GraphSAGERewired,10,4,1,47,1.0,0.007176697165050427,1.59790265508164e-06,0.9997773978862964,5
GraphSAGERewired,10,4,2,11,1.0,0.051517039799364284,7.716788015255105e-07,0.9999850211066936,5
GraphSAGERewired,10,4,2,29,1.0,0.004305674712668406,4.322236701326254e-07,0.9998996251889647,3
GraphSAGERewired,10,4,2,47,1.0,0.008071497693890706,4.184507124138648e-07,0.999948159556558,5
GraphSAGERewired,10,4,3,11,1.0,0.00967805968321045,4.083324826043011e-07,0.9999578101118999,4
GraphSAGERewired,10,4,3,29,1.0,0.0023866168785389164,6.537389160010676e-07,0.9997261559242814,3
GraphSAGERewired,10,4,3,47,1.0,0.0015177133332144876,4.784191669215954e-07,0.999684875006167,4
GraphSAGERewired,10,4,4,11,1.0,0.0073128169069605065,5.190445286351597e-07,0.999929027528339,3
GraphSAGERewired,10,4,4,29,1.0,0.013929151456977706,1.4423004786046079e-06,0.9998964651827759,4
GraphSAGERewired,10,4,4,47,1.0,0.011181347079400439,1.2475153744473388e-06,0.9998884412410945,5
GraphSAGERewired,10,4,5,11,1.0,0.01619035164185334,5.705856762627803e-07,0.9999647588526331,4
GraphSAGERewired,10,4,5,29,1.0,0.01111219055019319,7.597968436634517e-07,0.9999316295115277,4
GraphSAGERewired,10,4,5,47,1.0,0.0023333595891017467,6.894664237311332e-07,0.9997046045704123,4
GraphSAGE,10,8,1,11,0.6966145833333334,0.3668978326022625,0.29607118968851864,0.5534162536493087,67
GraphSAGE,10,8,1,29,0.701171875,0.2269964092411101,0.2090990743599832,0.5205199727503449,19
GraphSAGE,10,8,1,47,0.6979166666666666,0.19362802268005908,0.18102831684518605,0.5168150175302058,104
GraphSAGE,10,8,2,11,0.7093098958333334,0.40213336679153144,0.40179463010281324,0.5002106760114254,37
GraphSAGE,10,8,2,29,0.9772135416666666,19.243760877288878,10.590201125945896,0.645028671525482,325
GraphSAGE,10,8,2,47,0.6966145833333334,0.3377724748570472,0.34417156409472227,0.49530820061972985,38
GraphSAGE,10,8,3,11,0.705078125,0.31898440734948963,0.30882228165864944,0.5080933556998882,36
GraphSAGE,10,8,3,29,0.9055989583333334,3.2251653955318034,3.507077229762217,0.4790625613244992,191
GraphSAGE,10,8,3,47,0.6897786458333334,0.23046194249764085,0.2386432527564466,0.4912798767285481,29
GraphSAGE,10,8,4,11,0.7001953125,0.2621418077033013,0.23980593169108033,0.5222492047061768,38
GraphSAGE,10,8,4,29,0.7197265625,0.26777651789598167,0.24800069781485945,0.5191708934378082,28
GraphSAGE,10,8,4,47,0.7041015625,0.20713275950402021,0.1898080746177584,0.5218227546726814,24
GraphSAGE,10,8,5,11,0.6875,0.29352097772061825,0.28069029666949064,0.5111724391546764,47
GraphSAGE,10,8,5,29,0.7037760416666666,0.3374503329396248,0.29098903597332537,0.5369656161465445,26
GraphSAGE,10,8,5,47,0.7037760416666666,0.240297979908064,0.20651129831094295,0.5378088406430592,31
GraphSAGERewired,10,8,1,11,1.0,0.005836867756443098,4.489591878265031e-07,0.9999230879169966,4
GraphSAGERewired,10,8,1,29,1.0,0.027001065260265023,4.864827592321319e-06,0.9998198607277619,4
GraphSAGERewired,10,8,1,47,1.0,0.006454285223298939,5.808255330475021e-06,0.9991009021233531,5
GraphSAGERewired,10,8,2,11,1.0,0.06873641151469201,1.3520092652541393e-05,0.9998033438966956,5
GraphSAGERewired,10,8,2,29,1.0,0.004427788262546528,2.188915563472449e-06,0.9995058853635195,3
GraphSAGERewired,10,8,2,47,1.0,0.003137434972813935,2.2767299885373404e-06,0.9992748598586998,5
GraphSAGERewired,10,8,3,11,1.0,0.008208853280848416,7.084624910058679e-07,0.9999137026417403,4
GraphSAGERewired,10,8,3,29,1.0,0.023424924060236663,7.306133356088651e-06,0.9996882014944624,4
GraphSAGERewired,10,8,3,47,1.0,0.001450916932299151,1.3392631773023744e-06,0.9990778044669034,4
GraphSAGERewired,10,8,4,11,1.0,0.005480710756273766,6.790872918993607e-07,0.9998761101999389,3
GraphSAGERewired,10,8,4,29,1.0,0.01261897033691639,1.552908129642816e-06,0.999876953665124,4
GraphSAGERewired,10,8,4,47,1.0,0.01085238902214769,2.3784569214146956e-06,0.9997808835679085,5
GraphSAGERewired,10,8,5,11,1.0,0.019336912911967374,1.0810672721461856e-06,0.9999440961522044,4
GraphSAGERewired,10,8,5,29,1.0,0.002841308791175834,9.546112025304865e-07,0.999664136616826,3
GraphSAGERewired,10,8,5,47,1.0,0.002939817698461411,1.4392581801914162e-06,0.9995106652696725,4
GraphSAGE,2,1,1,11,0.7926432291666666,1.359514786861837,0.2512844424054492,0.8440001473550515,379
GraphSAGE,2,1,1,29,0.7789713541666666,1.3058871096000075,0.30333253186836373,0.8115033373614603,399
GraphSAGE,2,1,1,47,0.7698567708333334,1.1287987800315022,0.25343421392608434,0.8166487017494262,390
GraphSAGE,2,1,2,11,0.7177734375,0.7615084429271519,0.18796439503785223,0.8020328886484879,303
GraphSAGE,2,1,2,29,0.7718098958333334,1.1720350850373507,0.27005539847596083,0.8127333883940155,388
GraphSAGE,2,1,2,47,0.7568359375,0.9717326015233994,0.215819273784291,0.8182653926345816,395
GraphSAGE,2,1,3,11,0.7477213541666666,0.866967627312988,0.24408283019147348,0.7803134605241151,398
GraphSAGE,2,1,3,29,0.7727864583333334,1.2557718171738088,0.27869993288913975,0.818374021627622,398
GraphSAGE,2,1,3,47,0.7626953125,1.0126747216563672,0.243134669126448,0.806392060043686,397
GraphSAGE,2,1,4,11,0.7630208333333334,1.3245875034481287,0.25541017177602043,0.8383477546948765,396
GraphSAGE,2,1,4,29,0.7705078125,1.191402018070221,0.24988759802363347,0.8266222171906719,347
GraphSAGE,2,1,4,47,0.7604166666666666,1.1579858781769872,0.2601184301893227,0.8165731331217786,392
GraphSAGE,2,1,5,11,0.7734375,1.058484559878707,0.2159738426853437,0.8305367658515476,398
GraphSAGE,2,1,5,29,0.7877604166666666,1.530693200416863,0.3346147258125711,0.8206115349063101,383
GraphSAGE,2,1,5,47,0.7623697916666666,1.0334412751253694,0.24289964813215192,0.8096906212855537,357
GraphSAGERewired,2,1,1,11,1.0,0.046706457735126605,0.000362470580171248,0.9922991537275826,2
GraphSAGERewired,2,1,1,29,1.0,0.08578283234965056,0.0006193635886120319,0.9928316221262776,2
GraphSAGERewired,2,1,1,47,1.0,0.04617409882484935,0.000452432681250059,0.9902966687071465,2
GraphSAGERewired,2,1,2,11,1.0,0.0125426189611062,0.0002469319362603528,0.9806926811408295,1
GraphSAGERewired,2,1,2,29,1.0,0.08551050920505077,0.0006784523733358583,0.9921283147876082,2
GraphSAGERewired,2,1,2,47,1.0,0.04468718575662933,0.00048730282276210346,0.9892128756943223,2
GraphSAGERewired,2,1,3,11,1.0,0.04444558329851134,0.0003866517792516788,0.9913755854560364,2
GraphSAGERewired,2,1,3,29,1.0,0.02593582108966075,0.0003788984743664514,0.9856012725337946,1
GraphSAGERewired,2,1,3,47,1.0,0.04490012806490995,0.0004638454034022743,0.9897750269888493,2
GraphSAGERewired,2,1,4,11,1.0,0.01424694162551532,0.0002618365324167371,0.9819532333771647,1
GraphSAGERewired,2,1,4,29,1.0,0.02697923507366795,0.0003843865270027891,0.9859526442223818,1
GraphSAGERewired,2,1,4,47,1.0,0.04296814054396236,0.00048499276601887686,0.9888387158746891,2
GraphSAGERewired,2,1,5,11,1.0,0.042771319265739294,0.000385537851201434,0.9910665910831314,2
GraphSAGERewired,2,1,5,29,1.0,0.026243608983349986,0.0003851731279382875,0.9855354583129605,1
GraphSAGERewired,2,1,5,47,1.0,0.041761640070035355,0.0005493372735827506,0.9870166725266482,2
GraphSAGE,2,2,1,11,0.9186197916666666,3.1639265194535255,0.6157775111496449,0.8370831403293195,400
GraphSAGE,2,2,1,29,0.9469401041666666,3.837528735399246,0.5168384895659983,0.8813057184052718,400
GraphSAGE,2,2,1,47,0.9322916666666666,3.2990737855434418,0.4753750409872737,0.8740544479907312,397
GraphSAGE,2,2,2,11,0.9013671875,2.8437957484275103,0.5850383653887548,0.8293768826458504,390
GraphSAGE,2,2,2,29,0.9283854166666666,3.7765861935913563,0.5943391243927181,0.8640244156201463,372
GraphSAGE,2,2,2,47,0.8863932291666666,2.2491763634607196,0.39448463794542477,0.8507809292732873,398
GraphSAGE,2,2,3,11,0.9088541666666666,2.7364705111831427,0.516632650513202,0.8411877444905119,383
GraphSAGE,2,2,3,29,0.9466145833333334,4.243250697851181,0.7537619590875693,0.8491574845139206,398
GraphSAGE,2,2,3,47,0.9208984375,3.111758606508374,0.5857927446486428,0.8415727899313199,390
GraphSAGE,2,2,4,11,0.9176432291666666,2.9807463213801384,0.5543986769625917,0.8431751237294832,400
GraphSAGE,2,2,4,29,0.9671223958333334,4.434168864041567,0.558808425324969,0.8880811201533116,400
GraphSAGE,2,2,4,47,0.8977864583333334,2.7731041088700294,0.4612478914204985,0.8573909421794771,397
GraphSAGE,2,2,5,11,0.9329427083333334,3.5893131643533707,0.4969695224717725,0.8783810224204597,381
GraphSAGE,2,2,5,29,0.9495442708333334,4.879703843966126,0.7865764197777025,0.8611829307470831,399
GraphSAGE,2,2,5,47,0.9521484375,3.8491257689893246,0.5260575045831501,0.8797633215135037,392
GraphSAGERewired,2,2,1,11,1.0,0.04707465417959611,0.0007938813660075539,0.9834153821932854,2
GraphSAGERewired,2,2,1,29,1.0,0.0870263522665482,0.0015540829647306964,0.9824556860478781,2
GraphSAGERewired,2,2,1,47,1.0,0.04701350829418516,0.0009791589566248149,0.9795977382859902,2
GraphSAGERewired,2,2,2,11,1.0,0.012488303584177629,0.0005469905662778274,0.9580377273483504,1
GraphSAGERewired,2,2,2,29,1.0,0.08659310929942876,0.0016037158150083997,0.9818166264612205,2
GraphSAGERewired,2,2,2,47,1.0,0.045421801252814475,0.001059332820545933,0.977209402424407,2
GraphSAGERewired,2,2,3,11,1.0,0.044779220574127976,0.0007833142967683671,0.9828079298052504,2
GraphSAGERewired,2,2,3,29,1.0,0.02615076875372324,0.0007564370065438197,0.9718871957848292,1
GraphSAGERewired,2,2,3,47,1.0,0.045432167549734004,0.0010046617874195363,0.9783649787735598,2
GraphSAGERewired,2,2,4,11,1.0,0.014366936708029243,0.0004290236032602479,0.9710040041196987,1
GraphSAGERewired,2,2,4,29,1.0,0.08710956975119188,0.0012879537680419162,0.9854299790565161,2
GraphSAGERewired,2,2,4,47,1.0,0.043462685840495396,0.0010782894132148613,0.9757910686048387,2
GraphSAGERewired,2,2,5,11,1.0,0.04323509081041266,0.0007427108321849119,0.9831116880465298,2
GraphSAGERewired,2,2,5,29,1.0,0.08452683425275609,0.0015261904539443094,0.9822645344527007,2
GraphSAGERewired,2,2,5,47,1.0,0.04278858441102784,0.0010229239185264305,0.9766517073137827,2
GraphSAGE,2,4,1,11,0.9908854166666666,5.379789762198925,1.133597896376159,0.8259587858424844,396
GraphSAGE,2,4,1,29,0.9983723958333334,4.719323068857193,0.9148654090240598,0.837622505420881,252
GraphSAGE,2,4,1,47,1.0,4.582419730722904,0.6925423992797732,0.8687113988285087,343
GraphSAGE,2,4,2,11,0.9892578125,4.476161716505885,1.1203244520584121,0.7998164529822083,381
GraphSAGE,2,4,2,29,0.9964192708333334,4.327828586101532,0.7192093608900905,0.8574987213401782,207
GraphSAGE,2,4,2,47,0.9970703125,4.8439208753407,0.8676797810476273,0.8480846555548328,235
GraphSAGE,2,4,3,11,0.994140625,4.726490927860141,1.0098107111407444,0.8239613648843175,276
GraphSAGE,2,4,3,29,1.0,5.166725467890501,0.8908937388332561,0.8529300524791578,266
GraphSAGE,2,4,3,47,0.9964192708333334,4.755769211798906,0.9694272665656172,0.8306735375406056,318
GraphSAGE,2,4,4,11,0.9928385416666666,5.65185246989131,1.2709456122247502,0.8164115727268066,396
GraphSAGE,2,4,4,29,0.9996744791666666,5.701467756181955,1.2107224484207109,0.8248424287260868,282
GraphSAGE,2,4,4,47,0.9951171875,4.219340559095144,0.6833630512119271,0.860615059459002,215
GraphSAGE,2,4,5,11,0.6409505208333334,0.06539065833203495,0.06462564575485885,0.5029419870897842,32
GraphSAGE,2,4,5,29,0.9970703125,5.67156033590436,0.8457300407753792,0.8702328741093918,278
GraphSAGE,2,4,5,47,0.9954427083333334,6.3863928616046906,1.122066039708443,0.8505597414253598,388
GraphSAGERewired,2,4,1,11,1.0,0.04785086939955363,0.0016360097679353203,0.9669405346139294,2
GraphSAGERewired,2,4,1,29,1.0,0.08780940575525165,0.003305297039787547,0.9637237795947545,2
GraphSAGERewired,2,4,1,47,1.0,0.04767071457899874,0.0022352980656705768,0.9552098445022826,2
GraphSAGERewired,2,4,2,11,1.0,0.042790687664819416,0.001457137117995444,0.9670687287767321,2
GraphSAGERewired,2,4,2,29,1.0,0.08843020058702677,0.0032810428692755522,0.96422420254499,2
GraphSAGERewired,2,4,2,47,1.0,0.04678145009165746,0.0022235689973513217,0.9546256885592221,2
GraphSAGERewired,2,4,3,11,1.0,0.04547007464498165,0.0014689788656596647,0.9687045486271822,2
GraphSAGERewired,2,4,3,29,0.9996744791666666,0.02636971534229815,0.0016787272188594216,0.9401490041331447,1
GraphSAGERewired,2,4,3,47,1.0,0.04643870003928896,0.0021895402883274073,0.9549738942941162,2
GraphSAGERewired,2,4,4,11,1.0,0.043352754968509544,0.0014565834740096761,0.967493751847159,2
GraphSAGERewired,2,4,4,29,1.0,0.08765268523711711,0.002954430820864218,0.9673929493579619,2
GraphSAGERewired,2,4,4,47,1.0,0.044044172784197144,0.0020789131926903792,0.9549268408734173,2
GraphSAGERewired,2,4,5,11,1.0,0.04386184977920493,0.0017043647303580656,0.9625958673621448,2
GraphSAGERewired,2,4,5,29,1.0,0.08602098398841918,0.0031366904768219683,0.9648186149246226,2
GraphSAGERewired,2,4,5,47,1.0,0.04349591876962222,0.002143053075769785,0.9530433532993973,2
GraphSAGE,2,8,1,11,0.7119140625,0.030560780471205362,0.03156122537620831,0.49194774144572717,3
GraphSAGE,2,8,1,29,0.99609375,3.8388572153635323,1.0811688656103797,0.780251395456598,87
GraphSAGE,2,8,1,47,0.98828125,5.714072609320283,2.046151684364304,0.7363282803526393,126
GraphSAGE,2,8,2,11,1.0,3.325649617239833,1.182988079963252,0.737617400329627,82
GraphSAGE,2,8,2,29,0.69921875,0.019529278222762514,0.01964663442413439,0.4985021892989878,2
GraphSAGE,2,8,2,47,0.6920572916666666,0.1653302056947723,0.1617290781578049,0.5055053131247906,57
GraphSAGE,2,8,3,11,0.9954427083333334,5.8185243885964155,1.764492784976028,0.7673099315762827,140
GraphSAGE,2,8,3,29,1.0,4.072841493412852,1.4537956728599966,0.7369475091050405,86
GraphSAGE,2,8,3,47,0.6985677083333334,0.012204781516629737,0.009409679423697526,0.564658149456504,2
GraphSAGE,2,8,4,11,1.0,4.84534996189177,2.2802460766397417,0.6799922330272389,172
GraphSAGE,2,8,4,29,1.0,5.947114959359169,1.8096412913873792,0.7667012817098672,145
GraphSAGE,2,8,4,47,1.0,4.995425425935537,1.9939170009456575,0.7147203729384162,164
GraphSAGE,2,8,5,11,1.0,5.250084126368165,2.062519221799448,0.7179500755613949,125
GraphSAGE,2,8,5,29,1.0,5.678044487838633,2.023229378508404,0.7372864004550945,162
GraphSAGE,2,8,5,47,0.69140625,0.15311229275539517,0.15318723628297448,0.49987766300389963,22
GraphSAGERewired,2,8,1,11,1.0,0.04998268136114348,0.003389755001649064,0.9364886590609409,2
GraphSAGERewired,2,8,1,29,1.0,0.0910347003955394,0.006693545075904694,0.9315085925819466,2
GraphSAGERewired,2,8,1,47,1.0,0.04857087847631192,0.0048758369839561055,0.9087719994975267,2
GraphSAGERewired,2,8,2,11,1.0,0.044131725444458425,0.0030033726052351994,0.9362816090250818,2
GraphSAGERewired,2,8,2,29,1.0,0.0896451307926327,0.007302882282601786,0.924672182008937,2
GraphSAGERewired,2,8,2,47,1.0,0.048307642980944365,0.004681874386733398,0.9116452721175214,2
GraphSAGERewired,2,8,3,11,1.0,0.046715563235920854,0.003424552613068954,0.9317003450028996,2
GraphSAGERewired,2,8,3,29,1.0,0.08671028431854211,0.007222422740596812,0.9231106718028176,2
GraphSAGERewired,2,8,3,47,1.0,0.04786924261134118,0.004399539938276575,0.9158285361818786,2
GraphSAGERewired,2,8,4,11,1.0,0.045064344889397034,0.0032191163304560177,0.933328799343289,2
GraphSAGERewired,2,8,4,29,1.0,0.08985744707752019,0.0065731715549190994,0.9318352236139267,2
GraphSAGERewired,2,8,4,47,1.0,0.045200452899734955,0.004673260618801578,0.9062981219962503,2
GraphSAGERewired,2,8,5,11,1.0,0.04599099711276722,0.003346173628415272,0.9321774317603027,2
GraphSAGERewired,2,8,5,29,1.0,0.09140509058488533,0.006672032137430506,0.9319715754992843,2
GraphSAGERewired,2,8,5,47,1.0,0.04535267484607175,0.004785582137628808,0.904552283497029,2
GraphSAGE,4,1,1,11,0.6077473958333334,0.10388558495469624,0.0626029488594213,0.6239804181954012,118
GraphSAGE,4,1,1,29,0.6253255208333334,0.20958264023647644,0.08280133998778183,0.7168061672702107,200
GraphSAGE,4,1,1,47,0.6126302083333334,0.11810429231263697,0.0763844496323145,0.6072551610491584,131
GraphSAGE,4,1,2,11,0.5638020833333334,0.01144998071140435,0.011071186847402714,0.5084097296908723,9
GraphSAGE,4,1,2,29,0.5823567708333334,0.06095724418264581,0.038470902745757485,0.6130783491914731,61
GraphSAGE,4,1,2,47,0.5830078125,0.07825011689419625,0.04551822241774062,0.6322304825982032,90
GraphSAGE,4,1,3,11,0.6025390625,0.05924599073478021,0.049714088625478325,0.5437403412524083,76
GraphSAGE,4,1,3,29,0.6080729166666666,0.09706648572682752,0.06715449475450441,0.5910723796784944,144
GraphSAGE,4,1,3,47,0.5992838541666666,0.0534576828340505,0.04234762465330277,0.5579824775422715,70
GraphSAGE,4,1,4,11,0.5944010416666666,0.05379655814249418,0.03239177203431609,0.6241745028765442,74
GraphSAGE,4,1,4,29,0.6233723958333334,0.16462207256699912,0.0867296047945274,0.654947181154329,254
GraphSAGE,4,1,4,47,0.6057942708333334,0.2781564896577038,0.04902757575473515,0.850152923267267,130
GraphSAGE,4,1,5,11,0.6119791666666666,0.15862860715424176,0.07967164339061128,0.665666975972058,165
GraphSAGE,4,1,5,29,0.58203125,0.05880551409063628,0.03988621446978868,0.5958504825866555,70
GraphSAGE,4,1,5,47,0.6201171875,0.12571738026599633,0.06426473657029419,0.6617327059981467,136
GraphSAGERewired,4,1,1,11,1.0,0.07249011710518971,0.00011062968936315087,0.9984761907384411,3
GraphSAGERewired,4,1,1,29,1.0,0.060503388827783056,6.5244685572452e-05,0.9989227974483362,2
GraphSAGERewired,4,1,1,47,1.0,0.02610268281205208,8.976799119153611e-05,0.9965727532386167,2
GraphSAGERewired,4,1,2,11,1.0,0.08989440265577286,0.00014207145463274173,0.9984220677560413,3
GraphSAGERewired,4,1,2,29,1.0,0.06440851726802066,6.353294365624151e-05,0.9990145660879921,2
GraphSAGERewired,4,1,2,47,1.0,0.026429217265103944,7.985818649558496e-05,0.9969875151761375,2
GraphSAGERewired,4,1,3,11,1.0,0.01902104477630928,8.143880813804572e-05,0.9957367423574134,2
GraphSAGERewired,4,1,3,29,1.0,0.0131884607799293,5.441161015795615e-05,0.995891253079311,1
GraphSAGERewired,4,1,3,47,1.0,0.005221345489189844,4.512664065714489e-05,0.9914313338158902,1
