h,model,epoch,n,nde_mean,rank_ratio_mean,pairwise_mean
0.1,GraphSAGE,1,5,0.00021656276088348,0.3005014777183533,7.462501525877929e-05
0.1,GraphSAGE,2,5,0.000797521513324855,0.2565449327230453,0.00023641586303709572
0.1,GraphSAGE,4,5,0.0012730627786143292,0.12030331194400783,0.000353145599365233
0.1,GraphSAGE,8,5,0.5012794045691236,0.02207205351442092,0.1358159899711609
0.1,GraphSAGE,16,5,0.950530130584915,0.0148348262533545,0.2555019497871399
0.1,GraphSAGE,32,5,1.2512237799580244,0.0191840831190347,0.3380590081214905
0.1,GraphSAGE,50,5,1.252709556408668,0.03797075934708112,0.3389403223991394
0.1,GraphSAGE,100,5,1.3959431841424856,0.034733247011899906,0.37951275110244753
0.1,GraphSAGE,150,5,1.5612451735562523,0.028087029606103858,0.42453852891921995
0.1,GraphSAGE,200,5,1.5647425449745387,0.01187839582562442,0.4260543942451477
0.1,GraphSAGEPairNorm,1,5,2.166417861123295,0.740509307384491,0.9987082242965698
0.1,GraphSAGEPairNorm,2,5,3.5045549899542245,0.29608939588069916,0.9998726725578309
0.1,GraphSAGEPairNorm,4,5,3.6342888495486876,0.01226715091615908,1.0006353855133057
0.1,GraphSAGEPairNorm,8,5,3.639374151218734,0.0089769104495644,1.0001686811447144
0.1,GraphSAGEPairNorm,16,5,3.63992423358276,0.00860326364636418,1.0003698348999024
0.1,GraphSAGEPairNorm,32,5,3.6323897776705807,0.0093506593257188,1.0004386186599732
0.1,GraphSAGEPairNorm,50,5,3.6239184721521704,0.01077480707317586,1.000210130214691
0.1,GraphSAGEPairNorm,100,5,3.616086890397491,0.01059565916657446,1.0004803895950318
0.1,GraphSAGEPairNorm,150,5,3.6203701897639946,0.0110648332163691,1.000394630432129
0.1,GraphSAGEPairNorm,200,5,3.6195936655760903,0.01083468440920112,1.0007447957992555
0.5,GraphSAGE,1,5,0.00013680084290178983,0.30527670979499816,5.278587341307657e-05
0.5,GraphSAGE,2,5,4.6863698787960535e-05,0.29639860391616824,2.3186206817626953e-05
0.5,GraphSAGE,4,5,3.1856514764727854e-06,0.14101279973983763,1.8596649169921875e-06
0.5,GraphSAGE,8,5,1.6227356164717662e-05,0.020089875347912258,3.4689903259277345e-06
0.5,GraphSAGE,16,5,7.991257929554705e-07,0.024150069057941363,4.172325134277344e-07
0.5,GraphSAGE,32,5,8.218986193936248e-09,0.05806424040347332,0.0
0.5,GraphSAGE,50,5,9.863240560326617e-10,0.0696581711992621,2.384185791015625e-08
0.5,GraphSAGE,100,5,6.613245087189837e-12,0.03701932728290552,-5.960464477539063e-08
0.5,GraphSAGE,150,5,2.4359941525797824e-13,0.04559452924877402,-2.384185791015625e-08
0.5,GraphSAGE,200,5,2.8747723704432224e-12,0.02203933838754888,-4.76837158203125e-08
0.5,GraphSAGEPairNorm,1,5,1.973732979493939,0.7550042033195495,0.9986952185630799
0.5,GraphSAGEPairNorm,2,5,1.9731133541511832,0.729337728023529,0.9969927072525024
0.5,GraphSAGEPairNorm,4,5,1.9609533367236172,0.626824015378952,0.9731974124908447
0.5,GraphSAGEPairNorm,8,5,1.9301718734963067,0.2961550712585449,0.84788578748703
0.5,GraphSAGEPairNorm,16,5,1.9740436677588125,0.046404647827148385,0.9191762685775757
0.5,GraphSAGEPairNorm,32,5,1.9740043776921439,0.01792226247489446,0.9929207682609558
0.5,GraphSAGEPairNorm,50,5,1.9610406040339963,0.01823582686483856,0.9961331725120545
0.5,GraphSAGEPairNorm,100,5,1.988742061993444,0.0235014639794826,0.9979567885398865
0.5,GraphSAGEPairNorm,150,5,1.988963025767331,0.02299548983573908,0.9982184767723083
0.5,GraphSAGEPairNorm,200,5,1.9710709835096096,0.0236785620450973,0.9991078495979309
