dataset,h,baseline_L8,pairnorm_L8,pairnorm_L8_effect_pp,regime,baseline_nde_epoch8,baseline_nde_epoch2400,baseline_nde_recovery,baseline_effective_rank_epoch8,baseline_effective_rank_epoch2400,baseline_effective_rank_recovery,baseline_pairwise_epoch8,baseline_pairwise_epoch2400,baseline_pairwise_recovery,baseline_margin_epoch8,baseline_margin_epoch2400,baseline_margin_recovery,pairnorm_nde_epoch2400,pairnorm_effective_rank_epoch2400,pairnorm_pairwise_epoch2400,pairnorm_margin_epoch2400
PubMed,0.1,0.399367481470108,0.8348946690559387,43.55271875858308,lowlabel,2.775866543982008e-09,5.200054001849389e-26,-2.775866543982008e-09,10.912204122543322,1.0,-9.912204122543322,0.0,0.0,0.0,-2.8058391166041476e-10,0.0,2.8058391166041476e-10,2.651520394619709,4.687615871429427,0.9972323775291444,0.8252418160438537
PubMed,0.5,0.399367481470108,0.7809177041053772,38.15502226352693,lowlabel,2.8069546639670277e-09,2.789631129693702e-20,-2.8069546639391315e-09,4.64808511734007,1.0000883579254016,-3.647996759414669,0.0,0.0,0.0,6.878600800064305e-10,0.0,-6.878600800064305e-10,1.4039221769692596,4.813828945159898,0.9958290696144104,0.6462756633758545
PubMed,0.9,0.7880422174930573,0.8856494784355163,9.76072609424591,lowlabel,4.0817871427671305e-07,0.1336825637473817,0.1336821555686674,1.9884550333022977,2.533864736556992,0.5454097032546945,1.1086463928222655e-06,0.6658633828163147,0.6658622741699219,1.2326770858273052e-06,0.6842620819807053,0.6842608493036194,0.2314612940350297,3.47641959190368,0.9963122963905334,0.9901046335697176
Roman-Empire,0.1,0.5189222812652587,0.5556143879890442,3.669210672378541,lowlabel,2.1972549263034338e-06,1.2111419734744575,1.2111397762195313,5.705814743041984,11.2780885696411,5.572273826599117,7.975101470947266e-06,0.7508522868156433,0.7508443117141723,1.372475435346132e-06,0.2907994270324707,0.2907980545570353,1.6852923390492016,16.967827606201165,0.9982576131820678,0.3682564735412598
Roman-Empire,0.5,0.7182474136352539,0.786782956123352,6.853554248809815,lowlabel,2.5713650480880617e-06,0.2842386859263724,0.2842361145613243,6.603238248825062,11.579161643981914,4.975923395156852,9.632110595703125e-06,0.844292688369751,0.8442830562591553,9.049068455624364e-06,0.6785766690969467,0.678567620028491,0.7258766149029532,20.026764297485336,0.997271966934204,0.7362833440303802
Roman-Empire,0.9,0.9855162620544432,0.981300926208496,-0.4215335845947243,lowlabel,0.0002863906744787,0.0820386993361909,0.0817523086617122,4.06414761543273,9.968675136566157,5.904527521133427,0.0001928329467773,0.8605968356132507,0.8604040026664734,8.463795757620232e-05,0.8817845262587071,0.8816998883011309,0.1870706376120253,17.17752723693847,0.9975224494934082,0.9695353649556636
PubMed,0.1,0.3993407487869262,0.9232251286506652,52.3884379863739,replicated,4.4190509532097365e-09,4.3996248231877474e-29,-4.4190509532097365e-09,3.922038960456832,1.0,-2.922038960456832,0.0,2.384185791015625e-08,2.384185791015625e-08,-1.539909533221362e-10,0.0,1.539909533221362e-10,2.780028546836429,3.828991127014144,0.9969568133354187,1.1458546698093417
PubMed,0.5,0.3993407487869262,0.8785496830940247,47.920893430709846,replicated,7.583381779015889e-09,7.088009826776975e-24,-7.583381779015882e-09,2.8727980852126977,1.0000379323959296,-1.872760152816768,0.0,7.152557373046876e-08,7.152557373046876e-08,1.1175869119028903e-09,0.0,-1.1175869119028903e-09,1.4884718540033135,3.9725749015808,0.9942190766334532,1.0051715135574342
Roman-Empire,0.1,0.765938663482666,0.7829693555831909,1.70306921005249,replicated,1.2644688792288696e-06,1.1048859227517087,1.1048846582828296,4.202670788764941,15.660564613342272,11.457893824577331,5.030632019042969e-06,0.7133695244789123,0.7133644938468933,1.2293576901356573e-06,0.4148584544658661,0.4148572251081759,1.7968650826446697,16.93411712646483,0.997798764705658,0.7584566593170166
Roman-Empire,0.5,0.9212000846862792,0.9305537343025208,0.9353649616241388,replicated,0.0034543166092964,0.5532591292148668,0.5498048126055703,3.5887594699859457,12.687553405761705,9.098793935775756,0.0010965108871459,0.8504040837287903,0.8493075728416444,0.0007029199886829,0.7642693877220154,0.7635664677333325,0.7806631949523648,18.89244766235351,0.9970077276229858,0.9111958339810372
