regime,dataset,h,family,metric,n,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_change,pairnorm_depth_change,interaction,positive_interactions,signflip_p,pairnorm_L8_effect
lowlabel,PubMed,0.1,GCN,normalized_dirichlet_energy,5,1.1950761804546017,0.4255053877967681,1.9677416520516116,1.717238811841579,-0.7695707926578335,-0.25050284021003255,0.5190679524478009,3,0.25,1.291733424044811
lowlabel,PubMed,0.1,GCN,effective_rank_ratio,5,0.2086020201444625,0.00820408500730988,0.6869959473609925,0.028588876128196654,-0.20039793513715268,-0.6584070712327957,-0.45800913609564314,0,0.0625,0.02038479112088678
lowlabel,PubMed,0.1,GCN,mean_pairwise_cosine_distance,5,0.3629392147064209,0.033101320266723605,0.9997321605682373,0.9937524676322937,-0.32983789443969724,-0.00597969293594367,0.32385820150375355,5,0.0625,0.9606511473655701
lowlabel,PubMed,0.1,GraphSAGE,normalized_dirichlet_energy,5,1.0223213175974886,5.200054001849389e-26,1.941843569919726,2.6515203946197095,-1.0223213175974886,0.7096768246999832,1.7319981422974717,5,0.0625,2.6515203946197095
lowlabel,PubMed,0.1,GraphSAGE,effective_rank_ratio,5,0.31197928786277773,0.0078125,0.6936673760414124,0.036621998995542485,-0.30416678786277773,-0.6570453770458698,-0.35287858918309223,0,0.0625,0.02880949899554248
lowlabel,PubMed,0.1,GraphSAGE,mean_pairwise_cosine_distance,5,0.40426924228668215,0.0,0.9983727812767029,0.9972323775291443,-0.40426924228668215,-0.001140403747558616,0.4031288385391235,5,0.0625,0.9972323775291443
lowlabel,PubMed,0.5,GCN,normalized_dirichlet_energy,5,0.8281465441622922,4.4868744250477866,1.622024802812471,2.2433992515012995,3.6587278808854946,0.6213744486888286,-3.0373534321966664,0,0.0625,-2.243475173546487
lowlabel,PubMed,0.5,GCN,effective_rank_ratio,5,0.218254992365837,0.00923978146165608,0.6713527917861939,0.030392337962985,-0.20901521090418096,-0.6409604538232088,-0.4319452429190278,0,0.0625,0.021152556501328922
lowlabel,PubMed,0.5,GCN,mean_pairwise_cosine_distance,5,0.3383609414100647,0.21720515489578243,0.9994595170021057,0.9931726455688477,-0.1211557865142823,-0.006286871433258079,0.11486891508102422,5,0.0625,0.7759674906730651
lowlabel,PubMed,0.5,GraphSAGE,normalized_dirichlet_energy,5,0.5873846931227832,2.789631129693702e-20,1.3803121948873625,1.4039221769692596,-0.5873846931227832,0.023609982081896953,0.6109946752046801,5,0.0625,1.4039221769692596
lowlabel,PubMed,0.5,GraphSAGE,effective_rank_ratio,5,0.31922569274902346,0.007813190296292261,0.7099807262420654,0.037608038634061765,-0.31141250245273117,-0.6723726876080036,-0.3609601851552725,0,0.0625,0.029794848337769502
lowlabel,PubMed,0.5,GraphSAGE,mean_pairwise_cosine_distance,5,0.3991562247276306,0.0,0.9982364654541016,0.9958290696144104,-0.3991562247276306,-0.002407395839691162,0.39674882888793944,5,0.0625,0.9958290696144104
lowlabel,PubMed,0.9,GCN,normalized_dirichlet_energy,5,0.8179879136879198,1.3690160667912799,2.1235421196410877,2.4451019797770313,0.5510281531033602,0.3215598601359437,-0.2294682929674165,2,0.375,1.0760859129857514
lowlabel,PubMed,0.9,GCN,effective_rank_ratio,5,0.13057576268911356,0.019705440849065742,0.545408022403717,0.0252049788832664,-0.11087032184004783,-0.5202030435204505,-0.40933272168040274,0,0.0625,0.00549953803420066
lowlabel,PubMed,0.9,GCN,mean_pairwise_cosine_distance,5,0.2701870560646057,0.5778200507164002,0.99540855884552,0.9884121417999268,0.30763299465179444,-0.00699641704559315,-0.3146294116973876,1,0.125,0.4105920910835267
lowlabel,PubMed,0.9,GraphSAGE,normalized_dirichlet_energy,5,0.15294999491549505,0.13368256374738174,0.8530816164537629,0.23146129403502974,-0.019267431168113275,-0.6216203224187332,-0.60235289125062,0,0.0625,0.097778730287648
lowlabel,PubMed,0.9,GraphSAGE,effective_rank_ratio,5,0.2765066921710968,0.01979581825435158,0.6763553142547607,0.02715952806174752,-0.2567108739167452,-0.6491957861930132,-0.392484912276268,0,0.0625,0.0073637098073959404
lowlabel,PubMed,0.9,GraphSAGE,mean_pairwise_cosine_distance,5,0.36937986612319945,0.6658633828163147,0.9978534817695618,0.9963122963905334,0.29648351669311523,-0.0015411853790283868,-0.29802470207214365,1,0.125,0.3304489135742187
lowlabel,Roman-Empire,0.1,GCN,normalized_dirichlet_energy,5,0.4591860565234188,0.056660923565545175,0.7094690673566126,0.1947636973830909,-0.40252513295787357,-0.5147053699735218,-0.11218023701564817,0,0.0625,0.1381027738175457
lowlabel,Roman-Empire,0.1,GCN,effective_rank_ratio,5,0.43858327269554137,0.0165633553639054,0.6682300925254822,0.13752562850713726,-0.42201991733163596,-0.5307044640183449,-0.10868454668670895,0,0.0625,0.12096227314323187
lowlabel,Roman-Empire,0.1,GCN,mean_pairwise_cosine_distance,5,0.5951789379119873,0.2590829372406006,0.999226176738739,0.9959198951721191,-0.33609600067138673,-0.0033062815666199397,0.33278971910476685,4,0.1875,0.7368369579315186
lowlabel,Roman-Empire,0.1,GraphSAGE,normalized_dirichlet_energy,5,1.5172116093047978,1.211141973474458,1.7296617953868967,1.6852923390492016,-0.3060696358303399,-0.044369456337694846,0.26170017949264507,5,0.0625,0.474150365574744
lowlabel,Roman-Empire,0.1,GraphSAGE,effective_rank_ratio,5,0.4324052631855011,0.08811006695032117,0.631722092628479,0.1325611531734466,-0.3442951962351799,-0.49916093945503237,-0.15486574321985244,0,0.0625,0.044451086223125456
lowlabel,Roman-Empire,0.1,GraphSAGE,mean_pairwise_cosine_distance,5,0.7306143879890442,0.7508522868156433,0.9993076086044311,0.9982576131820678,0.02023789882659912,-0.0010499954223632591,-0.02128789424896238,2,0.375,0.24740532636642457
lowlabel,Roman-Empire,0.5,GCN,normalized_dirichlet_energy,5,0.319561884880289,0.080020963562777,0.6903177914421996,0.22468551005520668,-0.239540921317512,-0.465632281386993,-0.226091360069481,0,0.0625,0.14466454649242966
lowlabel,Roman-Empire,0.5,GCN,effective_rank_ratio,5,0.2851973593235016,0.05322799012064929,0.5650195479393005,0.14604421257972716,-0.23196936920285224,-0.4189753353595734,-0.18700596615672116,0,0.0625,0.09281622245907784
