h,feature_signal,model,seed,epoch,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance
0.1,0.25,GraphSAGE,2,2,9.794876195569936e-05,0.2663136422634125,3.439188003540039e-05
0.1,0.25,GraphSAGE,2,4,1.314080591850431e-05,0.2166230976581573,6.67572021484375e-06
0.1,0.25,GraphSAGE,2,8,9.098864434151618e-07,0.1245144829154014,4.76837158203125e-07
0.1,0.25,GraphSAGE,2,16,3.423457505662278e-06,0.0226198155432939,2.1457672119140625e-06
0.1,0.25,GraphSAGE,2,32,6.529322893761817e-09,0.0358278751373291,0.0
0.1,0.25,GraphSAGE,2,50,2.0922951380356808e-11,0.0545118451118469,0.0
0.1,0.25,GraphSAGE,2,100,9.357489485469269e-14,0.1831293255090713,0.0
0.1,0.25,GraphSAGE,2,150,6.323700052944097e-16,0.0476260893046855,1.1920928955078125e-07
0.1,0.25,GraphSAGE,2,200,3.3491575067832296e-16,0.0147544173523783,1.1920928955078125e-07
0.1,0.25,GraphSAGE,3,1,0.0001787698959605,0.3134579956531524,7.051229476928711e-05
0.1,0.25,GraphSAGE,3,2,9.914456467563128e-05,0.290147066116333,4.982948303222656e-05
0.1,0.25,GraphSAGE,3,4,9.12412903113443e-06,0.1596730202436447,4.649162292480469e-06
0.1,0.25,GraphSAGE,3,8,7.092001505309495e-06,0.0321127474308013,4.0531158447265625e-06
0.1,0.25,GraphSAGE,3,16,2.0000089876258773e-07,0.0317282229661941,1.1920928955078125e-07
0.1,0.25,GraphSAGE,3,32,3.602627420591764e-09,0.0228691715747118,0.0
0.1,0.25,GraphSAGE,3,50,3.277190298102451e-11,0.0313698500394821,0.0
0.1,0.25,GraphSAGE,3,100,4.4404896212203786e-14,0.1405658721923828,-2.384185791015625e-07
0.1,0.25,GraphSAGE,3,150,2.550100798104592e-14,0.1475376039743423,0.0
0.1,0.25,GraphSAGE,3,200,1.1533347106611752e-15,0.0292111616581678,2.384185791015625e-07
0.1,0.25,GraphSAGE,4,1,0.0001474684172951,0.343853622674942,5.668401718139648e-05
0.1,0.25,GraphSAGE,4,2,8.019997173195961e-05,0.2604468464851379,3.0159950256347656e-05
0.1,0.25,GraphSAGE,4,4,5.2477597616777865e-06,0.1905732452869415,2.7418136596679688e-06
0.1,0.25,GraphSAGE,4,8,1.341620538126595e-06,0.0657173842191696,7.748603820800781e-07
0.1,0.25,GraphSAGE,4,16,7.55067890525388e-07,0.0272796060889959,4.76837158203125e-07
0.1,0.25,GraphSAGE,4,32,3.14569477720258e-09,0.0314601808786392,0.0
0.1,0.25,GraphSAGE,4,50,1.6364482662396113e-11,0.0378851704299449,0.0
0.1,0.25,GraphSAGE,4,100,4.55787038088492e-14,0.1722753793001175,1.1920928955078125e-07
0.1,0.25,GraphSAGE,4,150,6.533540853031625e-16,0.0384689606726169,2.384185791015625e-07
0.1,0.25,GraphSAGE,4,200,8.683668523344961e-18,0.0090902689844369,5.960464477539064e-08
0.1,0.25,GraphSAGE,5,1,0.0001459328880751,0.3093180060386657,6.055831909179688e-05
0.1,0.25,GraphSAGE,5,2,8.989203255185657e-05,0.2858816981315613,4.1961669921875e-05
0.1,0.25,GraphSAGE,5,4,8.768264068738786e-06,0.2056227773427963,4.649162292480469e-06
0.1,0.25,GraphSAGE,5,8,5.180820351040147e-07,0.0987478643655777,2.384185791015625e-07
0.1,0.25,GraphSAGE,5,16,8.79852093736994e-08,0.0642179697751998,0.0
0.1,0.25,GraphSAGE,5,32,2.7932189317552954e-09,0.0203756410628557,0.0
0.1,0.25,GraphSAGE,5,50,4.8811200261943915e-14,0.2122205048799514,1.1920928955078125e-07
0.1,0.25,GraphSAGE,5,100,1.4490255991545731e-16,0.0157011151313781,-1.1920928955078125e-07
0.1,0.25,GraphSAGE,5,150,3.231756437789046e-23,0.007815177552402,1.788139343261719e-07
0.1,0.25,GraphSAGE,5,200,1.2592344310947876e-15,0.01811458542943,0.0
0.1,0.5,GraphSAGEPairNorm,1,1,2.0054327934715874,0.7558214068412781,0.999604105949402
0.1,0.5,GraphSAGEPairNorm,1,2,2.0713348064704378,0.7373049259185791,0.999533474445343
0.1,0.5,GraphSAGEPairNorm,1,4,3.126742985395202,0.5426936149597168,1.0002177953720093
0.1,0.5,GraphSAGEPairNorm,1,8,3.631105020296622,0.013977157883346,1.0007822513580322
0.1,0.5,GraphSAGEPairNorm,1,16,3.6346244147266034,0.0095091769471764,0.999585211277008
0.1,0.5,GraphSAGEPairNorm,1,32,3.617560805576472,0.009612314403057,1.000943899154663
0.1,0.5,GraphSAGEPairNorm,1,50,3.5617119875583367,0.0112767089158296,0.9990007877349854
0.1,0.5,GraphSAGEPairNorm,1,100,3.503609240026413,0.0186761263757944,0.99701327085495
0.1,0.5,GraphSAGEPairNorm,1,150,3.459815327664377,0.0185788106173276,0.9943622350692748
0.1,0.5,GraphSAGEPairNorm,1,200,3.3768818677159325,0.0209312699735164,0.9921980500221252
0.1,0.5,GraphSAGEPairNorm,2,1,1.994272020148908,0.7648216485977173,0.998612344264984
0.1,0.5,GraphSAGEPairNorm,2,2,2.0744862233373063,0.7397739291191101,0.9987783432006836
0.1,0.5,GraphSAGEPairNorm,2,4,3.514554956495886,0.290923148393631,1.0001789331436155
0.1,0.5,GraphSAGEPairNorm,2,8,3.63734462231564,0.0117906061932444,0.9992768168449402
0.1,0.5,GraphSAGEPairNorm,2,16,3.637973548037352,0.0095718475058674,1.0006515979766846
0.1,0.5,GraphSAGEPairNorm,2,32,3.572278091695873,0.0112750865519046,0.9996904134750366
0.1,0.5,GraphSAGEPairNorm,2,50,3.5491335185295343,0.0129068754613399,0.9984164834022522
0.1,0.5,GraphSAGEPairNorm,2,100,3.498741412667272,0.0165056902915239,0.9936749935150146
0.1,0.5,GraphSAGEPairNorm,2,150,3.327290186562427,0.0213574338704347,0.9921740293502808
0.1,0.5,GraphSAGEPairNorm,2,200,3.4907258198390045,0.0188623424619436,0.9955210089683532
0.1,0.5,GraphSAGEPairNorm,3,1,1.9759176951965456,0.7640135288238525,0.9993478655815125
0.1,0.5,GraphSAGEPairNorm,3,2,2.0481428345595694,0.743337869644165,0.9988052248954772
0.1,0.5,GraphSAGEPairNorm,3,4,3.344215087288819,0.4341789186000824,1.0001047849655151
0.1,0.5,GraphSAGEPairNorm,3,8,3.6304082092461303,0.013105466030538,1.000804424285889
0.1,0.5,GraphSAGEPairNorm,3,16,3.635071038352336,0.0095258904621005,0.9999645352363586
0.1,0.5,GraphSAGEPairNorm,3,32,3.5606292134188533,0.0108386892825365,0.9993784427642822
0.1,0.5,GraphSAGEPairNorm,3,50,3.564920719909558,0.0118371481075882,0.998791515827179
0.1,0.5,GraphSAGEPairNorm,3,100,3.3364012097056603,0.0203505959361791,0.9869648218154908
0.1,0.5,GraphSAGEPairNorm,3,150,3.284447935294471,0.0227801650762558,0.9892403483390808
0.1,0.5,GraphSAGEPairNorm,3,200,3.3506410042056487,0.0227426383644342,0.9934093952178956
0.1,0.5,GraphSAGEPairNorm,4,1,1.990040120041214,0.7584555149078369,0.9993138909339904
0.1,0.5,GraphSAGEPairNorm,4,2,2.054763522291728,0.7316655516624451,0.9997286200523376
0.1,0.5,GraphSAGEPairNorm,4,4,3.3549920232653023,0.429555207490921,0.9997469782829284
0.1,0.5,GraphSAGEPairNorm,4,8,3.6491222841687856,0.0128605533391237,0.9990028738975524
0.1,0.5,GraphSAGEPairNorm,4,16,3.6494796362087727,0.0096645224839448,1.000571846961975
0.1,0.5,GraphSAGEPairNorm,4,32,3.491881184955632,0.0119513878598809,0.9974265694618224
0.1,0.5,GraphSAGEPairNorm,4,50,3.533025796144973,0.0133508397266268,0.9975141286849976
0.1,0.5,GraphSAGEPairNorm,4,100,3.5353046538367314,0.0155473239719867,0.9954193830490112
0.1,0.5,GraphSAGEPairNorm,4,150,3.270250558331484,0.0208113957196474,0.9724882245063782
0.1,0.5,GraphSAGEPairNorm,4,200,3.2814367588248383,0.0223893411457538,0.9780365228652954
0.1,0.5,GraphSAGEPairNorm,5,1,1.996616088007463,0.7658120393753052,0.9990159869194032
0.1,0.5,GraphSAGEPairNorm,5,2,2.0719437943242225,0.743615448474884,0.99832946062088
0.1,0.5,GraphSAGEPairNorm,5,4,3.452670941087946,0.330814391374588,0.9994807243347168
0.1,0.5,GraphSAGEPairNorm,5,8,3.6184860626160056,0.0124982967972755,1.0007673501968384
0.1,0.5,GraphSAGEPairNorm,5,16,3.624036020783679,0.0094165941700339,1.0009582042694092
0.1,0.5,GraphSAGEPairNorm,5,32,3.5886284256457066,0.0103048179298639,1.0003373622894287
0.1,0.5,GraphSAGEPairNorm,5,50,3.5561045821320976,0.011758460663259,1.0003310441970823
0.1,0.5,GraphSAGEPairNorm,5,100,3.358062854444541,0.0211560130119323,0.9888566732406616
0.1,0.5,GraphSAGEPairNorm,5,150,3.4503950531582586,0.0183413885533809,0.995302677154541
0.1,0.5,GraphSAGEPairNorm,5,200,3.3774835984479963,0.0204272475093603,0.994428277015686
0.1,0.5,GraphSAGE,1,1,0.0001722678420636,0.3409875333309173,7.420778274536133e-05
0.1,0.5,GraphSAGE,1,2,6.303378615322579e-05,0.2577903866767883,1.931190490722656e-05
0.1,0.5,GraphSAGE,1,4,1.1147833989870296e-05,0.2367739826440811,5.424022674560547e-06
0.1,0.5,GraphSAGE,1,8,1.930987685682222e-06,0.0621781609952449,1.1920928955078125e-06
0.1,0.5,GraphSAGE,1,16,2.4292505856391217e-05,0.0124873993918299,8.106231689453125e-06
0.1,0.5,GraphSAGE,1,32,1.6695293192466716e-08,0.0190087519586086,0.0
0.1,0.5,GraphSAGE,1,50,1.3687515872320392e-12,0.0744384378194809,0.0
0.1,0.5,GraphSAGE,1,100,2.8848929564085757e-12,0.0432272590696811,-2.384185791015625e-07
0.1,0.5,GraphSAGE,1,150,6.518483759400657e-14,0.1024443134665489,-2.384185791015625e-07
0.1,0.5,GraphSAGE,1,200,7.958556958617323e-16,0.0367321595549583,0.0
0.1,0.5,GraphSAGE,2,1,0.0001796903803743,0.336415946483612,6.842613220214844e-05
0.1,0.5,GraphSAGE,2,2,0.0001075462355415,0.2746686339378357,3.999471664428711e-05
0.1,0.5,GraphSAGE,2,4,1.308502255873836e-05,0.2277709692716598,6.318092346191406e-06
0.1,0.5,GraphSAGE,2,8,1.620148519764677e-06,0.1124559119343757,8.344650268554688e-07
0.1,0.5,GraphSAGE,2,16,1.6749844517738769e-07,0.070126436650753,1.1920928955078125e-07
0.1,0.5,GraphSAGE,2,32,1.2196552905451365e-08,0.0323022902011871,0.0
0.1,0.5,GraphSAGE,2,50,1.312490849400357e-10,0.0248013790696859,0.0
0.1,0.5,GraphSAGE,2,100,9.978279002914558e-15,0.1949815154075622,1.1920928955078125e-07
0.1,0.5,GraphSAGE,2,150,5.305127894210926e-16,0.0261219125241041,-2.384185791015625e-07
0.1,0.5,GraphSAGE,2,200,1.4748913668265386e-17,0.0099586099386215,1.1920928955078125e-07
0.1,0.5,GraphSAGE,3,1,0.0001670350124806,0.3149379789829254,6.61015510559082e-05
0.1,0.5,GraphSAGE,3,2,9.810526127103626e-05,0.2747076749801636,4.744529724121094e-05
0.1,0.5,GraphSAGE,3,4,1.0202998363389631e-05,0.1572600156068802,4.947185516357422e-06
0.1,0.5,GraphSAGE,3,8,1.7791001612338022e-06,0.0550833120942115,9.5367431640625e-07
0.1,0.5,GraphSAGE,3,16,1.229228424337901e-07,0.0284094326198101,0.0
0.1,0.5,GraphSAGE,3,32,3.2927103780029957e-09,0.0216669775545597,0.0
0.1,0.5,GraphSAGE,3,50,4.475634955400535e-11,0.0283267851918935,0.0
0.1,0.5,GraphSAGE,3,100,1.4208695098173344e-15,0.040198303759098,2.384185791015625e-07
0.1,0.5,GraphSAGE,3,150,2.966379091358704e-15,0.0454697497189044,0.0
0.1,0.5,GraphSAGE,3,200,3.4615982709522657e-16,0.0199286360293626,-2.384185791015625e-07
0.1,0.5,GraphSAGE,4,1,0.0001530680277942,0.3349778652191162,5.859136581420898e-05
0.1,0.5,GraphSAGE,4,2,8.426901366628057e-05,0.277715265750885,3.141164779663086e-05
0.1,0.5,GraphSAGE,4,4,6.278496468570675e-06,0.2068696916103363,3.0994415283203125e-06
0.1,0.5,GraphSAGE,4,8,1.2307836447018808e-06,0.0475735068321228,7.152557373046875e-07
0.1,0.5,GraphSAGE,4,16,2.1072928158285397e-06,0.0173044521361589,1.1920928955078125e-06
0.1,0.5,GraphSAGE,4,32,1.0291160001440891e-08,0.0189148169010877,0.0
0.1,0.5,GraphSAGE,4,50,3.6884834302209046e-11,0.0454562753438949,0.0
0.1,0.5,GraphSAGE,4,100,1.4091806183301663e-14,0.2099500000476837,-2.384185791015625e-07
0.1,0.5,GraphSAGE,4,150,1.0851180647839033e-15,0.0487452298402786,0.0
0.1,0.5,GraphSAGE,4,200,1.8850580334101985e-18,0.0081885596737265,1.1920928955078125e-07
0.1,0.5,GraphSAGE,5,1,0.0001405612939089,0.3124091327190399,5.7637691497802734e-05
0.1,0.5,GraphSAGE,5,2,0.0001027356174332,0.2792951464653015,4.869699478149414e-05
0.1,0.5,GraphSAGE,5,4,8.566571567327824e-06,0.1996385902166366,4.589557647705078e-06
0.1,0.5,GraphSAGE,5,8,1.1140892009145962e-06,0.1086397171020507,4.76837158203125e-07
0.1,0.5,GraphSAGE,5,16,2.170075700376368e-07,0.045156929641962,1.1920928955078125e-07
0.1,0.5,GraphSAGE,5,32,4.5204791163622777e-10,0.0305444002151489,0.0
0.1,0.5,GraphSAGE,5,50,1.874824640282052e-13,0.1893519461154937,0.0
0.1,0.5,GraphSAGE,5,100,1.8798360264806803e-16,0.0128220450133085,1.1920928955078125e-07
0.1,0.5,GraphSAGE,5,150,2.3964485569033128e-18,0.0082140387967228,1.788139343261719e-07
0.1,0.5,GraphSAGE,5,200,3.4690859541163817e-18,0.0082389349117875,1.788139343261719e-07
0.5,0.25,GraphSAGEPairNorm,1,1,1.969229643072205,0.7537756562232971,0.999138593673706
0.5,0.25,GraphSAGEPairNorm,1,2,1.971396707826927,0.7370732426643372,0.9990074038505554
0.5,0.25,GraphSAGEPairNorm,1,4,1.9651663737308915,0.6929635405540466,0.9959583282470704
0.5,0.25,GraphSAGEPairNorm,1,8,1.9340526370784945,0.6011073589324951,0.9849885106086732
0.5,0.25,GraphSAGEPairNorm,1,16,1.4923168393668886,0.0638892501592636,0.783940315246582
0.5,0.25,GraphSAGEPairNorm,1,32,1.3787105930261183,0.0247175730764865,0.9709740281105042
0.5,0.25,GraphSAGEPairNorm,1,50,1.4522364390353983,0.0204925127327442,0.9549500942230223
0.5,0.25,GraphSAGEPairNorm,1,100,1.4634395578719488,0.0210169050842523,0.9886385202407836
0.5,0.25,GraphSAGEPairNorm,1,150,1.4369404364439275,0.02137216553092,0.9775345325469972
0.5,0.25,GraphSAGEPairNorm,1,200,1.5391319482318468,0.0205496102571487,0.9991390705108644
0.5,0.25,GraphSAGEPairNorm,2,1,1.980829759456096,0.7619924545288086,0.9980445504188538
0.5,0.25,GraphSAGEPairNorm,2,2,1.99699630281178,0.7407234311103821,0.9990783929824828
0.5,0.25,GraphSAGEPairNorm,2,4,2.027224745902054,0.688734769821167,0.994778335094452
0.5,0.25,GraphSAGEPairNorm,2,8,2.130921889549497,0.5072895884513855,0.9559032917022704
0.5,0.25,GraphSAGEPairNorm,2,16,2.257700430234056,0.05742759257555,0.8232702016830444
0.5,0.25,GraphSAGEPairNorm,2,32,2.4368678567654305,0.0263840518891811,0.9481710195541382
0.5,0.25,GraphSAGEPairNorm,2,50,2.283521436622354,0.0195786766707897,0.910041868686676
0.5,0.25,GraphSAGEPairNorm,2,100,2.3466479999389644,0.0178354810923337,0.9547866582870485
0.5,0.25,GraphSAGEPairNorm,2,150,2.426442991975432,0.0202664025127887,0.9698414206504822
0.5,0.25,GraphSAGEPairNorm,2,200,2.370739825844161,0.0214173030108213,0.973163604736328
0.5,0.25,GraphSAGEPairNorm,3,1,1.969692999345488,0.7635418772697449,0.9990628957748412
0.5,0.25,GraphSAGEPairNorm,3,2,1.967991108197408,0.7491507530212402,0.998542845249176
0.5,0.25,GraphSAGEPairNorm,3,4,1.9670988650047267,0.7206464409828186,0.997463047504425
0.5,0.25,GraphSAGEPairNorm,3,8,1.9901458981219051,0.6366484761238098,0.9953819513320924
0.5,0.25,GraphSAGEPairNorm,3,16,2.094322141490484,0.1584307104349136,0.8548455834388733
0.5,0.25,GraphSAGEPairNorm,3,32,2.170666944504579,0.0438404455780983,0.9646734595298768
0.5,0.25,GraphSAGEPairNorm,3,50,2.281166404246533,0.024734504520893,0.977728009223938
0.5,0.25,GraphSAGEPairNorm,3,100,2.0902377708308832,0.0257132481783628,0.9892698526382446
0.5,0.25,GraphSAGEPairNorm,3,150,2.1286253481156145,0.0221749935299158,0.9603040218353271
0.5,0.25,GraphSAGEPairNorm,3,200,2.142617301152157,0.025443110615015,0.992028534412384
0.5,0.25,GraphSAGEPairNorm,4,1,1.9665181939085652,0.7533940672874451,0.998834192752838
0.5,0.25,GraphSAGEPairNorm,4,2,1.9681248363734687,0.7299736738204956,0.9981005787849426
0.5,0.25,GraphSAGEPairNorm,4,4,1.9910735499853665,0.6797924637794495,0.9920996427536012
0.5,0.25,GraphSAGEPairNorm,4,8,2.132625989003109,0.5172057151794434,0.9672105312347412
0.5,0.25,GraphSAGEPairNorm,4,16,2.4139821209097616,0.0637390986084938,0.8869473338127136
0.5,0.25,GraphSAGEPairNorm,4,32,2.362157004896713,0.034552939236164,0.9606472253799438
0.5,0.25,GraphSAGEPairNorm,4,50,2.480048837801469,0.0229099448770284,0.9790329933166504
0.5,0.25,GraphSAGEPairNorm,4,100,2.4094202883433544,0.0199821814894676,0.9908224940299988
0.5,0.25,GraphSAGEPairNorm,4,150,2.385440978056061,0.0231824517250061,0.9921391010284424
0.5,0.25,GraphSAGEPairNorm,4,200,2.3684482889957303,0.0212090108543634,0.960136890411377
0.5,0.25,GraphSAGEPairNorm,5,1,1.9806892565697,0.7656780481338501,0.9990062713623048
0.5,0.25,GraphSAGEPairNorm,5,2,1.9698560884124123,0.7478883266448975,0.9974527955055236
0.5,0.25,GraphSAGEPairNorm,5,4,1.9756688674139196,0.7081661224365234,0.9955133199691772
0.5,0.25,GraphSAGEPairNorm,5,8,2.0557760907072136,0.5799509882926941,0.9844011068344116
0.5,0.25,GraphSAGEPairNorm,5,16,2.1960505175645304,0.0830096900463104,0.7795694470405579
0.5,0.25,GraphSAGEPairNorm,5,32,2.3189735037818404,0.0360358282923698,0.9469419121742249
0.5,0.25,GraphSAGEPairNorm,5,50,2.383695823408375,0.02170823328197,0.9281049370765686
0.5,0.25,GraphSAGEPairNorm,5,100,2.29950744741699,0.0285591669380664,0.9309015274047852
0.5,0.25,GraphSAGEPairNorm,5,150,2.360331572782021,0.0179063752293586,0.9861445426940918
0.5,0.25,GraphSAGEPairNorm,5,200,2.309900740819861,0.0258545354008674,0.9668539762496948
0.5,0.25,GraphSAGE,1,1,0.0001380653233936,0.3324715197086334,5.817413330078125e-05
0.5,0.25,GraphSAGE,1,2,9.754257032646224e-05,0.2767983376979828,4.118680953979492e-05
0.5,0.25,GraphSAGE,1,4,4.804726034837897e-06,0.1890535503625869,2.5033950805664062e-06
0.5,0.25,GraphSAGE,1,8,5.367817644508974e-07,0.0826781243085861,3.5762786865234375e-07
0.5,0.25,GraphSAGE,1,16,3.996949569044396e-06,0.0183031819760799,1.430511474609375e-06
0.5,0.25,GraphSAGE,1,32,8.236220917968165e-07,0.0157968904823064,3.5762786865234375e-07
0.5,0.25,GraphSAGE,1,50,7.315500558538129e-09,0.015200356952846,0.0
0.5,0.25,GraphSAGE,1,100,2.3080979052654356e-14,0.1387147605419159,0.0
0.5,0.25,GraphSAGE,1,150,1.751279035856307e-20,0.0078596230596303,-2.384185791015625e-07
0.5,0.25,GraphSAGE,1,200,0.0,0.0078127002343535,0.0
0.5,0.25,GraphSAGE,2,1,9.670151897227427e-05,0.3182650506496429,3.999471664428711e-05
0.5,0.25,GraphSAGE,2,2,7.57566201693355e-05,0.3254354894161224,3.606081008911133e-05
0.5,0.25,GraphSAGE,2,4,7.1259551321951305e-06,0.1994950473308563,3.576278686523437e-06
0.5,0.25,GraphSAGE,2,8,2.5018835477452622e-06,0.0676863566040992,1.3113021850585938e-06
0.5,0.25,GraphSAGE,2,16,5.916959927825141e-06,0.0201372634619474,2.86102294921875e-06
0.5,0.25,GraphSAGE,2,32,2.4958088768276808e-05,0.0162589214742183,1.3113021850585938e-05
0.5,0.25,GraphSAGE,2,50,1.4861521310967472,0.0127710746601223,0.2117455005645752
0.5,0.25,GraphSAGE,2,100,1.6092492541225352,0.0157169457525014,0.3417915105819702
0.5,0.25,GraphSAGE,2,150,1.4329805194867329,0.0197284072637558,0.3239017128944397
0.5,0.25,GraphSAGE,2,200,1.461108193705679,0.0229071211069822,0.3936336636543274
0.5,0.25,GraphSAGE,3,1,0.0001638851314713,0.2958691418170929,6.341934204101562e-05
0.5,0.25,GraphSAGE,3,2,0.0001001127717471,0.2968817949295044,5.030632019042969e-05
0.5,0.25,GraphSAGE,3,4,8.799505115469549e-06,0.1606405079364776,4.649162292480469e-06
0.5,0.25,GraphSAGE,3,8,4.07582215622016e-06,0.0268095601350069,2.9802322387695312e-06
