regime,dataset,h,model,nde_epoch8,nde_epoch2400,nde_recovery,rank_ratio_epoch8,rank_ratio_epoch2400,rank_ratio_recovery,pairwise_epoch8,pairwise_epoch2400,pairwise_recovery,margin_epoch8,margin_epoch2400,margin_recovery,effective_rank_epoch8,effective_rank_epoch2400,effective_rank_recovery
lowlabel,PubMed,0.1,GraphSAGE,2.775866543982008e-09,5.200054001849389e-26,-2.775866543982008e-09,0.0852515947073697,0.0078125,-0.0774390947073697,0.0,0.0,0.0,-2.8058391166041476e-10,0.0,2.8058391166041476e-10,10.912204122543322,1.0,-9.912204122543322
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2.8342568759255533,2.651520394619709,-0.1827364813058443,0.0229574799537658,0.0366219989955424,0.013664519041776603,0.9962528705596924,0.9972323775291444,0.0009795069694520375,0.4769102096557617,0.8252418160438537,0.348331606388092,2.938557434082022,4.687615871429427,1.7490584373474052
lowlabel,PubMed,0.5,GraphSAGE,2.8069546639670277e-09,2.789631129693702e-20,-2.8069546639391315e-09,0.0363131649792193,0.0078131902962922,-0.028499974682927098,0.0,0.0,0.0,6.878600800064305e-10,0.0,-6.878600800064305e-10,4.64808511734007,1.0000883579254016,-3.6479967594146685
lowlabel,PubMed,0.5,GraphSAGEPairNorm,0.341048292090588,1.4039221769692596,1.0628738848786716,0.0561069466173648,0.0376080386340617,-0.0184989079833031,0.988506531715393,0.9958290696144104,0.007322537899017378,0.2295331835746764,0.6462756633758545,0.4167424798011781,7.181689167022695,4.813828945159898,-2.367860221862797
lowlabel,PubMed,0.9,GraphSAGE,4.0817871427671305e-07,0.1336825637473817,0.13368215556866742,0.0155348049476742,0.0197958182543515,0.004261013306677301,1.1086463928222655e-06,0.6658633828163147,0.6658622741699219,1.2326770858273052e-06,0.6842620819807053,0.6842608493036194,1.9884550333022977,2.533864736556992,0.5454097032546945
lowlabel,PubMed,0.9,GraphSAGEPairNorm,0.0827337420191321,0.2314612940350297,0.1487275520158976,0.0228605017066001,0.0271595280617475,0.004299026355147402,0.99425528049469,0.9963122963905334,0.002057015895843395,0.9657091081142426,0.9901046335697176,0.024395525455474965,2.9261442184448128,3.47641959190368,0.5502753734588675
lowlabel,Roman-Empire,0.1,GraphSAGE,2.1972549263034338e-06,1.2111419734744575,1.2111397762195313,0.0445766776800155,0.0881100669503211,0.0435333892703056,7.975101470947266e-06,0.7508522868156433,0.7508443117141723,1.372475435346132e-06,0.2907994270324707,0.29079805455703533,5.705814743041984,11.2780885696411,5.572273826599117
lowlabel,Roman-Empire,0.1,GraphSAGEPairNorm,1.8161096455459955,1.6852923390492016,-0.1308173064967939,0.0538947373628615,0.1325611531734466,0.0786664158105851,0.9746389508247376,0.9982576131820678,0.023618662357330233,0.1887040138244628,0.3682564735412598,0.17955245971679698,6.898526382446272,16.967827606201165,10.069301223754893
lowlabel,Roman-Empire,0.5,GraphSAGE,2.5713650480880617e-06,0.2842386859263724,0.2842361145613243,0.0515877988189458,0.0904622003436087,0.038874401524662906,9.632110595703125e-06,0.844292688369751,0.8442830562591553,9.049068455624364e-06,0.6785766690969467,0.678567620028491,6.603238248825062,11.579161643981914,4.975923395156852
lowlabel,Roman-Empire,0.5,GraphSAGEPairNorm,0.3300196789196769,0.7258766149029532,0.3958569359832763,0.0387499462813138,0.1564590960741042,0.11770914979279039,0.9955034375190734,0.997271966934204,0.0017685294151305042,0.4409653127193451,0.7362833440303802,0.2953180313110351,4.959993124008166,20.026764297485336,15.06677117347717
