dataset,variant,model,replicate_design,graph_seed,init_seed,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,mean_pairwise_cosine_distance
PubMed,center,GraphSAGECenterNorm,graph_x_init,2,11.0,2400,pns.6,128,1.2611686229317164e-32,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,2,29.0,2400,pns.6,128,2.802596939848259e-33,0.0,0.0,-1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,2,47.0,2400,pns.6,128,2.662467092855846e-32,0.0,0.0,-1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,2,65.0,2400,pns.6,128,1.639519209811231e-31,0.0,0.0,1.1920928955078125e-07
PubMed,center,GraphSAGECenterNorm,graph_x_init,2,83.0,2400,pns.6,128,1.1210387759393036e-32,0.0,0.0,0.0
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,2,11.0,2400,pns.6,128,2.057236705563489,3.652604341506958,0.0285359714180231,0.8119584918022156
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,2,29.0,2400,pns.6,128,1.9862835284622269,4.125744342803955,0.0322323776781559,0.8122044205665588
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,2,47.0,2400,pns.6,128,1.937847327710108,3.779539823532105,0.0295276548713445,0.7550818920135498
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,2,65.0,2400,pns.6,128,2.036147377578841,3.658502578735352,0.0285820513963699,0.8268420696258545
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,2,83.0,2400,pns.6,128,2.100163191702835,3.596535444259644,0.0280979331582784,0.7907810211181641
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,2,11.0,2400,pns.6,128,0.1242227175891023,1.237951159477234,0.0096714934334158,0.2777381539344787
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,2,29.0,2400,pns.6,128,0.0104008582184304,1.1163771152496338,0.0087216962128877,0.1643120050430297
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,2,47.0,2400,pns.6,128,0.0093679174853607,1.0800074338912964,0.0084375580772757,0.1822252869606018
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,2,65.0,2400,pns.6,128,0.1641618503880664,1.392329454421997,0.0108775738626718,0.273262619972229
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,2,83.0,2400,pns.6,128,0.1612193600800265,1.333864450454712,0.0104208160191774,0.2497070431709289
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,2,11.0,2400,pns.6,128,0.1396485443693928,14.745630264282228,0.1152002364397049,0.841699481010437
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,2,29.0,2400,pns.6,128,0.1125326559453639,14.710628509521484,0.1149267852306366,0.8805217742919922
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,2,47.0,2400,pns.6,128,0.0982327966828821,7.533114433288574,0.0588524565100669,0.8238158822059631
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,2,65.0,2400,pns.6,128,0.1072899997848271,12.707025527954102,0.0992736369371414,0.8832108974456787
Roman-Empire,scale,GraphSAGEScaleNorm,graph_x_init,2,83.0,2400,pns.6,128,0.0152316046644213,3.4399585723876958,0.0268746763467788,0.461760401725769
PubMed,center,GraphSAGECenterNorm,graph_x_init,3,11.0,2400,pns.6,128,1.149064745337786e-31,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,3,29.0,2400,pns.6,128,4.203895409772388e-33,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,3,47.0,2400,pns.6,128,1.4012984699241294e-31,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,3,65.0,2400,pns.6,128,2.942726786840672e-32,0.0,0.0,0.0
PubMed,center,GraphSAGECenterNorm,graph_x_init,3,83.0,2400,pns.6,128,3.0828566338330845e-32,0.0,0.0,1.1920928955078125e-07
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,3,11.0,2400,pns.6,128,1.8848614280920368,3.601264953613281,0.0281348824501037,0.7206358909606934
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,3,29.0,2400,pns.6,128,1.954216691384728,3.5969088077545166,0.0281008500605821,0.795685887336731
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,3,47.0,2400,pns.6,128,1.6734670838517451,3.681554555892944,0.0287621449679136,0.6729769706726074
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,3,65.0,2400,pns.6,128,1.9134282136981395,3.8930869102478023,0.0304147414863109,0.7546916604042053
PubMed,scale,GraphSAGEScaleNorm,graph_x_init,3,83.0,2400,pns.6,128,1.7855321635593446,3.3849353790283203,0.0264448076486587,0.712944746017456
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,3,11.0,2400,pns.6,128,0.1112160957889696,1.470388650894165,0.0114874113351106,0.3174489140510559
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,3,29.0,2400,pns.6,128,0.0745015434819725,1.850389838218689,0.0144561706110835,0.36026531457901
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,3,47.0,2400,pns.6,128,0.065521083638258,1.1821088790893557,0.0092352256178855,0.3344342708587646
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,3,65.0,2400,pns.6,128,0.1092403162130992,1.4420160055160522,0.0112657500430941,0.3489173650741577
Roman-Empire,center,GraphSAGECenterNorm,graph_x_init,3,83.0,2400,pns.6,128,0.0447376946104626,2.0027642250061035,0.0156465955078601,0.4001402854919433
