dataset,model,graph_seed,init_seed,lr,test_best,best_val,nde,effective_rank,rank_ratio,pairwise
PubMed,GraphSAGE,3,65,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,1.1920928955078125e-07
PubMed,GraphSAGE,3,83,0.003,0.39936748147010803,0.3995943069458008,0.0,1.0,0.0078125,-1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,3,11,0.03,0.8257055878639221,0.8407707810401917,2.507954552092347,5.182807445526123,0.0404906831681728,0.9942808151245116
PubMed,GraphSAGEPairNorm,3,29,0.03,0.8306581377983093,0.8392494916915894,2.6003556018618137,4.9929680824279785,0.0390075631439685,0.9980538487434388
PubMed,GraphSAGEPairNorm,3,47,0.03,0.8278536796569824,0.842799186706543,2.225733366561001,4.845644474029541,0.0378565974533557,0.968213677406311
PubMed,GraphSAGEPairNorm,3,65,0.03,0.8350139856338501,0.8433062434196472,2.518836710757096,5.090397357940674,0.0397687293589115,0.9973288774490356
PubMed,GraphSAGEPairNorm,3,83,0.03,0.8314934968948364,0.8453346490859985,2.6744191050542305,5.346760272979736,0.0417715646326541,0.9995632767677308
PubMed,GraphSAGE,3,11,0.03,0.39936748147010803,0.3995943069458008,9.736651013758958e-18,1.0281089544296265,0.0080321012064814,-1.1920928955078125e-07
PubMed,GraphSAGE,3,29,0.03,0.39936748147010803,0.3995943069458008,1.3941664403014698e-18,1.027094841003418,0.0080241784453392,0.0
PubMed,GraphSAGE,3,47,0.03,0.39369890093803406,0.409736305475235,7.388899864373574e-26,1.0000364780426023,0.0078127849847078,1.1920928955078125e-07
PubMed,GraphSAGE,3,65,0.03,0.39936748147010803,0.3995943069458008,3.3151686007531515e-16,1.518945574760437,0.0118667623028159,1.1920928955078125e-07
PubMed,GraphSAGE,3,83,0.03,0.39948683977127075,0.4001014232635498,5.287272659958602e-28,1.0,0.0078125,-1.1920928955078125e-07
PubMed,GraphSAGEPairNorm,4,11,0.001,0.6639417409896851,0.6754563450813293,2.481400711542847,4.903928756713867,0.038311943411827,0.9780016541481018
PubMed,GraphSAGEPairNorm,4,29,0.001,0.6669849157333374,0.6830628514289856,2.502815432717578,5.218756198883057,0.0407715328037738,0.9704332947731018
PubMed,GraphSAGEPairNorm,4,47,0.001,0.6680589318275452,0.6830628514289856,2.6359948463578635,4.825275897979736,0.0376974679529666,0.9717380404472352
PubMed,GraphSAGEPairNorm,4,65,0.001,0.6640014052391052,0.6729208827018738,2.404623759247119,5.11094856262207,0.0399292856454849,0.9608006477355956
PubMed,GraphSAGEPairNorm,4,83,0.001,0.6609582901000977,0.6744421720504761,2.418034634725496,5.249448299407959,0.0410113148391246,0.9725602269172668
PubMed,GraphSAGE,4,11,0.001,0.39936748147010803,0.3995943069458008,5.2643718698866236e-18,1.018757700920105,0.0079590445384383,0.0
