dataset,variant,n,test_mean,test_std,test_min,test_max
PubMed,baseline,25,0.399367481470108,0.0,0.399367481470108,0.399367481470108
PubMed,center,25,0.39936748147010803,0.0,0.39936748147010803,0.39936748147010803
PubMed,scale,25,0.808212878704071,0.00997178862704015,0.7819082140922546,0.8263619542121887
PubMed,full,25,0.832791907787323,0.005210699425111105,0.8261829018592834,0.842353343963623
Roman-Empire,baseline,25,0.9838176703453064,0.0028710395961588026,0.9760161638259888,0.9875928163528442
Roman-Empire,center,25,0.9822768998146058,0.0037240773559073037,0.9737839102745056,0.9885791540145874
Roman-Empire,scale,25,0.9785723876953125,0.00354776994848996,0.9713959097862244,0.9860873222351074
Roman-Empire,full,25,0.9821377730369568,0.002237828804407496,0.9779369831085204,0.9852567315101624
