variant,n,test_mean,test_std,nde_mean,nde_std,effective_rank_mean,effective_rank_std,pairwise_mean,pairwise_std
baseline,25,0.5399999713897705,0.13726714963988762,0.11995925037165446,0.4152742594343711,2.3887507200241087,2.111279696689152,0.031204168796539308,0.10803724184642412
center,25,0.9987058281898499,0.0019802858202793245,3.609606871708001,0.04884998490811568,1.7602901887893676,0.3509361880316049,0.9999389266967773,0.0014037742037660633
full,25,0.9987293529510498,0.002411519764839497,3.5995026639252865,0.037834475321604576,1.9103274393081664,0.30766196806854845,0.9999301624298096,0.0010688221181785957
scale,25,0.9967764258384705,0.004225199427164849,2.542402540419583,0.20251758369014533,1.3005144691467285,0.060522302331867305,0.6997522115707397,0.06494362815380977
