dataset,h,variant,model,graph_seed,init_seed,lr,test_acc,epoch,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
PubMed,0.1,center,GraphSAGECenterNorm,1,83,0.01,0.39936748147010803,2400,pns.6,128,3.643376021802737e-32,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,2,11,0.01,0.39936748147010803,2400,pns.6,128,1.2611686229317164e-32,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,2,29,0.01,0.39936748147010803,2400,pns.6,128,2.802596939848259e-33,0.0,0.0,-1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,2,47,0.01,0.39936748147010803,2400,pns.6,128,2.662467092855846e-32,0.0,0.0,-1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,2,65,0.01,0.39936748147010803,2400,pns.6,128,1.639519209811231e-31,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,2,83,0.01,0.39936748147010803,2400,pns.6,128,1.1210387759393036e-32,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,3,11,0.01,0.39936748147010803,2400,pns.6,128,1.149064745337786e-31,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,3,29,0.01,0.39936748147010803,2400,pns.6,128,4.203895409772388e-33,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,3,47,0.01,0.39936748147010803,2400,pns.6,128,1.4012984699241294e-31,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,3,65,0.01,0.39936748147010803,2400,pns.6,128,2.942726786840672e-32,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,3,83,0.01,0.39936748147010803,2400,pns.6,128,3.0828566338330845e-32,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,4,11,0.01,0.39936748147010803,2400,pns.6,128,8.407790819544776e-33,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,4,29,0.01,0.39936748147010803,2400,pns.6,128,1.3032075770294403e-31,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,4,47,0.01,0.39936748147010803,2400,pns.6,128,4.2038954097723885e-32,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,4,65,0.01,0.39936748147010803,2400,pns.6,128,1.401298469924129e-32,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,4,83,0.01,0.39936748147010803,2400,pns.6,128,1.093012806540821e-31,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,5,11,0.01,0.39936748147010803,2400,pns.6,128,5.74532372668893e-32,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,5,29,0.01,0.39936748147010803,2400,pns.6,128,1.4012984699241296e-33,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,5,47,0.01,0.39936748147010803,2400,pns.6,128,4.904544644734453e-32,0.0,0.0,0.0,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,5,65,0.01,0.39936748147010803,2400,pns.6,128,3.5032461748103235e-32,0.0,0.0,-1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,center,GraphSAGECenterNorm,5,83,0.01,0.39936748147010803,2400,pns.6,128,9.809089289468908e-33,0.0,0.0,1.1920928955078125e-07,realworld_pairnorm_component_ablation_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,1,11,0.01,0.8294647336006165,2400,pns.6,128,2.8619286904468493,4.702452182769775,0.0367379076778888,0.9983223080635072,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,1,29,0.01,0.8279730081558228,2400,pns.6,128,2.718846982836338,4.437851428985596,0.0346707142889499,0.999772608280182,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,1,47,0.01,0.8271973133087158,2400,pns.6,128,2.774832605517413,4.3423848152160645,0.0339248813688755,0.999133288860321,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,1,65,0.01,0.8331642746925354,2400,pns.6,128,2.7663545096000024,4.440101146697998,0.0346882902085781,0.9939780235290528,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,1,83,0.01,0.8291067481040955,2400,pns.6,128,2.706222991868153,4.41403341293335,0.0344846360385417,0.9975780844688416,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,2,11,0.01,0.8361477255821228,2400,pns.6,128,2.625235670480767,4.472759246826172,0.0349434316158294,0.9949816465377808,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,2,29,0.01,0.8339399695396423,2400,pns.6,128,2.6609294137527058,4.836382389068604,0.0377842374145984,0.9981292486190796,realworld_pairnorm_component_reference_matched_lr01_v2
PubMed,0.1,full,GraphSAGEPairNorm,2,47,0.01,0.839847207069397,2400,pns.6,128,2.639273349028109,4.751467227935791,0.0371208377182483,0.9948073029518129,realworld_pairnorm_component_reference_matched_lr01_v2
