domain,regime,dataset,h,feature_signal,model,early_epoch,final_epoch,nde_early,nde_final,nde_recovery,rank_early,rank_final,rank_recovery,pairwise_early,pairwise_final,pairwise_recovery
cSBM,lowlabel,cSBM,0.1,0.25,GraphSAGE,8,200,2.1059719781065123e-06,9.20146092635358e-16,-2.105971977186366e-06,0.0730088599026202,0.0208201458677649,-0.052188714034855296,1.1801719665527344e-06,8.344650268554688e-08,-1.0967254638671876e-06
cSBM,lowlabel,cSBM,0.1,0.25,GraphSAGEPairNorm,8,200,3.625267226932229,3.393822864975273,-0.23144436195695617,0.0186738174408673,0.0212638918310403,0.0025900743901729993,1.0000976085662845,0.9929945230484007,-0.007103085517883745
cSBM,lowlabel,cSBM,0.1,0.5,GraphSAGE,8,200,1.5350218424594357e-06,2.3242371612255016e-16,-1.535021842227012e-06,0.0771861217916011,0.0166093800216912,-0.0605767417699099,8.344650268554688e-07,3.576278686523438e-08,-7.987022399902344e-07
cSBM,lowlabel,cSBM,0.1,0.5,GraphSAGEPairNorm,8,200,3.633293239728637,3.375433809806684,-0.257859429921953,0.0128464160487055,0.0210705678910016,0.0082241518422961,1.0001267433166503,0.9907186508178712,-0.009408092498779053
cSBM,lowlabel,cSBM,0.5,0.25,GraphSAGE,8,200,1.7218084005849215e-06,0.2922216387411359,0.2922199169327353,0.0774100217968225,0.0118744952604174,-0.06553552653640511,1.0728836059570312e-06,0.0787267208099365,0.07872564792633055
cSBM,lowlabel,cSBM,0.5,0.25,GraphSAGEPairNorm,8,200,2.048704500892044,2.1461676210087512,0.0974631201167071,0.5684404253959656,0.0228947140276431,-0.5455457113683225,0.9775770783424378,0.9782644152641295,0.0006873369216917613
cSBM,lowlabel,cSBM,0.5,0.5,GraphSAGE,8,200,1.9035473390312711e-06,2.7031706245298434e-16,-1.9035473387609541e-06,0.0746875707060098,0.0116891730576753,-0.06299839764833451,1.0251998901367187e-06,9.5367431640625e-08,-9.298324584960937e-07
cSBM,lowlabel,cSBM,0.5,0.5,GraphSAGEPairNorm,8,200,2.0631206175634107,2.1494914667761824,0.08637084921277172,0.5244566321372985,0.0227745544165372,-0.5016820777207613,0.9596725344657898,0.9765646576881408,0.016892123222351008
cSBM,lowlabel,cSBM,0.9,0.25,GraphSAGE,8,200,8.345714237824895e-06,0.1802371272870065,0.18022878157276867,0.0652913760393857,0.0124502610415219,-0.0528411149978638,5.817413330078125e-06,0.3726911783218384,0.37268536090850835
cSBM,lowlabel,cSBM,0.9,0.25,GraphSAGEPairNorm,8,200,0.3871380893357586,0.5567647773389186,0.16962668800316,0.0162441905587911,0.0179322374984621,0.0016880469396710028,0.9997617125511168,0.98907812833786,-0.01068358421325677
cSBM,lowlabel,cSBM,0.9,0.5,GraphSAGE,8,200,4.333026940030016e-06,0.2659490514178392,0.26594471839089917,0.0579475425183772,0.0129388423636555,-0.0450087001547217,5.5909156799316405e-06,0.5968265414237977,0.5968209505081177
