regime,dataset_raw,dataset,h,model,family,pairnorm,seed,split_idx,depth,epoch,layer_index,layer_name,embedding_dim,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,1,0,8,2400,7,convs.6,128,0.0007217905793105,0.0078164739534258,8.45789909362793e-05,5.937326932325959e-07,0.0060557601973414
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,2,0,8,2400,7,convs.6,128,0.0464409407421825,0.0078395316377282,0.0055524706840515,3.834441304206848e-05,0.0057924375869333
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,3,0,8,2400,7,convs.6,128,1.0583117109372824,0.0087433718144893,0.0791419148445129,0.0008776038885116,0.0089151430875062
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,4,0,8,2400,7,convs.6,128,3.389767230396299e-06,0.0079664122313261,3.5762786865234375e-07,6.247944384085712e-10,0.0019886926747858
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GCN,GCN,False,5,0,8,2400,7,convs.6,128,1.0220491069578346,0.00865463539958,0.0807272791862487,0.0005304813385009,0.0071951476857066
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,10,2400,18,pns.8,128,2.734023784621732,0.0357607826590538,0.9975544810295104,0.7749861776828766,1.29617178440094
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,10,2400,18,pns.8,128,2.80777910617217,0.0332013480365276,1.000145673751831,0.7766331136226654,1.2694250345230105
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,10,2400,18,pns.8,128,2.710387163493204,0.0332900360226631,0.9991500377655028,0.7658674716949463,1.3325697183609009
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,10,2400,18,pns.8,128,2.528961593596052,0.035230204463005,0.9924614429473876,0.826897531747818,1.5001381635665894
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,10,2400,18,pns.8,128,2.601033787641994,0.0349704399704933,0.9927710890769958,0.8377278447151184,1.5433863401412964
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,2,2400,2,pns.0,128,1.9174046764338968,0.6921610832214355,0.9986672401428224,0.42559415102005,0.442478746175766
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,2,2400,2,pns.0,128,1.9315801914188069,0.6929843425750732,0.997860550880432,0.4012746214866638,0.419003814458847
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,2,2400,2,pns.0,128,1.9442722937119796,0.6898230314254761,0.9972521662712096,0.4156510829925537,0.4332752525806427
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,2,2400,2,pns.0,128,1.9443876511772904,0.6934256553649902,0.9993683099746704,0.4212644696235657,0.4479388892650604
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,2,2400,2,pns.0,128,1.971573036856657,0.6999427676200867,0.99871563911438,0.4398149251937866,0.4657858908176422
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,4,2400,6,pns.2,128,2.564886881204776,0.0612092465162277,0.9972211122512816,0.6949098110198975,0.971772313117981
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,4,2400,6,pns.2,128,2.4510566386346357,0.0583257153630256,0.9943858981132508,0.7697823643684387,1.2581064701080322
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,4,2400,6,pns.2,128,2.483138580612952,0.0569544658064842,0.9983243346214294,0.7081436514854431,1.0243278741836548
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,4,2400,6,pns.2,128,2.5435783556859763,0.0609679259359836,0.9971595406532288,0.8138668239116669,1.3139537572860718
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,4,2400,6,pns.2,128,2.6020420692491557,0.0584777519106864,0.9968052506446838,0.7478836476802826,1.1597445011138916
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,5,2400,8,pns.3,128,2.603439707134583,0.0441477261483669,0.9976001381874084,0.7530902624130249,1.1405727863311768
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,5,2400,8,pns.3,128,2.6358726426509267,0.0426648370921611,0.99942147731781,0.7881242334842682,1.3163456916809082
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,5,2400,8,pns.3,128,2.503715563763554,0.0416031070053577,0.9984180331230164,0.7826763689517975,1.2727108001708984
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,5,2400,8,pns.3,128,2.6496491202450483,0.0436841584742069,0.9952222108840942,0.7934922277927399,1.3368160724639893
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,5,2400,8,pns.3,128,2.501386562388036,0.0465921200811862,0.9947168231010436,0.756200760602951,1.2083749771118164
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,6,2400,10,pns.4,128,2.590147497087842,0.0404143743216991,0.9965413212776184,0.8189458549022675,1.4750056266784668
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,6,2400,10,pns.4,128,2.6102458729849065,0.0408429354429245,0.9958808422088624,0.8037885129451752,1.4320255517959597
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,3,0,6,2400,10,pns.4,128,2.5331792978614645,0.0379034280776977,0.9951990842819214,0.7465966045856476,1.1757270097732544
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,4,0,6,2400,10,pns.4,128,2.630633285470501,0.041115615516901,0.9977442622184752,0.8317677080631256,1.5400514602661133
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0,6,2400,10,pns.4,128,2.890472263922577,0.0386828668415546,0.999367654323578,0.8544993698596954,1.562766194343567
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,1,0,7,2400,12,pns.5,128,2.7424376048006414,0.0401898361742496,0.9977304935455322,0.8512926995754242,1.5891499519348145
lowlabel,RW-PubMed-H0.1-LOW,PubMed,0.1,GraphSAGEPairNorm,GraphSAGE,True,2,0,7,2400,12,pns.5,128,2.444035089988474,0.0387089513242244,0.9924314022064208,0.8089860379695892,1.3867366313934326
