regime,dataset,h,model,depth,seed,epoch,normalized_dirichlet_energy,effective_rank_ratio,mean_pairwise_cosine_distance,class_separation_margin,fisher_discriminant_ratio,mean_embedding_norm
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,0,1.4791848683666375,0.9505296349525452,0.9997768998146056,0.025144875049591,0.0168833136558532,0.969659149646759
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1,1.6605926981680668,0.901576817035675,0.999053716659546,0.1691148281097412,0.1245234459638595,0.9710658192634584
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,2,1.9075970144306336,0.8284632563591003,0.9996017813682556,0.3249220848083496,0.2820096015930176,0.9645094275474548
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,4,2.186357130760095,0.7272757887840271,0.9993526935577391,0.4568131566047668,0.4757503569126129,0.951735258102417
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,8,2.295947672210966,0.6446776390075684,0.9990862607955932,0.5302411317825317,0.61053866147995,0.9461984634399414
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,16,2.0599105739374477,0.6104503273963928,0.9973382949829102,0.5046741366386414,0.565944492816925,0.9433751106262208
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,32,2.0469106533153103,0.6286534070968628,0.9995312690734864,0.3896039724349975,0.3961364924907684,0.9442147612571716
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,50,2.018333295568788,0.6830775141716003,0.9987478256225586,0.3715594410896301,0.3721292912960052,0.9490537047386168
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,100,1.956042350569932,0.7097394466400146,0.9979601502418518,0.3973726034164428,0.4128716886043548,0.951766312122345
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,150,1.967329125833689,0.7028961181640625,0.997969686985016,0.3926021456718445,0.4043496251106262,0.9506219029426576
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,200,1.9312582113792829,0.7087650895118713,0.999445617198944,0.3890212178230285,0.4037242233753204,0.9509013891220092
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,300,1.9247484521208424,0.712526798248291,0.9990070462226868,0.4173316955566406,0.4323635697364807,0.9518467783927916
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,400,1.980662116351916,0.7016764879226685,0.999684751033783,0.4070693254470825,0.4236355721950531,0.94996178150177
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,600,1.908930974879032,0.7044956684112549,0.9980005621910096,0.3942737579345703,0.4027692675590515,0.9498825669288636
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,800,1.9065633981143888,0.705699622631073,0.9985923767089844,0.400909423828125,0.4150756299495697,0.9489909410476683
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1000,1.933551853424865,0.6979584097862244,0.9977908730506896,0.4072054028511047,0.4253142178058624,0.9487277269363404
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1200,1.9168537476722949,0.7005775570869446,0.998799741268158,0.4226776957511902,0.4347394406795501,0.9487646818161012
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1400,1.9146109212884368,0.7055038213729858,0.9994505643844604,0.4011681675910949,0.419271171092987,0.9492076635360718
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1600,1.9323376649550783,0.694912850856781,0.9985968470573424,0.4240357279777527,0.4316935241222381,0.9488102197647096
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,1800,1.9461601635413577,0.7072027325630188,0.9995061159133912,0.4285001754760742,0.454740434885025,0.9496141076087952
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,2000,1.943216765370204,0.6977860331535339,0.998291552066803,0.4128314256668091,0.4249894320964813,0.9488508701324464
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,2200,1.9120925235410768,0.7017841935157776,0.9984830617904664,0.4226728677749634,0.4493231177330017,0.9480780363082886
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,1,2400,1.9174046764338968,0.6921610832214355,0.9986672401428224,0.42559415102005,0.442478746175766,0.9492834210395812
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,0,1.463046796919165,0.9454478621482848,0.999862015247345,0.029679000377655,0.0198380053043365,0.9696159958839417
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1,1.6347681776466794,0.8899088501930237,0.9994996190071106,0.1827244162559509,0.1369979679584503,0.970512866973877
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,2,1.8882748368973872,0.8168221116065979,0.9997650980949402,0.3346196413040161,0.2986639738082886,0.9640357494354248
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,4,2.1657705575056,0.7147124409675598,0.9980886578559875,0.4711597561836242,0.5040605664253235,0.9510817527770996
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,8,2.2608056843786883,0.6305528879165649,0.9984300136566162,0.5577228665351868,0.6589334607124329,0.9458189010620116
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,16,2.0484214058963945,0.6061877608299255,0.997067093849182,0.4880092144012451,0.5525538325309753,0.9414278864860536
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,32,2.043022051002358,0.626946747303009,0.9990525841712952,0.4032937884330749,0.436022013425827,0.9433138370513916
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,50,1.9987495918434035,0.6804624795913696,0.9978820085525512,0.4086114168167114,0.4373812973499298,0.947391927242279
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,100,1.9474646819248869,0.7014894485473633,0.9988259077072144,0.4139657616615295,0.4384999573230743,0.9498242139816284
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,150,1.9554550898424985,0.7025261521339417,0.9981674551963806,0.409928023815155,0.4354029595851898,0.94900244474411
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,200,1.9714452473682624,0.695458173751831,0.9959697127342224,0.4325824975967407,0.458256721496582,0.9479486346244812
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,300,1.9454426233105369,0.6984448432922363,0.9956042766571044,0.4366106390953064,0.4776911735534668,0.9487518072128296
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,400,1.9187437992205272,0.6955274939537048,0.9967079758644104,0.4485252499580383,0.4861726462841034,0.9463968873023988
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,600,1.9088538328185352,0.6950129270553589,0.9977304935455322,0.4408885240554809,0.4839828610420227,0.9467460513114928
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,800,1.890613824428653,0.6810818910598755,0.9960274696350098,0.4463163614273071,0.4876161813735962,0.9468855261802672
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1000,1.9226605772688543,0.6863461136817932,0.9984914064407348,0.4318597316741943,0.4641872942447662,0.945637822151184
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1200,1.9080089718955655,0.6914617419242859,0.9969979524612428,0.4417559504508972,0.4716028273105621,0.9470212459564208
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1400,1.965393765220285,0.6894760727882385,0.9981061816215516,0.4435001015663147,0.4883742928504944,0.9457036852836608
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1600,1.8943466853171704,0.6755184531211853,0.9972600936889648,0.463941216468811,0.5168986320495605,0.9436675310134888
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,1800,1.895768664568884,0.6952184438705444,0.9983095526695251,0.4314911961555481,0.4623370468616485,0.9464039206504822
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,2000,1.894742384446516,0.6895408630371094,0.9988957643508912,0.4395720362663269,0.4678107798099518,0.9463751912117004
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,2200,1.9388057365336264,0.6938380599021912,0.9985538125038148,0.4542815685272217,0.4977312684059143,0.9468510746955872
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,2,2400,1.9315801914188069,0.6929843425750732,0.997860550880432,0.4012746214866638,0.419003814458847,0.9465790390968324
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,0,1.473639686959971,0.9477851390838624,0.999922811985016,0.0266225337982177,0.0175835564732551,0.969440758228302
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,1,1.622052162415357,0.9002601504325867,0.9994856715202332,0.1613704562187194,0.1168359443545341,0.9708240628242492
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,2,1.850862820405738,0.8294593691825867,0.9985350966453552,0.3088634014129638,0.2706373929977417,0.9656644463539124
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,4,2.1007043249717783,0.7326626181602478,0.9991463422775269,0.4679747819900512,0.4868304431438446,0.9550528526306152
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,8,2.1947890869889317,0.6620131731033325,0.997719407081604,0.5374179482460022,0.6219367384910583,0.9491353631019592
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,16,2.0053027648138144,0.6485635638237,0.9988248348236084,0.4543678760528564,0.5046499371528625,0.9462252259254456
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,32,2.0097106622766576,0.6511482000350952,0.9984835386276244,0.4053558707237243,0.4274689555168152,0.9482129216194152
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,50,1.993195012235669,0.6898509860038757,0.9985286593437196,0.4051445126533508,0.4335893988609314,0.9511191844940186
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,100,1.9573061430694667,0.705757200717926,0.9983817934989928,0.3929226994514465,0.4036248922348022,0.9522759914398192
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,150,1.91741358265052,0.7057285904884338,0.998155415058136,0.4132516980171203,0.4375522136688232,0.9512845277786256
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,200,1.945910610250522,0.7100782990455627,0.9996880292892456,0.4125789403915405,0.4333048164844513,0.94997239112854
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,300,1.9419558784727555,0.7041040658950806,0.998887538909912,0.4042394161224365,0.414221316576004,0.9480108618736268
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,400,1.9288183684346163,0.6993409395217896,0.9973700642585754,0.4393704533576965,0.4752574861049652,0.9472813606262208
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,600,1.9447653010684889,0.6971627473831177,0.9987651109695436,0.4270625114440918,0.4536269605159759,0.9473065733909608
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,800,1.912501361740132,0.694962203502655,0.9981921911239624,0.4373921751976013,0.4668306112289428,0.944610595703125
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,1000,1.8826604153420377,0.7018454670906067,0.9976998567581176,0.4161182641983032,0.437667965888977,0.9457570910453796
lowlabel,PubMed,0.1,GraphSAGEPairNorm,2,3,1200,1.9143512885706453,0.698866605758667,0.9980174899101256,0.4279294610023498,0.4667958915233612,0.9450979828834534
