regime,dataset,h,model,depth,epoch,n,nde_mean,nde_std,rank_ratio_mean,rank_ratio_std,pairwise_mean,margin_mean,fisher_mean,embedding_norm_mean
lowlabel,PubMed,0.1,GraphSAGE,2,0,5,0.29485631636413323,0.014266556176380028,0.9473746061325073,0.0012561170296481218,0.19339053630828854,0.00510669648647302,0.01797834634780878,0.3262871623039245
lowlabel,PubMed,0.1,GraphSAGE,2,1,5,0.18552739087469042,0.019809969670394115,0.90451580286026,0.004144894966807654,0.11127518415451043,0.014220625162124578,0.095937830209732,0.42231014370918274
lowlabel,PubMed,0.1,GraphSAGE,2,2,5,0.1436764502537656,0.016419290399951363,0.7954909086227417,0.004885388545818826,0.07049714326858514,0.02175337597727772,0.27312416732311245,0.5958835244178772
lowlabel,PubMed,0.1,GraphSAGE,2,4,5,0.19650150967988417,0.02244333609129997,0.5836866497993469,0.007521558873718753,0.08004792928695674,0.0433176346123218,0.5788749098777771,0.8381585955619812
lowlabel,PubMed,0.1,GraphSAGE,2,8,5,0.6104527897885312,0.019425888924724286,0.3795054197311401,0.007557191833123781,0.23565329313278194,0.15961261689662928,0.7677400231361389,0.9381883263587951
lowlabel,PubMed,0.1,GraphSAGE,2,16,5,0.7324213967128262,0.052580438182869456,0.23189105391502376,0.00549900045479055,0.2740692734718323,0.21543481647968288,0.9706532597541809,1.547985816001892
lowlabel,PubMed,0.1,GraphSAGE,2,32,5,0.8584517573084149,0.044136231366094,0.2328040391206741,0.006126751450242642,0.34607220888137813,0.29566695988178254,1.0851568698883056,1.4873765707015991
lowlabel,PubMed,0.1,GraphSAGE,2,50,5,0.928136421705673,0.04886357522385924,0.2536331325769424,0.007787834331500582,0.365610921382904,0.32268121540546413,1.1436376571655273,1.1662654876708984
lowlabel,PubMed,0.1,GraphSAGE,2,100,5,0.967149943194762,0.043289439704060406,0.27542771100997926,0.011002027104498333,0.38451472520828245,0.3324042022228241,1.1056880474090576,0.9369837641716003
lowlabel,PubMed,0.1,GraphSAGE,2,150,5,1.0037602685968776,0.04923499109785932,0.2875945568084716,0.00666807288260533,0.39965903759002686,0.348663517832756,1.1293551683425904,0.8414859414100647
lowlabel,PubMed,0.1,GraphSAGE,2,200,5,0.994377521643387,0.048285393445638536,0.28950358629226686,0.01013707028584088,0.39696215391159057,0.3463592380285263,1.148646926879883,0.8124537467956543
lowlabel,PubMed,0.1,GraphSAGE,2,300,5,1.004385043079659,0.04551214128567275,0.29092051982879635,0.009594975895003792,0.39887558221817015,0.3490109324455261,1.1538067579269409,0.7842723369598389
lowlabel,PubMed,0.1,GraphSAGE,2,400,5,1.019926561318644,0.05967142476675281,0.28784854412078853,0.009839257348389027,0.40493409633636473,0.35669520497322077,1.159985327720642,0.7698401808738708
lowlabel,PubMed,0.1,GraphSAGE,2,600,5,1.0196519485657665,0.04526732749626694,0.28990013599395753,0.006274800502290431,0.40525212287902834,0.35292997062206266,1.1489206075668335,0.7630505800247193
lowlabel,PubMed,0.1,GraphSAGE,2,800,5,1.0341348444978593,0.07492779065252898,0.2921877443790436,0.006240867953987498,0.40766971111297606,0.35376659631729124,1.1370046138763428,0.7610779881477356
lowlabel,PubMed,0.1,GraphSAGE,2,1000,5,1.0201415229116269,0.06907916185720919,0.29667764306068417,0.003679118437698424,0.4050528883934021,0.355766150355339,1.1418163537979127,0.7616482853889466
lowlabel,PubMed,0.1,GraphSAGE,2,1200,5,1.0320315552292292,0.07010516095062026,0.2952775716781616,0.0062444194674126765,0.4047754168510437,0.35318219363689424,1.1436711311340333,0.7596394062042237
lowlabel,PubMed,0.1,GraphSAGE,2,1400,5,1.0160987499396505,0.08851836857865947,0.2978277266025543,0.005869769111331491,0.4002028226852417,0.3620302706956863,1.1947562456130982,0.7640340924263
lowlabel,PubMed,0.1,GraphSAGE,2,1600,5,1.0269551675857884,0.058469364744250595,0.29947123527526853,0.0037517935617860584,0.40545681715011594,0.35822917520999903,1.1603788614273072,0.760447871685028
lowlabel,PubMed,0.1,GraphSAGE,2,1800,5,1.0324034071048933,0.0797686258513083,0.3038852989673614,0.009445599672787356,0.40909273624420167,0.35569664835929865,1.129093837738037,0.7594822883605957
lowlabel,PubMed,0.1,GraphSAGE,2,2000,5,1.0194147355834349,0.052547066599040994,0.3081355631351471,0.005307884684081458,0.4051470160484314,0.34535990953445433,1.1023837804794312,0.7653892636299133
lowlabel,PubMed,0.1,GraphSAGE,2,2200,5,1.0314720772065644,0.06730901127995371,0.31139885187149047,0.003538219449553825,0.4132384300231934,0.3483906656503677,1.0919127941131592,0.7604323863983155
lowlabel,PubMed,0.1,GraphSAGE,2,2400,5,1.0223213175974886,0.07603432951644258,0.31197928786277773,0.008807244030028177,0.40426924228668215,0.35488203167915344,1.1334980010986326,0.7633115530014039
lowlabel,PubMed,0.1,GraphSAGE,8,0,5,6.909536971706653e-06,1.5638696489967515e-06,0.46877800226211547,0.017300997682057298,6.783008575439453e-06,1.3215012586442754e-07,0.015168164670467322,0.7298555254936219
lowlabel,PubMed,0.1,GraphSAGE,8,1,5,1.6860344303406148e-07,5.962708188467152e-08,0.30423082113265987,0.04375066835530028,9.5367431640625e-08,2.505004204067518e-09,0.00997745217755432,1.9770729541778564
lowlabel,PubMed,0.1,GraphSAGE,8,2,5,5.950773259296033e-08,4.121199736335599e-08,0.2981338858604431,0.01734586951559335,4.76837158203125e-08,2.057450743109257e-09,0.01990015096962448,0.9784839510917663
lowlabel,PubMed,0.1,GraphSAGE,8,4,5,6.6900250883889555e-09,1.1109601578604036e-08,0.15316612422466272,0.04534976525386922,0.0,-1.093586554645753e-10,0.01744265668094152,1.0812801480293275
lowlabel,PubMed,0.1,GraphSAGE,8,8,5,2.775866543982008e-09,6.030515374697847e-09,0.08525159470736979,0.04621321562101479,0.0,-2.8058391166041476e-10,0.0182499599643051,1.3082187175750732
lowlabel,PubMed,0.1,GraphSAGE,8,16,5,5.7249606946744046e-11,1.0267440866628799e-10,0.05779030919075008,0.025129330004605214,0.0,9.422613800325052e-11,0.01747474605217572,1.1709478378295899
lowlabel,PubMed,0.1,GraphSAGE,8,32,5,4.796534553242445e-10,1.0724424268188552e-09,0.15134451817721126,0.08457164010229509,0.0,1.4188579200435926e-10,0.41267314180731773,0.8910778403282166
