dataset,variant,model,graph_seed,init_seed,test_best,source
PubMed,full,GraphSAGEPairNorm,4,11,0.8275552988052368,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,4,29,0.8337012529373169,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,4,47,0.8334029316902161,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,4,65,0.8263619542121887,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,4,83,0.8353123664855957,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,5,11,0.8389521837234497,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,5,29,0.842353343963623,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,5,47,0.834178626537323,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,5,65,0.8364460468292236,clean_graph_init_factorial
PubMed,full,GraphSAGEPairNorm,5,83,0.8419356346130371,clean_graph_init_factorial
PubMed,scale,GraphSAGEScaleNorm,1,11,0.793842077255249,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,1,29,0.8088787794113159,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,1,47,0.811384916305542,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,1,65,0.7819082140922546,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,1,83,0.7922906875610352,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,2,11,0.8153231143951416,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,2,29,0.812995970249176,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,2,47,0.8263619542121887,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,2,65,0.8126976490020752,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,2,83,0.8094158172607422,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,3,11,0.8042245507240295,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,3,29,0.8058953285217285,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,3,47,0.8017781376838684,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,3,65,0.8013604283332825,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,3,83,0.7998687028884888,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,4,11,0.819559633731842,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,4,29,0.809356153011322,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,4,47,0.8213496804237366,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,4,65,0.806074321269989,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,4,83,0.8033891916275024,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,5,11,0.8054179549217224,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,5,29,0.8110268712043762,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,5,47,0.8189629316329956,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,5,65,0.8116235733032227,component_ablation_v2
PubMed,scale,GraphSAGEScaleNorm,5,83,0.820335328578949,component_ablation_v2
Roman-Empire,baseline,GraphSAGE,1,11,0.9865545034408568,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,1,29,0.9875928163528442,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,1,47,0.9804288148880004,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,1,65,0.986710250377655,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,1,83,0.9820899963378906,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,2,11,0.986969828605652,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,2,29,0.9866583347320556,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,2,47,0.9851529002189636,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,2,65,0.9831801652908324,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,2,83,0.9873851537704468,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,3,11,0.9853085875511168,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,3,29,0.9760161638259888,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,3,47,0.9812074899673462,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,3,65,0.984218418598175,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,3,83,0.983958899974823,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,4,11,0.9849452376365662,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,4,29,0.9811036586761476,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,4,47,0.9854124188423156,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,4,65,0.9812074899673462,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,4,83,0.984477996826172,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,5,11,0.9865025877952576,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,5,29,0.984477996826172,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,5,47,0.9831282496452332,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,5,65,0.9802730679512024,clean_graph_init_factorial
Roman-Empire,baseline,GraphSAGE,5,83,0.9804807305336,clean_graph_init_factorial
Roman-Empire,center,GraphSAGECenterNorm,1,11,0.9885791540145874,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,1,29,0.9839069843292236,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,1,47,0.9855162501335144,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,1,65,0.9835435748100281,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,1,83,0.978144645690918,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,2,11,0.9873332381248474,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,2,29,0.9821938276290894,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,2,47,0.9869698286056519,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,2,65,0.9861392378807068,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,2,83,0.9845818281173706,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,3,11,0.9749779105186462,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,3,29,0.9779888987541199,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,3,47,0.9825053215026855,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,3,65,0.9824534058570862,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,3,83,0.9800654053688049,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,4,11,0.9851529002189636,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,4,29,0.9821938276290894,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,4,47,0.9829206466674805,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,4,65,0.98338782787323,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,4,83,0.9790271520614624,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,5,11,0.9835954904556274,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,5,29,0.97840416431427,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,5,47,0.9799096584320068,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,5,65,0.9836474061012268,component_ablation_v2
Roman-Empire,center,GraphSAGECenterNorm,5,83,0.9737839102745056,component_ablation_v2
Roman-Empire,full,GraphSAGEPairNorm,1,11,0.982712984085083,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,1,29,0.9845299124717712,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,1,47,0.9779369831085204,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,1,65,0.984477996826172,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,1,83,0.9843222498893738,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,2,11,0.9836993217468262,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,2,29,0.9829725027084352,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,2,47,0.981467068195343,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,2,65,0.9804288148880004,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,2,83,0.9816747307777404,clean_graph_init_factorial
Roman-Empire,full,GraphSAGEPairNorm,3,11,0.979805827140808,clean_graph_init_factorial
