dataset,model,graph_seed,init_seed,lr,best_epoch,best_val,test_best,source
PubMed,GraphSAGEPairNorm,3,11,0.001,36,0.6810344457626343,0.6699087023735046,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,29,0.001,38,0.6764705777168274,0.6711617708206177,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,47,0.001,37,0.6825557351112366,0.6739662289619446,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,65,0.001,40,0.6779918670654297,0.6689539551734924,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,83,0.001,44,0.6815415620803833,0.671281099319458,lr_sensitivity
PubMed,GraphSAGE,3,11,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,29,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,47,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,65,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,83,0.001,11,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,11,0.003,1608,0.7692697644233704,0.7700936794281006,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,29,0.003,2007,0.7601419687271118,0.7493286728858948,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,47,0.003,2207,0.7920892238616943,0.7896055579185486,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,65,0.003,2348,0.7677484750747681,0.7598901987075806,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,83,0.003,2180,0.7560851573944092,0.7534458637237549,lr_sensitivity
PubMed,GraphSAGE,3,11,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,29,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,47,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,65,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,83,0.003,4,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,11,0.03,2254,0.8407707810401917,0.8257055878639221,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,29,0.03,497,0.8392494916915894,0.8306581377983093,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,47,0.03,1123,0.842799186706543,0.8278536796569824,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,65,0.03,1933,0.8433062434196472,0.8350139856338501,lr_sensitivity
PubMed,GraphSAGEPairNorm,3,83,0.03,862,0.8453346490859985,0.8314934968948364,lr_sensitivity
PubMed,GraphSAGE,3,11,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,29,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,47,0.03,13,0.409736305475235,0.39369890093803406,lr_sensitivity
PubMed,GraphSAGE,3,65,0.03,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,3,83,0.03,49,0.4001014232635498,0.39948683977127075,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,11,0.001,28,0.6754563450813293,0.6639417409896851,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,29,0.001,42,0.6830628514289856,0.6669849157333374,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,47,0.001,38,0.6830628514289856,0.6680589318275452,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,65,0.001,42,0.6729208827018738,0.6640014052391052,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,83,0.001,47,0.6744421720504761,0.6609582901000977,lr_sensitivity
PubMed,GraphSAGE,4,11,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,29,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,47,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,65,0.001,11,0.5349898338317871,0.5404260158538818,lr_sensitivity
PubMed,GraphSAGE,4,83,0.001,11,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,11,0.003,2338,0.8017241358757019,0.799152672290802,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,29,0.003,2400,0.7702839374542236,0.7536845803260803,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,47,0.003,2198,0.8032454252243042,0.7924100160598755,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,65,0.003,1805,0.7697768807411194,0.7515961527824402,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,83,0.003,2106,0.7794117331504822,0.7745091915130615,lr_sensitivity
PubMed,GraphSAGE,4,11,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,29,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,47,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,65,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,83,0.003,4,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,11,0.03,1022,0.8468559384346008,0.8356106877326965,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,29,0.03,276,0.8504056334495544,0.8328658938407898,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,47,0.03,1486,0.8473630547523499,0.8306581377983093,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,65,0.03,1056,0.8504056334495544,0.8375797867774963,lr_sensitivity
PubMed,GraphSAGEPairNorm,4,83,0.03,618,0.8488843441009521,0.8402649164199829,lr_sensitivity
PubMed,GraphSAGE,4,11,0.03,74,0.4046652913093567,0.4023509621620178,lr_sensitivity
PubMed,GraphSAGE,4,29,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,4,47,0.03,21,0.4001014232635498,0.3988901376724243,lr_sensitivity
PubMed,GraphSAGE,4,65,0.03,6,0.4016227126121521,0.39912882447242737,lr_sensitivity
PubMed,GraphSAGE,4,83,0.03,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,11,0.001,43,0.6779918670654297,0.6631660461425781,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,29,0.001,37,0.6784989833831787,0.6674622297286987,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,47,0.001,37,0.686105489730835,0.6704457402229309,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,65,0.001,45,0.6749492883682251,0.6595262289047241,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,83,0.001,47,0.6779918670654297,0.6638820767402649,lr_sensitivity
PubMed,GraphSAGE,5,11,0.001,5,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,29,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,47,0.001,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,65,0.001,6,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,83,0.001,10,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,11,0.003,2357,0.8083164095878601,0.7987349629402161,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,29,0.003,2183,0.767241358757019,0.765737771987915,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,47,0.003,1792,0.7996957302093506,0.7873978018760681,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,65,0.003,1941,0.8088235259056091,0.7868010997772217,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,83,0.003,2112,0.8083164095878601,0.7999880313873291,lr_sensitivity
PubMed,GraphSAGE,5,11,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,29,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,47,0.003,1,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,65,0.003,2,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGE,5,83,0.003,4,0.3995943069458008,0.39936748147010803,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,11,0.03,583,0.8564908504486084,0.8390118479728699,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,29,0.03,102,0.8590263724327087,0.8382958173751831,lr_sensitivity
PubMed,GraphSAGEPairNorm,5,47,0.03,153,0.8610547184944153,0.8388328552246094,lr_sensitivity
