h,feature_signal,model,epoch,n,nde_mean,rank_ratio_mean,pairwise_mean
0.1,0.25,GraphSAGE,1,5,0.00017023031355245999,0.33232735991477963,6.892681121826172e-05
0.1,0.25,GraphSAGE,2,5,8.430375218316881e-05,0.2620716363191605,3.409385681152344e-05
0.1,0.25,GraphSAGE,4,5,9.613314635985808e-06,0.2059617698192596,4.875659942626953e-06
0.1,0.25,GraphSAGE,8,5,2.1059719781065123e-06,0.07300885990262028,1.1801719665527344e-06
0.1,0.25,GraphSAGE,16,5,4.801272593371093e-06,0.03156407605856652,1.5497207641601562e-06
0.1,0.25,GraphSAGE,32,5,3.6389420022798546e-09,0.025587889552116383,0.0
0.1,0.25,GraphSAGE,50,5,1.5239509002700158e-11,0.07752243429422374,4.76837158203125e-08
0.1,0.25,GraphSAGE,100,5,7.559474487755419e-13,0.11061844527721403,-4.76837158203125e-08
0.1,0.25,GraphSAGE,150,5,1.299688293520776e-14,0.07135411556810137,1.3113021850585939e-07
0.1,0.25,GraphSAGE,200,5,9.20146092635358e-16,0.0208201458677649,8.344650268554687e-08
0.1,0.25,GraphSAGEPairNorm,1,5,1.9823211532985705,0.7618712782859802,0.9990910887718201
0.1,0.25,GraphSAGEPairNorm,2,5,2.0046541865311434,0.743158507347107,0.9989253640174866
0.1,0.25,GraphSAGEPairNorm,4,5,2.641950481233878,0.6184202194213867,0.9986358404159545
0.1,0.25,GraphSAGEPairNorm,8,5,3.625267226932229,0.01867381744086736,1.0000976085662843
0.1,0.25,GraphSAGEPairNorm,16,5,3.6329112457928803,0.00995866991579528,1.0003453493118286
0.1,0.25,GraphSAGEPairNorm,32,5,3.554912163343757,0.011239466629922321,0.9990033388137818
0.1,0.25,GraphSAGEPairNorm,50,5,3.5312443271956915,0.01275057718157764,0.9978029012680054
0.1,0.25,GraphSAGEPairNorm,100,5,3.4416568826597116,0.0179498311132192,0.9891368865966796
0.1,0.25,GraphSAGEPairNorm,150,5,3.5166684831506325,0.016339517571032,0.9973729252815247
0.1,0.25,GraphSAGEPairNorm,200,5,3.393822864975273,0.02126389183104034,0.9929945230484009
0.1,0.5,GraphSAGE,1,5,0.00016252451132432,0.3279456913471222,6.499290466308594e-05
0.1,0.5,GraphSAGE,2,5,9.113798281304852e-05,0.2728354215621948,3.737211227416992e-05
0.1,0.5,GraphSAGE,4,5,9.856184589579357e-06,0.20566264986991878,4.875659942626953e-06
0.1,0.5,GraphSAGE,8,5,1.5350218424594357e-06,0.07718612179160111,8.344650268554688e-07
0.1,0.5,GraphSAGE,16,5,5.381445505973714e-06,0.034696930088102776,1.9073486328125e-06
0.1,0.5,GraphSAGE,32,5,8.58555287779964e-09,0.024487447366118402,0.0
0.1,0.5,GraphSAGE,50,5,4.288930056950207e-11,0.07247496470808978,0.0
0.1,0.5,GraphSAGE,100,5,5.821143789414515e-13,0.1002358246594667,0.0
0.1,0.5,GraphSAGE,150,5,1.3953848797625435e-14,0.04619904886931176,-5.960464477539063e-08
0.1,0.5,GraphSAGE,200,5,2.3242371612255016e-16,0.01660938002169128,3.576278686523438e-08
0.1,0.5,GraphSAGEPairNorm,1,5,1.9924557433731436,0.761784827709198,0.9991788387298584
0.1,0.5,GraphSAGEPairNorm,2,5,2.064134236196653,0.7391395449638367,0.9990350246429444
0.1,0.5,GraphSAGEPairNorm,4,5,3.3586351987066307,0.40563305616378786,0.9999458432197571
0.1,0.5,GraphSAGEPairNorm,8,5,3.633293239728637,0.01284641604870552,1.0001267433166503
0.1,0.5,GraphSAGEPairNorm,16,5,3.636236931621749,0.009537606313824599,1.0003462791442872
0.1,0.5,GraphSAGEPairNorm,32,5,3.5661955442585076,0.01079645920544858,0.9995553374290467
0.1,0.5,GraphSAGEPairNorm,50,5,3.5529793208549,0.0122260065749287,0.9988107919692993
0.1,0.5,GraphSAGEPairNorm,100,5,3.4464238741361237,0.01844714991748328,0.9923858284950257
0.1,0.5,GraphSAGEPairNorm,150,5,3.358439812202204,0.02037383876740928,0.9887135028839111
0.1,0.5,GraphSAGEPairNorm,200,5,3.375433809806684,0.02107056789100166,0.9907186508178711
0.5,0.25,GraphSAGE,1,5,0.0001245350405220063,0.31861992478370665,4.965066909790039e-05
0.5,0.25,GraphSAGE,2,5,0.0001005654704398411,0.30452547669410707,4.689693450927734e-05
0.5,0.25,GraphSAGE,4,5,6.643172033906396e-06,0.18737083673477167,3.3259391784667967e-06
0.5,0.25,GraphSAGE,8,5,1.7218084005849217e-06,0.07741002179682252,1.0728836059570312e-06
0.5,0.25,GraphSAGE,16,5,2.3633089432606823e-06,0.025983909144997562,1.0848045349121093e-06
0.5,0.25,GraphSAGE,32,5,5.170827408820994e-06,0.02216815724968906,2.6941299438476564e-06
0.5,0.25,GraphSAGE,50,5,0.2972304277202479,0.035660508275031984,0.04234912395477295
0.5,0.25,GraphSAGE,100,5,0.32184985082452283,0.056384867243468716,0.068358314037323
0.5,0.25,GraphSAGE,150,5,0.28659610389734685,0.017989354208111718,0.06478029489517212
0.5,0.25,GraphSAGE,200,5,0.2922216387411359,0.011874495260417419,0.07872672080993652
0.5,0.25,GraphSAGEPairNorm,1,5,1.9733919704704106,0.7596764206886292,0.9988173007965088
0.5,0.25,GraphSAGEPairNorm,2,5,1.974873008724399,0.7409618854522705,0.9984364032745361
0.5,0.25,GraphSAGEPairNorm,4,5,1.9852464804073917,0.698060667514801,0.9951625347137452
0.5,0.25,GraphSAGEPairNorm,8,5,2.048704500892044,0.5684404253959656,0.9775770783424378
0.5,0.25,GraphSAGEPairNorm,16,5,2.0908744099131438,0.08529926836490628,0.8257145762443543
0.5,0.25,GraphSAGEPairNorm,32,5,2.133475180594936,0.03310616761445994,0.9582815289497375
0.5,0.25,GraphSAGEPairNorm,50,5,2.176133788222826,0.02188477441668506,0.9499715805053711
0.5,0.25,GraphSAGEPairNorm,100,5,2.1218506128804284,0.02262139655649656,0.9708838105201721
0.5,0.25,GraphSAGEPairNorm,150,5,2.1475562654746114,0.020980477705597838,0.9771927237510681
0.5,0.25,GraphSAGEPairNorm,200,5,2.1461676210087512,0.02289471402764316,0.9782644152641297
0.5,0.5,GraphSAGE,1,5,0.00012712210448561641,0.3201945066452026,5.123615264892578e-05
0.5,0.5,GraphSAGE,2,5,0.00010673717020495594,0.29958795309066766,4.903078079223633e-05
0.5,0.5,GraphSAGE,4,5,8.07369240022121e-06,0.17959876656532286,3.862380981445312e-06
0.5,0.5,GraphSAGE,8,5,1.9035473390312711e-06,0.07468757070600984,1.0251998901367187e-06
0.5,0.5,GraphSAGE,16,5,2.457585892978367e-06,0.0361824162304401,1.1801719665527344e-06
0.5,0.5,GraphSAGE,32,5,4.964310434212841e-07,0.02800487205386156,2.0265579223632812e-07
0.5,0.5,GraphSAGE,50,5,4.600904393612285e-08,0.09074007533490654,9.5367431640625e-08
0.5,0.5,GraphSAGE,100,5,3.80388640156121e-13,0.04131029080599542,0.0
0.5,0.5,GraphSAGE,150,5,2.749535453397904e-16,0.01794853359460828,2.384185791015625e-08
0.5,0.5,GraphSAGE,200,5,2.7031706245298434e-16,0.01168917305767534,9.5367431640625e-08
0.5,0.5,GraphSAGEPairNorm,1,5,1.9709931922103192,0.7595319271087646,0.9988946437835693
0.5,0.5,GraphSAGEPairNorm,2,5,1.9727131183793631,0.7407777070999145,0.9987241506576539
0.5,0.5,GraphSAGEPairNorm,4,5,1.9865614003204821,0.6939320683479309,0.9952797055244446
0.5,0.5,GraphSAGEPairNorm,8,5,2.0631206175634107,0.5244566321372985,0.9596725344657898
0.5,0.5,GraphSAGEPairNorm,16,5,2.108408184419149,0.06821194067597385,0.8399863243103027
0.5,0.5,GraphSAGEPairNorm,32,5,2.1692548705880883,0.030576476454734734,0.9642253756523133
0.5,0.5,GraphSAGEPairNorm,50,5,2.164127290989276,0.0206925824284553,0.9485496282577515
0.5,0.5,GraphSAGEPairNorm,100,5,2.1630260536717216,0.02125479914247984,0.9834677934646606
0.5,0.5,GraphSAGEPairNorm,150,5,2.1002172263907064,0.02154642343521112,0.9830054521560669
0.5,0.5,GraphSAGEPairNorm,200,5,2.1494914667761824,0.02277455441653724,0.9765646576881408
0.9,0.25,GraphSAGE,1,5,0.00013071104011668148,0.3257643938064575,5.167722702026367e-05
0.9,0.25,GraphSAGE,2,5,8.122140553914011e-05,0.3113285541534424,3.8504600524902344e-05
0.9,0.25,GraphSAGE,4,5,9.853807010214876e-06,0.172189062833786,4.589557647705078e-06
0.9,0.25,GraphSAGE,8,5,8.345714237824895e-06,0.06529137603938574,5.817413330078125e-06
0.9,0.25,GraphSAGE,16,5,6.269095638609533e-06,0.02658628467470402,6.675720214843748e-06
0.9,0.25,GraphSAGE,32,5,0.019388167162836967,0.01605855189263818,0.011497616767883275
0.9,0.25,GraphSAGE,50,5,0.1376375232709901,0.02952549718320366,0.24595227241516113
0.9,0.25,GraphSAGE,100,5,0.1584723522165963,0.036473599821329084,0.2461518883705139
0.9,0.25,GraphSAGE,150,5,0.1861227599331586,0.014030943624675241,0.3736915588378906
0.9,0.25,GraphSAGE,200,5,0.18023712728700655,0.012450261041521981,0.3726911783218384
0.9,0.25,GraphSAGEPairNorm,1,5,1.9626093474135815,0.7615532398223877,0.9987394690513611
0.9,0.25,GraphSAGEPairNorm,2,5,1.921628774866932,0.7391845107078552,0.998901081085205
0.9,0.25,GraphSAGEPairNorm,4,5,1.0593961264763527,0.5444414436817169,0.9981841802597046
0.9,0.25,GraphSAGEPairNorm,8,5,0.3871380893357586,0.01624419055879112,0.9997617125511169
0.9,0.25,GraphSAGEPairNorm,16,5,0.3770877502048898,0.00995825640857214,1.0003137588500977
0.9,0.25,GraphSAGEPairNorm,32,5,0.44821053026181923,0.01128718275576828,0.9989387035369873
0.9,0.25,GraphSAGEPairNorm,50,5,0.49253139528689527,0.013476348482072301,0.9952077984809875
0.9,0.25,GraphSAGEPairNorm,100,5,0.5291368743037965,0.01722627580165858,0.9899048686027527
0.9,0.25,GraphSAGEPairNorm,150,5,0.5814381463038725,0.01751876119524236,0.9856289386749267
0.9,0.25,GraphSAGEPairNorm,200,5,0.5567647773389186,0.01793223749846216,0.9890781283378601
0.9,0.5,GraphSAGE,1,5,0.00013760560193887798,0.3254124522209167,5.543231964111328e-05
0.9,0.5,GraphSAGE,2,5,7.927000959375754e-05,0.2918016314506531,3.573894500732422e-05
0.9,0.5,GraphSAGE,4,5,9.287407333562436e-06,0.18601208627223967,4.935264587402344e-06
0.9,0.5,GraphSAGE,8,5,4.333026940030016e-06,0.05794754251837726,5.5909156799316405e-06
0.9,0.5,GraphSAGE,16,5,7.01641151001618e-05,0.02178835682570928,5.70535659789932e-05
0.9,0.5,GraphSAGE,32,5,0.09081671990556471,0.01216648761183018,0.06519826650619505
0.9,0.5,GraphSAGE,50,5,0.19763119036954047,0.01261592470109458,0.32740445137023927
0.9,0.5,GraphSAGE,100,5,0.26913081115457793,0.01264340374618762,0.4881391406059265
0.9,0.5,GraphSAGE,150,5,0.24700890603916167,0.0129702920094132,0.5347611665725708
0.9,0.5,GraphSAGE,200,5,0.26594905141783926,0.01293884236365552,0.5968265414237977
0.9,0.5,GraphSAGEPairNorm,1,5,1.9541979924962196,0.7613483428955078,0.9989319443702698
0.9,0.5,GraphSAGEPairNorm,2,5,1.847852442359354,0.7338304162025452,0.9990457415580749
0.9,0.5,GraphSAGEPairNorm,4,5,0.5306472049480485,0.30915433168411255,0.9996564626693726
0.9,0.5,GraphSAGEPairNorm,8,5,0.3764650069622661,0.0123516291379928,1.0000267624855042
0.9,0.5,GraphSAGEPairNorm,16,5,0.374741753812818,0.009680314548313581,1.0003470063209534
0.9,0.5,GraphSAGEPairNorm,32,5,0.4543378185265986,0.01125800441950554,0.9987709760665894
0.9,0.5,GraphSAGEPairNorm,50,5,0.5034923517545262,0.0136546596884727,0.9945942878723144
0.9,0.5,GraphSAGEPairNorm,100,5,0.4962771156037976,0.01617355979979034,0.9946518063545227
0.9,0.5,GraphSAGEPairNorm,150,5,0.5253160748563944,0.016604663804173442,0.9933804631233215
