dataset,h,feature_signal,variant,model,graph_seed,init_seed,lr,test_acc,epoch,normalized_dirichlet_energy,effective_rank,effective_rank_ratio,pairwise,source
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,29,0.03,0.9994117021560669,200,3.632833667399206,1.3809099197387695,0.0107883587479591,1.000366449356079,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,47,0.03,0.9999999403953552,200,3.615193806876018,1.6975570917129517,0.0132621647790074,1.0000892877578735,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,65,0.03,0.9999999403953552,200,3.6220411530218266,1.4925276041030884,0.0116603719070553,1.0002585649490356,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,1,83,0.03,0.9994117021560669,200,3.604013773013122,2.789557456970215,0.0217934176325798,1.0002211332321167,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,11,0.03,0.99647057056427,200,2.527976350770205,1.3035608530044556,0.0101840691640973,0.7212256193161011,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,29,0.03,0.9905881881713867,200,2.476537012021843,1.2904473543167114,0.0100816199555993,0.7441855669021606,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,47,0.03,0.9976470470428467,200,2.655288535986964,1.288038730621338,0.0100628025829792,0.7357112169265747,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,65,0.03,0.9988234639167786,200,2.6946626460444376,1.232042908668518,0.0096253352239727,0.7303393483161926,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,1,83,0.03,0.9958823323249817,200,2.629164328671409,1.2141869068145752,0.0094858352094888,0.7627530097961426,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,2,11,0.03,0.9999999403953552,200,3.626220733353247,1.491064190864563,0.0116489389911293,1.0003564357757568,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,2,29,0.03,0.991176426410675,200,3.610981015984768,1.6199629306793213,0.0126559603959321,1.0001205205917358,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,2,47,0.03,0.9988234639167786,200,3.626645567542785,1.4241292476654053,0.0111260097473859,1.0003440380096436,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,2,65,0.03,0.9994117021560669,200,3.61878692697878,1.9829094409942627,0.0154914800077676,1.0002756118774414,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,center,GraphSAGECenterNorm,2,83,0.03,0.9994117021560669,200,3.625408307459341,1.440688133239746,0.0112553760409355,1.0002927780151367,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,2,11,0.03,0.9999999403953552,200,2.4981537441472645,1.2731178998947144,0.0099462335929274,0.6779260635375977,csbm_l8_pairnorm_component_ablation_fs050
cSBM,0.1,0.5,scale,GraphSAGEScaleNorm,2,29,0.03,0.9994117021560669,200,2.4890862677303,1.2072391510009766,0.0094315558671951,0.6791832447052002,csbm_l8_pairnorm_component_ablation_fs050
