dataset,variant,replicate_design,n,nde_mean,nde_std,effective_rank_mean,effective_rank_std,rank_ratio_mean,pairwise_mean,pairwise_std
PubMed,baseline,primary_graph_seed,5,5.200054001849389e-26,1.162333765265883e-25,1.0,0.0,0.0078125,0.0,1.1920928955078125e-07
PubMed,center,graph_x_init,25,6.172439500321806e-31,2.8332943225778843e-30,0.0,0.0,0.0,3.337860107421875e-08,8.787053580083839e-08
PubMed,scale,graph_x_init,25,1.967170986947044,0.1205379993652302,3.719081678390503,0.21409369970779266,0.02905532561242576,0.7791251611709594,0.048212363253834205
PubMed,full,primary_graph_seed,5,2.6515203946197095,0.05594534287681434,4.687615871429438,0.17217990625344395,0.036621998995542485,0.9972323775291443,0.00235072906975917
Roman-Empire,baseline,primary_graph_seed,5,0.08203869933619094,0.03989987377874895,9.968675136566159,1.9212596164575275,0.07788027450442311,0.8605968356132507,0.034907528443573296
Roman-Empire,center,graph_x_init,25,0.06075539431890222,0.042637836449399134,1.894265193939209,0.92743515853566,0.014798946827650018,0.3454513192176819,0.11911733390858913
Roman-Empire,scale,graph_x_init,25,0.12837723989451746,0.029874302415792156,14.796049346923828,3.171226883337987,0.11559413552284237,0.8571234273910523,0.0857854657898186
Roman-Empire,full,primary_graph_seed,5,0.18707063761202536,0.018670008874305564,17.17752723693847,0.6191770797595405,0.1341994315385818,0.9975224494934082,0.0008781742080254452
