epoch,loss,train_acc,val_acc,test_acc,gradient_norm
1,2.8964884281158447,0.23843494057655334,0.23874668776988983,0.23847341537475586,0.2141115333939211
2,2.8029637336730957,0.23681694269180298,0.23521624505519867,0.23053166270256042,0.20701437515299603
3,2.703526735305786,0.26616165041923523,0.2676522433757782,0.25987204909324646,0.2123837567012516
4,2.599710464477539,0.27130985260009766,0.2687555253505707,0.27354952692985535,0.1973102499261775
5,2.5073368549346924,0.26299917697906494,0.2669903039932251,0.26207810640335083,0.17494620338134798
6,2.439972400665283,0.2630727291107178,0.26345983147621155,0.2629605233669281,0.14876479694930408
7,2.380702018737793,0.2762373983860016,0.27912622690200806,0.27509376406669617,0.1274478940989699
8,2.3298680782318115,0.2984481751918793,0.303398072719574,0.2967129945755005,0.11764466719098964
9,2.288515567779541,0.31153929233551025,0.31487202644348145,0.3106110692024231,0.11559347416709845
10,2.245180368423462,0.3302934467792511,0.3274492621421814,0.3273770213127136,0.11819160602594374
11,2.202629327774048,0.3599323332309723,0.3627537488937378,0.3545113801956177,0.12321150261775136
12,2.160829782485962,0.3768478333950043,0.38239187002182007,0.3759099841117859,0.1251314766331295
13,2.1260900497436523,0.3891299366950989,0.39143866300582886,0.3871608376502991,0.12481757412436387
14,2.0850419998168945,0.3985438048839569,0.40247130393981934,0.3939995765686035,0.12235459170986623
15,2.048957347869873,0.409281462430954,0.4121800661087036,0.4078976511955261,0.12075886288979464
16,2.012197256088257,0.41913658380508423,0.41946160793304443,0.41981029510498047,0.12318394620580933
17,1.9773919582366943,0.4243583083152771,0.421668142080307,0.4264284074306488,0.12077298034795063
18,1.9428781270980835,0.4270794987678528,0.422550767660141,0.4279726445674896,0.12120004486870577
19,1.917067527770996,0.43509596586227417,0.4296116530895233,0.4337083697319031,0.12537507977462414
20,1.8812814950942993,0.44245052337646484,0.4402030110359192,0.44076770544052124,0.11480670910626273
21,1.8519535064697266,0.4654703140258789,0.4655781090259552,0.4615045189857483,0.11337311503661342
22,1.8244990110397339,0.47826725244522095,0.4755074977874756,0.4751819968223572,0.11407402014066424
23,1.7947278022766113,0.4819445312023163,0.4834510087966919,0.47959408164024353,0.10755994992228358
24,1.7699236869812012,0.48275354504585266,0.4832303524017334,0.47849106788635254,0.10718835988671216
25,1.7466777563095093,0.48694565892219543,0.48676082491874695,0.48378556966781616,0.10576868180967804
26,1.720495581626892,0.4947414696216583,0.4918358325958252,0.4934921860694885,0.10254123570489518
27,1.698249101638794,0.499521940946579,0.49624890089035034,0.4968012273311615,0.1084818901721447
28,1.6753284931182861,0.5173935294151306,0.510811984539032,0.5113611221313477,0.10439758632946321
29,1.6495047807693481,0.5354857444763184,0.5260370969772339,0.5257004499435425,0.09765899868539192
30,1.6278679370880127,0.5431345105171204,0.5368490815162659,0.5329803824424744,0.10133204924206723
31,1.6028788089752197,0.5563727021217346,0.5492056608200073,0.5479815006256104,0.1283929729906402
32,1.5903126001358032,0.5538721680641174,0.5419241189956665,0.5420251488685608,0.1528667879221304
33,1.5700231790542603,0.553504467010498,0.5450132489204407,0.5433487892150879,0.1717096931278517
34,1.5449970960617065,0.5649775862693787,0.5580317974090576,0.5519523620605469,0.13233126576686968
35,1.5186868906021118,0.5642421245574951,0.5575904846191406,0.5537171959877014,0.1261885347396761
36,1.5003386735916138,0.5606383681297302,0.5509708523750305,0.5510699152946472,0.13509974329038948
37,1.4836769104003906,0.5729940533638,0.5635480880737305,0.5592322945594788,0.14695506370798073
38,1.4693938493728638,0.5657865405082703,0.5551632642745972,0.5528347492218018,0.14533698341734183
39,1.4491002559661865,0.564389169216156,0.552074134349823,0.5521729588508606,0.12635194853395018
40,1.4265156984329224,0.5722585916519165,0.5622242093086243,0.561217725276947,0.13881774046649864
41,1.4195870161056519,0.5734353065490723,0.5602383017539978,0.5614383220672607,0.16007306510719255
42,1.391765832901001,0.5737295150756836,0.563768744468689,0.559011697769165,0.10869486757933099
43,1.3908530473709106,0.5785834789276123,0.5659753084182739,0.565409243106842,0.17258872650222082
44,1.3655132055282593,0.5768919587135315,0.5639894008636475,0.5625413656234741,0.12535690901771987
45,1.3623415231704712,0.5898360013961792,0.5796557664871216,0.5735716223716736,0.17044020689419967
46,1.3408170938491821,0.5968963503837585,0.5847308039665222,0.5819545388221741,0.17392726081941196
47,1.3210735321044922,0.6033684015274048,0.5900264978408813,0.5896757245063782,0.13327452489226732
48,1.3090211153030396,0.6107965111732483,0.5968667268753052,0.5925436019897461,0.13522210251832403
49,1.2977322340011597,0.613517701625824,0.5962047576904297,0.5973968505859375,0.15570014077230285
50,1.2850719690322876,0.633522093296051,0.6189320683479309,0.6143833994865417,0.17276143504884173
51,1.2683968544006348,0.6405089497566223,0.6279788017272949,0.6232075691223145,0.1599900727191793
52,1.2555418014526367,0.6444068551063538,0.6288614273071289,0.623428225517273,0.1623408293786942
53,1.242284893989563,0.6527175307273865,0.6387908458709717,0.6324729919433594,0.1488437084442984
54,1.2298414707183838,0.6547767519950867,0.6368049383163452,0.6348996162414551,0.14889466427688544
55,1.2099953889846802,0.6716187596321106,0.6535745859146118,0.6540921926498413,0.14097362125789423
56,1.2059967517852783,0.6688975691795349,0.6478375792503357,0.6501213312149048,0.19132340716094448
57,1.2005550861358643,0.679635226726532,0.656222403049469,0.6547540426254272,0.24100006610845115
58,1.200078010559082,0.6820622086524963,0.6586496233940125,0.6534304022789001,0.2863607159122903
