dataset,h,family,baseline_L2,baseline_L8,pairnorm_L2,pairnorm_L8,baseline_depth_change_pp,pairnorm_depth_change_pp,interaction_pp,positive_interactions,signflip_p,pairnorm_L8_effect_pp
PubMed,0.1,GCN,0.7335699677467347,0.4074543476104736,0.7306795001029969,0.7080628514289856,-32.6115620136261,-2.261664867401123,30.349897146224976,5,0.0625,30.060850381851196
PubMed,0.1,GraphSAGE,0.9110040307044983,0.3993407487869262,0.9108011960983277,0.9232251286506653,-51.166328191757216,1.2423932552337558,52.40872144699097,5,0.0625,52.3884379863739
PubMed,0.5,GCN,0.75841783285141,0.417799186706543,0.7588235139846802,0.6970588088035583,-34.061864614486694,-6.176470518112183,27.88539409637451,5,0.0625,27.925962209701538
PubMed,0.5,GraphSAGE,0.8823529243469238,0.3993407487869262,0.8737829446792602,0.8785496830940247,-48.30121755599976,0.4766738414764405,48.7778913974762,5,0.0625,47.920893430709846
Roman-Empire,0.1,GCN,0.5512022972106934,0.2878888219594955,0.46516656279563906,0.28762409687042234,-26.331347525119785,-17.754246592521667,8.577100932598118,5,0.0625,-0.02647250890731756
Roman-Empire,0.1,GraphSAGE,0.7934701323509217,0.765938663482666,0.7654974699020386,0.7829693555831909,-2.7531468868255615,1.7471885681152342,4.500335454940796,5,0.0625,1.70306921005249
Roman-Empire,0.5,GCN,0.7589234590530396,0.6589896440505981,0.7167438864707947,0.6568718314170837,-9.99338150024414,-5.987205505371094,4.006175994873047,5,0.0625,-0.21178126335144043
Roman-Empire,0.5,GraphSAGE,0.8781381130218506,0.9212000846862793,0.8640194177627564,0.9305537343025208,4.306197166442878,6.653431653976441,2.3472344875335627,5,0.0625,0.9353649616241388
