dataset,model,depth,graph_seed,seed,split_idx,best_epoch,best_val,test_best,data_path
RW-PubMed-H0.1-REP,GCNPairNorm,8,1,1,0,626,0.7245752215385437,0.7041074633598328,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCNPairNorm,8,2,2,0,1862,0.726604163646698,0.7124746441841125,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCNPairNorm,8,3,3,0,2136,0.7065686583518982,0.7119675278663635,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCNPairNorm,8,4,4,0,379,0.723053514957428,0.7058823108673096,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCNPairNorm,8,5,5,0,1490,0.7098656296730042,0.7058823108673096,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,2,1,1,0,527,0.7491757869720459,0.7248985767364502,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,2,2,2,0,365,0.7402992844581604,0.7325050830841064,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,2,3,3,0,2089,0.7370023131370544,0.7454360723495483,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,2,4,4,0,1950,0.7486685514450073,0.7401115298271179,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,2,5,5,0,754,0.7514582872390747,0.7248985767364502,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,3,1,1,0,2391,0.6713162660598755,0.6412271857261658,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,3,2,2,0,1974,0.66243976354599,0.6544117331504822,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,3,3,3,0,2026,0.6893228888511658,0.6807808876037598,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,3,4,4,0,1617,0.6337814331054688,0.6156186461448669,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,3,5,5,0,2170,0.6738524436950684,0.670638918876648,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,4,1,1,0,1554,0.6850114464759827,0.656186580657959,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,4,2,2,0,1129,0.6809536218643188,0.6670892238616943,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,4,3,3,0,1555,0.6746132373809814,0.6820486783981323,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
RW-PubMed-H0.1-REP,GCN,4,4,4,0,1719,0.6847578287124634,0.6691176295280457,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed4.pt
RW-PubMed-H0.1-REP,GCN,4,5,5,0,915,0.6756277084350586,0.6554259657859802,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed5.pt
RW-PubMed-H0.1-REP,GCN,5,1,1,0,163,0.49556177854537964,0.48250505328178406,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed1.pt
RW-PubMed-H0.1-REP,GCN,5,2,2,0,30,0.42176011204719543,0.4112575948238373,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed2.pt
RW-PubMed-H0.1-REP,GCN,5,3,3,0,1502,0.4136444628238678,0.40922918915748596,realworld_data/homophily_controlled/pubmed/replicated/pubmed_h01_seed3.pt
