dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,num_labeled_nodes_used,num_classes_used,within_class_cosine_distance,between_class_cosine_distance,class_separation_margin,class_centroid_cosine_distance,fisher_discriminant_ratio,class_metric_scope,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,1,convs.0,2048,2048,18,0.4675535559654236,0.5840062499046326,0.11645269393920898,0.22833168506622314,0.3048543334007263,test,0.5827212333679199,0.49084028601646423,0.7957575917243958,1.102227390488079,128,97.34490966796875,0.7605071067810059,0.7932395339012146,0.0037460585590451956,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,2,pns.0,2048,2048,18,0.7497075796127319,0.9641987681388855,0.21449118852615356,0.7859129905700684,0.2998334467411041,test,0.9831305742263794,0.8153246641159058,1.6595375537872314,1.659572373001295,128,98.27371978759766,0.7677634358406067,0.9069541692733765,0.00781233562156558,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,3,convs.1,2048,2048,18,0.19766010344028473,0.2378453016281128,0.040185198187828064,0.0637696385383606,0.2631627321243286,test,0.2480444312095642,0.19519153237342834,0.27869054675102234,0.4622971354523795,128,96.58248138427734,0.7545506358146667,0.7619506120681763,0.0014052060432732105,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,4,pns.1,2048,2048,18,0.8034161925315857,0.9639133810997009,0.16049718856811523,0.7799908518791199,0.2513534128665924,test,0.9834023118019104,0.7864781618118286,1.5493448972702026,1.5494311552464366,128,95.87447357177734,0.7490193247795105,0.9142162799835205,0.007812066003680229,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,5,convs.2,2048,2048,18,0.19651144742965698,0.23546670377254486,0.03895525634288788,0.06240612268447876,0.24826015532016754,test,0.24303394556045532,0.1882132589817047,0.2629567086696625,0.4266335966300089,128,97.5277328491211,0.7619354128837585,0.7730282545089722,0.001393718528561294,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,6,pns.2,2048,2048,18,0.8222940564155579,0.9692680835723877,0.14697402715682983,0.7930035591125488,0.24256505072116852,test,0.9802809357643127,0.7749412655830383,1.4739233255386353,1.474005999543999,128,97.36134338378906,0.760635495185852,0.9208378791809082,0.007812061812728643,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,7,convs.3,2048,2048,18,0.1992364525794983,0.23095214366912842,0.03171569108963013,0.05387526750564575,0.20923559367656708,test,0.23217862844467163,0.1735304743051529,0.2532855272293091,0.38805952157760837,128,98.33010864257812,0.7682039737701416,0.7921593189239502,0.0014386412221938372,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,8,pns.3,2048,2048,18,0.8277854919433594,0.9607119560241699,0.13292646408081055,0.7791591882705688,0.2183225452899933,test,0.9805701375007629,0.7532017827033997,1.3753846883773804,1.3754593755895592,128,98.8725357055664,0.7724416851997375,0.9224714040756226,0.007812075316905975,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,9,convs.4,2048,2048,18,0.22479017078876495,0.26531466841697693,0.040524497628211975,0.06960618495941162,0.21903115510940552,test,0.27044785022735596,0.18701697885990143,0.23783621191978455,0.4043533788520551,128,99.50152587890625,0.7773556709289551,0.7541820406913757,0.0014418906066566706,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,10,pns.4,2048,2048,18,0.8272572159767151,0.9692053198814392,0.14194810390472412,0.8227090835571289,0.22687622904777527,test,0.9819662570953369,0.7313592433929443,1.2885819673538208,1.2886520177507512,128,99.2739486694336,0.77557772397995,0.9243554472923279,0.007812074851244688,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,11,convs.5,2048,2048,18,0.22135840356349945,0.2617477476596832,0.04038934409618378,0.06981903314590454,0.23586705327033997,test,0.26796072721481323,0.17123661935329437,0.23135222494602203,0.36949232013642513,128,97.95525360107422,0.7652754187583923,0.7723429799079895,0.0015965665224939585,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,12,pns.5,2048,2048,18,0.8312212228775024,0.9600487947463989,0.12882757186889648,0.8124686479568481,0.2313581258058548,test,0.9788717031478882,0.6874340176582336,1.1320232152938843,1.1320788164701923,128,96.98033142089844,0.757658839225769,0.9007105827331543,0.007812116295099258,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,13,convs.6,2048,2048,18,0.20952606201171875,0.25030672550201416,0.04078066349029541,0.07129764556884766,0.2526717483997345,test,0.2531965970993042,0.15028272569179535,0.21639230847358704,0.33006283762940936,128,96.34302520751953,0.7526798844337463,0.7828364372253418,0.0016708615003153682,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,14,pns.6,2048,2048,18,0.8196321129798889,0.9509922862052917,0.13136017322540283,0.8096200227737427,0.2552289366722107,test,0.9702946543693542,0.6487636566162109,1.0117452144622803,1.0117924352572445,128,96.44920349121094,0.7535094022750854,0.8727737665176392,0.007812134921550751,
RW-Roman-empire-H0.5-REP,GraphSAGEPairNorm,3,0,8,128,0,15,convs.7,2048,2048,18,0.19944319128990173,0.24206358194351196,0.04262039065361023,0.07568299770355225,0.26851046085357666,test,0.23877263069152832,0.13266147673130035,0.02554149553179741,0.29170201839921,18,16.298795700073242,0.905488650004069,0.28807249665260315,0.0014881802489981055,
