target_homophily,architecture,num_layers,n,baseline_accuracy_mean_pct,baseline_accuracy_std_pct,pairnorm_accuracy_mean_pct,pairnorm_accuracy_std_pct,accuracy_delta_mean_pp,accuracy_delta_std_pp,accuracy_delta_ci95_pp,positive_seeds,negative_seeds,tie_seeds,paired_t_pvalue,wilcoxon_pvalue,final_pairwise_delta_mean,final_pairwise_delta_ci95,final_rank_ratio_delta_mean,final_rank_ratio_delta_ci95,best_pairwise_delta_mean,best_pairwise_delta_ci95
0.1,GCN,2,5,99.85000014305115,0.13693050878905763,99.85000014305115,0.13693050878905763,0.0,0.0,0.0,0,0,5,1.0,1.0,0.5758836746215821,0.015173756785498541,0.1194953128695488,0.006955508918811003,0.0642419815063476,0.032586505277625105
0.1,GCN,3,5,99.90000009536743,0.13693050878905763,99.95000004768372,0.11180329225095952,0.04999995231628418,0.11180329225095949,0.13882212286867054,1,0,4,0.373900966300059,1.0,0.531415104866028,0.015127109588983254,0.024617878533899778,0.024508300784858047,0.846766221523285,0.01289220030540026
0.1,GCN,4,5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,5,1.0,1.0,0.5055040001869202,0.029551190230669145,-0.0009519200772046994,0.0010133851767462714,0.8808656454086303,0.09153242105247383
0.1,GCN,5,5,99.95000004768372,0.11180329225095952,100.0,0.0,0.04999995231628418,0.11180329225095949,0.13882212286867054,1,0,4,0.373900966300059,1.0,0.48098222017288217,0.04601613641610096,-0.0014140846207738003,0.0008007187124279371,0.8565181255340576,0.1814317131345774
0.1,GCN,6,5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,5,1.0,1.0,0.36709970235824585,0.06621333417477798,-0.0016072260215878593,0.0003169827356496602,0.7685324549674988,0.13906784346907752
0.1,GCN,7,5,100.0,0.0,99.95000004768372,0.11180329225095952,-0.04999995231628418,0.11180329225095949,0.13882212286867054,0,1,4,0.373900966300059,1.0,0.467313289642334,0.03724119183582806,-0.0017676800489425802,0.0006306329578195026,0.8502901673316956,0.16506131570146176
0.1,GCN,8,5,71.39999985694885,26.168086633161934,100.0,0.0,28.600000143051147,26.168086633161938,32.49197107427439,3,0,2,0.07091156035017881,0.25,0.771332859992981,0.39001135896268896,0.00026564821600914,0.00210941645779135,0.9544262766838074,0.1236443733649363
0.1,GraphSAGE,2,5,99.80000019073486,0.20916480715822416,99.75000023841858,0.30618592584596527,-0.04999995231628418,0.11180329225095949,0.13882212286867054,0,1,4,0.373900966300059,1.0,0.25562657117843635,0.04994639513683007,0.14102550148963927,0.026880672482851063,0.0800316214561462,0.059883381489443395
0.1,GraphSAGE,3,5,99.80000019073486,0.20916480715822416,99.95000004768372,0.11180329225095949,0.14999985694885254,0.22360658450191898,0.2776442457373411,2,0,3,0.20799999999999982,0.5,0.5657976746559144,0.08499480173952359,0.13090379610657696,0.006356831120005882,0.6550578117370606,0.08859799498462166
0.1,GraphSAGE,4,5,99.95000004768372,0.11180329225095952,99.95000004768372,0.11180329225095952,0.0,0.0,0.0,0,0,5,1.0,1.0,0.41221364736557,0.03887293676758844,0.02704196367412804,0.003142904475592222,0.5107382893562317,0.1317727757600803
