dataset,architecture,num_layers,hidden_channels,seed,graph_seed,split_idx,target_homophily,realized_homophily,baseline_best_epoch,baseline_best_test_acc,baseline_best_val_acc,baseline_best_hidden_pairwise_distance,baseline_best_hidden_edge_distance,baseline_best_hidden_rank_ratio,baseline_best_hidden_normalized_dirichlet,baseline_final_hidden_pairwise_distance,baseline_final_hidden_edge_distance,baseline_final_hidden_rank_ratio,baseline_final_hidden_normalized_dirichlet,pairnorm_best_epoch,pairnorm_best_test_acc,pairnorm_best_val_acc,pairnorm_best_hidden_pairwise_distance,pairnorm_best_hidden_edge_distance,pairnorm_best_hidden_rank_ratio,pairnorm_best_hidden_normalized_dirichlet,pairnorm_final_hidden_pairwise_distance,pairnorm_final_hidden_edge_distance,pairnorm_final_hidden_rank_ratio,pairnorm_final_hidden_normalized_dirichlet,delta_best_epoch,delta_best_test_acc,delta_best_val_acc,delta_best_hidden_pairwise_distance,delta_best_hidden_edge_distance,delta_best_hidden_rank_ratio,delta_best_hidden_normalized_dirichlet,delta_final_hidden_pairwise_distance,delta_final_hidden_edge_distance,delta_final_hidden_rank_ratio,delta_final_hidden_normalized_dirichlet,accuracy_delta_pp
CSBM-H0.1,GCN,2,128,1,1,0,0.1,0.09996520727872849,8,0.9975000023841858,1.0,0.9318819642066956,1.1874343156814575,0.3719905614852905,2.548996788111366,0.4232126474380493,0.6986404657363892,0.057725328952074,1.6518698397786085,8,0.9975000023841858,1.0,1.0006117820739746,1.2892379760742188,0.3637332022190094,2.7408507048318094,0.9999046921730042,1.558463454246521,0.1858865767717361,3.232281896288176,0,0.0,0.0,0.06872981786727905,0.10180366039276123,-0.008257359266281128,0.19185391672044316,0.5766920447349548,0.8598229885101318,0.1281612478196621,1.5804120565095676,0.0
CSBM-H0.1,GCN,2,128,2,2,0,0.1,0.10044276714324951,7,1.0,1.0,0.9263163208961488,1.16303288936615,0.3761738836765289,2.487848984861944,0.40947026014328,0.6819121241569519,0.0644113793969154,1.6071666716449242,5,1.0,1.0,1.0004194974899292,1.091124176979065,0.426203042268753,2.241668027642309,1.0006178617477417,1.560239315032959,0.1812464296817779,3.246078207911009,-2,0.0,0.0,0.0741031765937804,-0.07190871238708496,0.05002915859222412,-0.24618095721963495,0.5911476016044617,0.8783271908760071,0.1168350502848625,1.6389115362660849,0.0
CSBM-H0.1,GCN,2,128,3,3,0,0.1,0.10047942399978638,10,0.9975000023841858,1.0,0.9127827286720276,1.183206558227539,0.3681584596633911,2.532215281952819,0.4438550472259521,0.7220935821533203,0.0591429658234119,1.690478363629128,4,0.9975000023841858,1.0,1.000572681427002,1.127014398574829,0.4209950268268585,2.3218573510310194,1.0008052587509155,1.5766022205352783,0.177174836397171,3.278489552071555,-6,0.0,0.0,0.08778995275497437,-0.05619215965270996,0.05283656716346741,-0.21035793092179977,0.5569502115249634,0.854508638381958,0.11803187057375909,1.588011188442427,0.0
CSBM-H0.1,GCN,2,128,4,4,0,0.1,0.09760119765996933,7,1.0,1.0,0.929252564907074,1.1565347909927368,0.381647914648056,2.461833240184793,0.4239275455474853,0.7042547464370728,0.0678555145859718,1.6559505932638536,7,1.0,1.0,1.0006712675094604,1.26982319355011,0.3743192553520202,2.685318578379335,1.0004826784133911,1.5571120977401731,0.1890094727277755,3.227526223369824,0,0.0,0.0,0.07141870260238647,0.11328840255737327,-0.007328659296035767,0.2234853381945423,0.5765551328659058,0.8528573513031004,0.12115395814180369,1.5715756301059705,0.0
CSBM-H0.1,GCN,2,128,5,5,0,0.1,0.10260676592588425,3,0.9975000023841858,1.0,0.9807471036911012,0.966458022594452,0.4484440088272095,1.945443784038572,0.4222447872161865,0.6951950192451477,0.0702672898769378,1.6405621987209504,3,0.9975000023841858,1.0,0.999915361404419,0.9872493743896484,0.4480676054954529,1.986326186680501,1.000318169593811,1.5511940717697144,0.1835617274045944,3.227094672625212,0,0.0,0.0,0.01916825771331776,0.020791351795196422,-0.0003764033317565918,0.040882402641928994,0.5780733823776245,0.8559990525245667,0.1132944375276566,1.5865324739042617,0.0
CSBM-H0.1,GCN,3,128,1,1,0,0.1,0.09996520727872849,1,0.9975000023841858,1.0,0.1542419791221618,0.1809238493442535,0.5866599678993225,0.4017116095253915,0.4802629351615906,0.8604897856712341,0.0103083290159702,1.884670000106136,1,0.9975000023841858,1.0,1.0001927614212036,1.2724896669387815,0.5674099326133728,2.6287372298304126,1.000171780586243,1.787574291229248,0.0476578921079635,3.707283212206924,0,0.0,0.0,0.8459507822990417,1.091565817594528,-0.019250035285949707,2.227025620305021,0.5199088454246523,0.9270845055580139,0.0373495630919933,1.8226132121007879,0.0
CSBM-H0.1,GCN,3,128,2,2,0,0.1,0.10044276714324951,3,1.0,1.0,0.1596922278404235,0.2345204502344131,0.4845410585403442,0.5206353743583302,0.463333249092102,0.8376670479774475,0.0104684606194496,1.8400256777648885,3,1.0,1.0,1.0005757808685305,1.5232962369918823,0.4662744402885437,3.187505420821139,0.9994432330131532,1.7982193231582642,0.0163203254342079,3.733252666837338,0,0.0,0.0,0.840883553028107,1.2887757867574692,-0.01826661825180048,2.666870046462809,0.5361099839210512,0.9605522751808167,0.005851864814758299,1.8932269890724496,0.0
CSBM-H0.1,GCN,3,128,3,3,0,0.1,0.10047942399978638,2,1.0,0.9975000023841858,0.1626977324485778,0.2466261088848114,0.4702677130699157,0.541010453968667,0.4598641395568847,0.839618980884552,0.0105424746870994,1.8388938299025124,68,1.0,1.0,1.0004037618637085,1.793548822402954,0.0213616378605365,3.7055682130295793,0.999979853630066,1.783864140510559,0.0473033003509044,3.719197329822896,66,0.0,0.002499997615814209,0.8377060294151307,1.5469227135181427,-0.4489060752093792,3.164557759060912,0.5401157140731814,0.9442451596260071,0.036760825663805,1.8803034999203836,0.0
CSBM-H0.1,GCN,3,128,4,4,0,0.1,0.09760119765996933,3,1.0,1.0,0.1363730430603027,0.1873170882463455,0.5323299765586853,0.4088758061013008,0.4570291042327881,0.836872398853302,0.010520052164793,1.8358845507792056,1,1.0,1.0,1.0007576942443848,1.131013035774231,0.5973300337791443,2.297228768023775,1.0009490251541138,1.8022791147232056,0.0111309420317411,3.729831468325767,-2,0.0,0.0,0.864384651184082,0.9436959475278854,0.06500005722045898,1.888352961922474,0.5439199209213257,0.9654067158699036,0.0006108898669481,1.8939469175465613,0.0
CSBM-H0.1,GCN,3,128,5,5,0,0.1,0.10260676592588425,2,0.9975000023841858,1.0,0.1558166742324829,0.2236997783184051,0.5107624530792236,0.4911604172977706,0.4835830926895141,0.8671514391899109,0.0105680683627724,1.9013339801986104,36,1.0,1.0,1.0007227659225464,1.790690541267395,0.0207570753991603,3.698006445188657,1.0006041526794434,1.7734522819519043,0.0530843175947666,3.697381779005982,34,0.002499997615814209,0.0,0.8449060916900635,1.5669907629489899,-0.49000537768006336,3.2068460278908866,0.5170210599899292,0.9063008427619934,0.0425162492319942,1.7960477988073715,0.2499997615814209
