epoch,loss,train_acc,val_acc,test_acc,gradient_norm
1,0.692369818687439,0.57833331823349,0.5224999785423279,0.5299999713897705,0.012954710580154846
2,0.6896918416023254,0.6150000095367432,0.5024999976158142,0.574999988079071,0.016274239147233582
3,0.6849818825721741,0.6200000047683716,0.5099999904632568,0.5774999856948853,0.014842780227467142
4,0.6798241138458252,0.6225000023841858,0.5149999856948853,0.5774999856948853,0.019670998651619136
5,0.6723712086677551,0.6324999928474426,0.5024999976158142,0.5625,0.02236205276192756
6,0.6673628687858582,0.628333330154419,0.5074999928474426,0.574999988079071,0.02177486706290614
7,0.6594924926757812,0.628333330154419,0.5249999761581421,0.5824999809265137,0.021925624921812718
8,0.6541746854782104,0.637499988079071,0.5224999785423279,0.5774999856948853,0.0236084617896958
9,0.6507059335708618,0.6383333206176758,0.5249999761581421,0.5774999856948853,0.02383978933897546
10,0.6458849310874939,0.6466667056083679,0.5174999833106995,0.5824999809265137,0.022819964708385966
11,0.6412060856819153,0.6475000381469727,0.512499988079071,0.5649999976158142,0.023991003722059628
12,0.6371942162513733,0.6491667032241821,0.512499988079071,0.5575000047683716,0.02499581962448308
13,0.630948007106781,0.6550000309944153,0.5024999976158142,0.5450000166893005,0.029057275493327744
14,0.6281499862670898,0.6566666960716248,0.4899999797344208,0.5450000166893005,0.027595202981809185
15,0.620884120464325,0.6666666865348816,0.4949999749660492,0.5424999594688416,0.03156404628807969
16,0.6157984733581543,0.6725000143051147,0.5099999904632568,0.5274999737739563,0.03705120988771115
17,0.6104581356048584,0.6833333373069763,0.5074999928474426,0.5349999666213989,0.0385708977701006
18,0.6032366156578064,0.6949999928474426,0.5074999928474426,0.5274999737739563,0.041411656729492
19,0.5937424898147583,0.7075000405311584,0.5099999904632568,0.5149999856948853,0.04585586686797743
20,0.5886105895042419,0.7283333539962769,0.5199999809265137,0.5149999856948853,0.049594869577707375
21,0.5853954553604126,0.7483333349227905,0.5299999713897705,0.512499988079071,0.05749517286909838
22,0.5787447094917297,0.7608333230018616,0.5224999785423279,0.5074999928474426,0.06875817559900735
23,0.5603709816932678,0.7641667127609253,0.5074999928474426,0.5074999928474426,0.06870854854294187
24,0.5623112916946411,0.7716667056083679,0.5099999904632568,0.5,0.07652009310645064
25,0.5568444728851318,0.7791666984558105,0.4975000023841858,0.5049999952316284,0.08634136527112683
26,0.5544427633285522,0.7783333659172058,0.5074999928474426,0.4975000023841858,0.10905105204332087
27,0.5503305196762085,0.7700000405311584,0.5324999690055847,0.48749998211860657,0.09899644486799188
28,0.547193169593811,0.7775000333786011,0.5475000143051147,0.5099999904632568,0.12351825906234612
29,0.5367175936698914,0.7816666960716248,0.5274999737739563,0.5149999856948853,0.10433310917821288
30,0.5339832305908203,0.7766667008399963,0.5249999761581421,0.5374999642372131,0.11299894877589872
31,0.5340525507926941,0.7800000309944153,0.5149999856948853,0.5274999737739563,0.1134115335223054
32,0.5327661037445068,0.7933333516120911,0.5,0.5149999856948853,0.11931030546702727
33,0.5262838006019592,0.8041666746139526,0.5,0.5,0.11355139539630975
34,0.5214256644248962,0.7975000143051147,0.5024999976158142,0.4899999797344208,0.13295927789089232
35,0.524992048740387,0.8016666769981384,0.512499988079071,0.5,0.1436482144299917
36,0.5207434892654419,0.7975000143051147,0.5174999833106995,0.512499988079071,0.1340261356083458
37,0.5086480975151062,0.7900000214576721,0.5249999761581421,0.5324999690055847,0.1297686391981719
38,0.5064224004745483,0.8033333420753479,0.5249999761581421,0.5199999809265137,0.15195710148181962
39,0.505818784236908,0.8108333349227905,0.5224999785423279,0.5099999904632568,0.12009808179842349
40,0.5025411248207092,0.8100000023841858,0.5199999809265137,0.5099999904632568,0.13299166969859197
41,0.5033172369003296,0.800000011920929,0.5174999833106995,0.5,0.14318685361931371
42,0.5088885426521301,0.8100000023841858,0.512499988079071,0.4899999797344208,0.15061355903723417
43,0.5028223395347595,0.8108333349227905,0.5299999713897705,0.5074999928474426,0.1303637466845133
44,0.4959079623222351,0.8100000023841858,0.5349999666213989,0.512499988079071,0.13579590512502934
45,0.4955137073993683,0.8050000071525574,0.5224999785423279,0.512499988079071,0.1386145276713359
46,0.4958692789077759,0.8141666650772095,0.5199999809265137,0.5249999761581421,0.1371763432515516
47,0.4946746826171875,0.8141666650772095,0.512499988079071,0.5149999856948853,0.1327323801199934
48,0.49059346318244934,0.8141666650772095,0.5074999928474426,0.48749998211860657,0.14327784634582813
49,0.48552170395851135,0.8133333325386047,0.5149999856948853,0.47749999165534973,0.1333041300119416
50,0.4997715353965759,0.8166666626930237,0.5149999856948853,0.48749998211860657,0.1497877353451071
51,0.49561575055122375,0.8199999928474426,0.5149999856948853,0.5024999976158142,0.14211380885140368
52,0.4929380416870117,0.8149999976158142,0.4899999797344208,0.5199999809265137,0.15849363240244232
53,0.4643675684928894,0.8191666603088379,0.5024999976158142,0.5324999690055847,0.1227774825165266
54,0.4790881276130676,0.8149999976158142,0.48499998450279236,0.5249999761581421,0.15174347872023644
55,0.4872022867202759,0.815833330154419,0.4975000023841858,0.5074999928474426,0.1497379674502576
56,0.4816400706768036,0.8333333730697632,0.5,0.5074999928474426,0.15832289902346583
57,0.48198485374450684,0.8383333683013916,0.4949999749660492,0.4975000023841858,0.15021122133733736
58,0.4721935987472534,0.8350000381469727,0.5,0.5,0.13029692584223682
59,0.4687529504299164,0.830833375453949,0.5099999904632568,0.5024999976158142,0.1384728199735379
60,0.46399176120758057,0.8300000429153442,0.5149999856948853,0.4975000023841858,0.15054523750168466
61,0.47675108909606934,0.82750004529953,0.5149999856948853,0.5099999904632568,0.1562266025403642
62,0.470863401889801,0.8266667127609253,0.5174999833106995,0.5099999904632568,0.14191387913860068
63,0.4731205105781555,0.8316667079925537,0.5099999904632568,0.5099999904632568,0.1486177807080313
64,0.48382019996643066,0.8383333683013916,0.5074999928474426,0.5249999761581421,0.17395356062093745
65,0.4744427502155304,0.8316667079925537,0.5074999928474426,0.5349999666213989,0.14919698953688262
66,0.47812601923942566,0.8333333730697632,0.4899999797344208,0.5299999713897705,0.15175179386685625
67,0.46682068705558777,0.8250000476837158,0.5074999928474426,0.5199999809265137,0.13901225221104685
68,0.4719292223453522,0.84333336353302,0.4949999749660492,0.5,0.16521747721261426
69,0.46726882457733154,0.8525000214576721,0.4975000023841858,0.4949999749660492,0.15141632927274007
70,0.4751695394515991,0.8475000262260437,0.5099999904632568,0.5149999856948853,0.1457917502408387
71,0.46655669808387756,0.8416666984558105,0.5174999833106995,0.5174999833106995,0.15359379182224475
72,0.4543819725513458,0.8358333706855774,0.5249999761581421,0.5249999761581421,0.12751433016679198
73,0.47286295890808105,0.8375000357627869,0.512499988079071,0.5374999642372131,0.18401014519801934
74,0.4514625668525696,0.8358333706855774,0.4949999749660492,0.5349999666213989,0.1492403630824456
75,0.46984872221946716,0.8400000333786011,0.5074999928474426,0.5324999690055847,0.1639140818706675
76,0.4618210792541504,0.8441666960716248,0.4899999797344208,0.5324999690055847,0.1639512588680146
77,0.46893006563186646,0.8458333611488342,0.5099999904632568,0.5049999952316284,0.16131078476123548
78,0.46163567900657654,0.8416666984558105,0.512499988079071,0.492499977350235,0.15708955803644117
79,0.4744027256965637,0.8508333563804626,0.5224999785423279,0.5074999928474426,0.16385659198716535
80,0.4607921242713928,0.8541666865348816,0.5249999761581421,0.5199999809265137,0.15665324638540262
81,0.46146658062934875,0.8483333587646484,0.5024999976158142,0.5049999952316284,0.15840667590811408
82,0.4685012698173523,0.8366667032241821,0.5024999976158142,0.512499988079071,0.16058829660863577
83,0.45782098174095154,0.8258333802223206,0.512499988079071,0.5149999856948853,0.14503478445799006
84,0.4649324417114258,0.8350000381469727,0.5024999976158142,0.5174999833106995,0.16876807457000817
85,0.4584118723869324,0.84333336353302,0.5024999976158142,0.512499988079071,0.152174313954432
86,0.45392507314682007,0.8500000238418579,0.492499977350235,0.5074999928474426,0.17474762834262514
87,0.4463621973991394,0.8450000286102295,0.5024999976158142,0.4975000023841858,0.13524832140004597
88,0.456660658121109,0.8516666889190674,0.4949999749660492,0.5074999928474426,0.15071747426225923
89,0.45031502842903137,0.8450000286102295,0.5,0.512499988079071,0.17001716347410292
