target_homophily,graph_seed,architecture,baseline_accuracy_l2_pct,baseline_accuracy_l8_pct,baseline_depth_drop_pp,pairnorm_accuracy_l2_pct,pairnorm_accuracy_l8_pct,pairnorm_depth_drop_pp,depth_drop_reduction_pp
0.1,1,GCN,99.75000023841858,54.750001430511475,44.999998807907104,99.75000023841858,100.0,-0.2499997615814209,45.249998569488525
0.1,1,GraphSAGE,99.75000023841858,100.0,-0.2499997615814209,99.75000023841858,100.0,-0.2499997615814209,0.0
0.1,2,GCN,100.0,52.49999761581421,47.50000238418579,100.0,100.0,0.0,47.50000238418579
0.1,2,GraphSAGE,100.0,100.0,0.0,100.0,100.0,0.0,0.0
0.1,3,GCN,99.75000023841858,100.0,-0.2499997615814209,99.75000023841858,100.0,-0.2499997615814209,0.0
0.1,3,GraphSAGE,100.0,50.0,50.0,100.0,100.0,0.0,50.0
0.1,4,GCN,100.0,49.75000023841858,50.24999976158142,100.0,100.0,0.0,50.24999976158142
0.1,4,GraphSAGE,99.50000047683716,100.0,-0.4999995231628418,99.25000071525574,100.0,-0.7499992847442627,0.2499997615814209
0.1,5,GCN,99.75000023841858,100.0,-0.2499997615814209,99.75000023841858,100.0,-0.2499997615814209,0.0
0.1,5,GraphSAGE,99.75000023841858,50.0,49.75000023841858,99.75000023841858,100.0,-0.2499997615814209,50.0
0.5,1,GCN,59.74999666213989,46.75000011920929,12.999996542930603,61.250001192092896,52.99999713897705,8.250004053115845,4.749992489814758
0.5,1,GraphSAGE,66.99999570846558,50.0,16.999995708465576,66.24999642372131,63.24999928474426,2.999997138977051,13.999998569488525
0.5,2,GCN,62.00000047683716,49.49999749660492,12.500002980232239,62.5,51.99999809265137,10.500001907348633,2.000001072883606
0.5,2,GraphSAGE,68.50000023841858,50.0,18.50000023841858,68.75,62.99999952316284,5.750000476837158,12.749999761581421
0.5,3,GCN,58.74999761581421,48.499998450279236,10.249999165534973,57.999998331069946,55.250000953674316,2.74999737739563,7.500001788139343
0.5,3,GraphSAGE,65.24999737739563,50.0,15.24999737739563,65.49999713897705,65.24999737739563,0.2499997615814209,14.999997615814209
0.5,4,GCN,58.99999737739563,49.2499977350235,9.749999642372131,59.74999666213989,48.74999821186066,10.999998450279236,-1.2499988079071045
0.5,4,GraphSAGE,67.25000143051147,50.0,17.250001430511475,64.99999761581421,64.99999761581421,0.0,17.250001430511475
0.5,5,GCN,60.249996185302734,53.999996185302734,6.25,61.500000953674316,52.74999737739563,8.750003576278687,-2.5000035762786865
0.5,5,GraphSAGE,66.49999618530273,50.0,16.499996185302734,68.25000047683716,67.25000143051147,0.9999990463256836,15.49999713897705
