target_homophily,model,architecture,uses_pairnorm,n,parity_residual_mean_pp,parity_residual_std_pp,parity_residual_ci95_pp,negative_residual_seeds,paired_t_pvalue,wilcoxon_pvalue
0.1,GCN,GCN,False,5,4.741666714350383,4.339878915403357,5.3886714058199585,1,0.07097206466150005,0.1875
0.1,GCNPairNorm,GCN,True,5,-0.008333325386047363,0.06846525439452882,0.08501084150954864,1,0.7989658591927787,1.0
0.1,GraphSAGE,GraphSAGE,False,5,3.2666667302449546,4.531391311539392,5.626465453311811,1,0.18226061602086083,0.375
0.1,GraphSAGEPairNorm,GraphSAGE,True,5,0.02499997615814209,0.07569118666762775,0.0939830214665143,1,0.5011693674201637,0.625
0.5,GCN,GCN,False,5,-0.6416658560434977,1.1443556379985536,1.420905196844306,4,0.27818816891818865,0.3125
0.5,GCNPairNorm,GCN,True,5,-3.391667902469635,0.672243030366811,0.8346999688498706,5,0.0003517633388925076,0.0625
0.5,GraphSAGE,GraphSAGE,False,5,-2.0833333333333335,3.3259028087429274,4.12965377914088,4,0.2339167156354926,0.1875
0.5,GraphSAGEPairNorm,GraphSAGE,True,5,-0.5833337704340616,0.7186757713967465,0.8923538317246604,4,0.1437148375874711,0.1875
