target_homophily,graph_seed,model,odd_depth,odd_accuracy_pct,lower_even_accuracy_pct,upper_even_accuracy_pct,parity_residual_pp
0.5,1,GraphSAGEPairNorm,5,61.250001192092896,67.75000095367432,63.24999928474426,-4.249998927116394
0.5,1,GraphSAGEPairNorm,7,65.49999713897705,63.24999928474426,63.24999928474426,2.249997854232788
0.5,2,GCN,3,53.74999642372131,62.00000047683716,51.249998807907104,-2.875003218650818
0.5,2,GCN,5,49.2499977350235,51.249998807907104,51.749998331069946,-2.250000834465027
0.5,2,GCN,7,49.75000023841858,51.749998331069946,49.49999749660492,-0.8749976754188538
0.5,2,GCNPairNorm,3,52.24999785423279,62.5,54.750001430511475,-6.375002861022949
0.5,2,GCNPairNorm,5,51.99999809265137,54.750001430511475,55.75000047683716,-3.250002861022949
0.5,2,GCNPairNorm,7,51.499998569488525,55.75000047683716,51.99999809265137,-2.3750007152557373
0.5,2,GraphSAGE,3,69.49999928474426,68.50000023841858,71.24999761581421,-0.37499964237213135
0.5,2,GraphSAGE,5,62.5,71.24999761581421,68.50000023841858,-7.374998927116394
0.5,2,GraphSAGE,7,51.99999809265137,68.50000023841858,50.0,-7.250002026557922
0.5,2,GraphSAGEPairNorm,3,68.25000047683716,68.75,65.49999713897705,1.1250019073486328
0.5,2,GraphSAGEPairNorm,5,65.24999737739563,65.49999713897705,65.99999666213989,-0.4999995231628418
0.5,2,GraphSAGEPairNorm,7,64.49999809265137,65.99999666213989,62.99999952316284,0.0
0.5,3,GCN,3,51.749998331069946,58.74999761581421,48.74999821186065,-1.9999995827674866
0.5,3,GCN,5,50.0,48.74999821186065,48.49999845027923,1.3750016689300593
0.5,3,GCN,7,51.99999809265137,48.49999845027923,48.49999845027923,3.4999996423721367
0.5,3,GCNPairNorm,3,52.49999761581421,57.999998331069946,55.000001192092896,-4.000002145767212
0.5,3,GCNPairNorm,5,50.999999046325684,55.000001192092896,55.50000071525574,-4.250001907348633
0.5,3,GCNPairNorm,7,54.249995946884155,55.50000071525574,55.250000953674316,-1.1250048875808716
0.5,3,GraphSAGE,3,66.99999570846558,65.24999737739563,65.74999690055847,1.4999985694885254
0.5,3,GraphSAGE,5,66.24999642372131,65.74999690055847,50.0,8.374997973442078
0.5,3,GraphSAGE,7,50.0,50.0,50.0,0.0
0.5,3,GraphSAGEPairNorm,3,65.74999690055847,65.49999713897705,65.49999713897705,0.2499997615814209
0.5,3,GraphSAGEPairNorm,5,65.99999666213989,65.49999713897705,66.99999570846558,-0.2499997615814209
0.5,3,GraphSAGEPairNorm,7,64.74999785423279,66.99999570846558,65.24999737739563,-1.374998688697815
0.5,4,GCN,3,54.750001430511475,58.99999737739563,50.0,0.25000274181365967
0.5,4,GCN,5,50.74999928474426,50.0,49.49999749660492,1.000000536441803
0.5,4,GCN,7,46.99999988079071,49.49999749660492,49.2499977350235,-2.3749977350234985
0.5,4,GCNPairNorm,3,49.75000023841858,59.74999666213989,52.24999785423279,-6.249997019767761
0.5,4,GCNPairNorm,5,49.49999749660492,52.24999785423279,50.74999928474426,-2.000001072883606
0.5,4,GCNPairNorm,7,47.49999940395355,50.74999928474426,48.74999821186065,-2.2499993443489075
0.5,4,GraphSAGE,3,64.74999785423279,67.25000143051147,65.99999666213989,-1.8750011920928955
0.5,4,GraphSAGE,5,64.99999761581421,65.99999666213989,65.24999737739563,-0.6249994039535522
0.5,4,GraphSAGE,7,50.0,65.24999737739563,50.0,-7.624998688697815
0.5,4,GraphSAGEPairNorm,3,65.49999713897705,64.99999761581421,61.000001430511475,2.499997615814209
0.5,4,GraphSAGEPairNorm,5,62.74999976158142,61.000001430511475,66.49999618530273,-0.9999990463256836
0.5,4,GraphSAGEPairNorm,7,63.999998569488525,66.49999618530273,64.99999761581421,-1.7499983310699463
0.5,5,GCN,3,52.74999737739563,60.249996185302734,52.49999761581421,-3.624999523162842
0.5,5,GCN,5,52.24999785423279,52.49999761581421,53.74999642372131,-0.8749991655349731
0.5,5,GCN,7,53.999996185302734,53.74999642372131,53.999996185302734,0.12499988079071045
0.5,5,GCNPairNorm,3,50.49999952316284,61.500000953674316,54.750001430511475,-7.625001668930054
0.5,5,GCNPairNorm,5,51.99999809265137,54.750001430511475,55.000001192092896,-2.875003218650818
0.5,5,GCNPairNorm,7,52.49999761581421,55.000001192092896,52.74999737739563,-1.3750016689300537
0.5,5,GraphSAGE,3,62.99999952316284,66.49999618530273,68.75,-4.624998569488525
0.5,5,GraphSAGE,5,66.74999594688416,68.75,65.24999737739563,-0.25000274181365967
0.5,5,GraphSAGE,7,50.0,65.24999737739563,50.0,-7.624998688697815
0.5,5,GraphSAGEPairNorm,3,67.25000143051147,68.25000047683716,68.00000071525574,-0.8749991655349731
0.5,5,GraphSAGEPairNorm,5,66.24999642372131,68.00000071525574,68.50000023841858,-2.0000040531158447
0.5,5,GraphSAGEPairNorm,7,65.99999666213989,68.50000023841858,67.25000143051147,-1.8750041723251343
