target_homophily,model,num_layers,n,accuracy_mean_pct,accuracy_std_pct,accuracy_ci95_pct,hidden_pairwise_mean,hidden_pairwise_ci95,hidden_rank_ratio_mean,hidden_rank_ratio_ci95
0.1,GCN,2,5,99.85000014305115,0.13693050878905763,0.17002168301909729,0.42454205751419066,0.015302886101252132,0.06388049572706218,0.006721177214619
0.1,GCN,3,5,99.90000009536743,0.13693050878905763,0.17002168301909729,0.46881450414657594,0.015184725962061538,0.010481476970016921,0.0001285234340113895
0.1,GCN,4,5,100.0,0.0,0.0,0.4949623465538025,0.029761012744665024,0.010544091463088939,0.00026030627664375323
0.1,GCN,5,5,99.95000004768372,0.11180329225095949,0.13882212286867054,0.5183005928993225,0.04639183158915818,0.010590979084372482,0.00019686774453027468
0.1,GCN,6,5,100.0,0.0,0.0,0.6327791452407837,0.06652329745187727,0.01039939727634186,0.00018361058483562406
0.1,GCN,7,5,100.0,0.0,0.0,0.533227014541626,0.03666485221104522,0.010567217506468258,0.00027308852360651795
0.1,GCN,8,5,71.39999985694885,26.168086633161938,32.49197107427439,0.22935452461242675,0.39008044035333195,0.00891674458980556,0.0017359235070974622
0.1,GCNPairNorm,2,5,99.85000014305115,0.13693050878905763,0.17002168301909729,1.0004257321357728,0.00042437373589426975,0.18337580859661098,0.005589660652447567
0.1,GCNPairNorm,3,5,99.95000004768372,0.11180329225095949,0.13882212286867054,1.0002296090126037,0.0007191881534285944,0.0350993555039167,0.02449926718522341
0.1,GCNPairNorm,4,5,100.0,0.0,0.0,1.0004663467407227,0.0004932963611347498,0.009592171385884241,0.0009451090676181092
0.1,GCNPairNorm,5,5,100.0,0.0,0.0,0.9992828130722046,0.002149830368973751,0.009176894463598682,0.0007276417419292382
0.1,GCNPairNorm,6,5,100.0,0.0,0.0,0.9998788475990296,0.0012011543363231966,0.008792171254754,0.00020890812567413202
0.1,GCNPairNorm,7,5,99.95000004768372,0.11180329225095949,0.13882212286867054,1.00054030418396,0.00089604596366557,0.00879953745752568,0.0005424936515256991
0.1,GCNPairNorm,8,5,100.0,0.0,0.0,1.0006873846054076,0.000294155935706421,0.0091823928058147,0.000728899401669874
0.1,GraphSAGE,2,5,99.80000019073486,0.20916480715822416,0.2597124107396004,0.7449083685874939,0.05003634275941665,0.34078197479248046,0.027457391248686486
0.1,GraphSAGE,3,5,99.80000019073486,0.20916480715822416,0.2597124107396004,0.43461999893188474,0.0856511886371885,0.03343281075358384,0.005815746459275503
0.1,GraphSAGE,4,5,99.95000004768372,0.11180329225095949,0.13882212286867054,0.588327419757843,0.03914568816237093,0.01253905724734064,0.001126837983895961
0.1,GraphSAGE,5,5,99.85000014305115,0.22360658450191898,0.2776442457373411,0.5919815182685852,0.041260613465495664,0.01160781215876338,0.0004957870988725738
0.1,GraphSAGE,6,5,99.90000009536743,0.13693050878905763,0.17002168301909729,0.6757791399955749,0.03222864375175842,0.01089438945055004,0.00031460853092806954
0.1,GraphSAGE,7,5,99.90000009536743,0.13693050878905763,0.17002168301909729,0.7246559739112854,0.020509601147679357,0.01100620795041318,0.0006067901907790015
0.1,GraphSAGE,8,5,80.0,27.386127875258307,34.00436903291285,0.4260543942451477,0.4834367254891919,0.01187839582562442,0.0025695715298575763
0.1,GraphSAGEPairNorm,2,5,99.75000023841858,0.30618592584596527,0.3801800408796232,1.0005349397659302,0.0002648911138004348,0.48180747628211973,0.010024666237951447
0.1,GraphSAGEPairNorm,3,5,99.95000004768372,0.11180329225095949,0.13882212286867054,1.000417673587799,0.0007550503018473947,0.16433660686016083,0.002423939696719283
0.1,GraphSAGEPairNorm,4,5,99.95000004768372,0.11180329225095949,0.13882212286867054,1.0005410671234132,0.0004906175642469909,0.03958102092146868,0.0028000254260336656
0.1,GraphSAGEPairNorm,5,5,100.0,0.0,0.0,0.9994356989860534,0.00218188553460352,0.01645059343427416,0.0009416976365826955
0.1,GraphSAGEPairNorm,6,5,100.0,0.0,0.0,0.9999301552772522,0.0011606106026670203,0.01208145599812262,0.0010470332726678876
0.1,GraphSAGEPairNorm,7,5,99.95000004768372,0.11180329225095949,0.13882212286867054,1.000570011138916,0.0008185813745699368,0.01123433075845236,0.0008628950259707094
0.1,GraphSAGEPairNorm,8,5,100.0,0.0,0.0,1.0007447957992555,0.0002226363003773571,0.010834684409201118,0.00042439557021711364
0.5,GCN,2,5,59.949997663497925,1.2918022010318977,1.6039842858216917,0.9581398248672486,0.005628187949933613,0.3805318117141724,0.004163379291075382
0.5,GCN,3,5,53.749998807907104,1.5811401494900885,1.9632447997363642,0.2570722818374634,0.06130016551701865,0.018956333957612443,0.0037862883201643487
0.5,GCN,4,5,50.29999852180481,1.5751982460068372,1.9558669521004097,1.0967254638671874e-06,1.7369253709767291e-06,0.007932122424244839,0.00018740858370074216
0.5,GCN,5,5,49.84999895095825,1.9413263385071664,2.4104750232890866,0.0,1.8128414318461873e-07,0.008176618441939319,0.0006135904724492923
0.5,GCN,6,5,50.4999977350235,2.200851532203677,2.732718112928903,2.384185791015625e-07,3.471327057826708e-07,0.00790281668305392,8.62676065505027e-05
0.5,GCN,7,5,50.04999876022339,2.9706887269287097,3.6885972420971584,9.5367431640625e-08,1.2384064599079724e-07,0.008977112732827601,0.0022008224577719335
0.5,GCN,8,5,49.599997997283936,2.684444600225886,3.3331782152729854,1.430511474609375e-07,1.621454669614451e-07,0.0084117820486426,0.0010804861606225954
0.5,GCNPairNorm,2,5,60.59999942779541,1.7553502228293087,2.1795551759261116,1.000492477416992,0.00020835998496662522,0.35920773148536683,0.005152692526892571
0.5,GCNPairNorm,3,5,51.19999885559082,1.1645803592537745,1.4460175051006203,0.999154269695282,0.0005294868773435298,0.28764005899429324,0.01862995707385615
0.5,GCNPairNorm,4,5,54.700000286102295,1.6046813983307526,1.992475120894573,0.9986055374145508,0.0008124049808358784,0.08782235682010645,0.01206641284344383
0.5,GCNPairNorm,5,5,52.44999825954437,3.1344858352484923,3.8919782145077155,0.9987045764923096,0.001431192127208014,0.046270783990621546,0.005565285488521925
0.5,GCNPairNorm,6,5,54.85000014305115,2.440543148216756,3.030334563203625,0.9954523801803589,0.005385973419963991,0.031098528951406423,0.004637612947316846
0.5,GCNPairNorm,7,5,52.19999849796295,3.0072826344847314,3.7340345796630676,0.9963174343109131,0.004695962608069707,0.024319108575582463,0.003475770302491773
0.5,GCNPairNorm,8,5,52.349998354911804,2.349202733038078,2.916920458095275,0.9952889442443847,0.004896945028089677,0.023130766302347137,0.0036369950282249485
0.5,GraphSAGE,2,5,66.8999981880188,1.1805732307197603,1.465875277827835,0.8136540174484252,0.013218499649329666,0.5605967402458191,0.00847464634812628
0.5,GraphSAGE,3,5,65.74999809265137,2.5372226739717534,3.150378049697019,0.43907896280288694,0.0992919976773095,0.1866520315408706,0.01987533577106203
0.5,GraphSAGE,4,5,67.04999804496765,2.9968734462765285,3.721109865414415,0.7599347114562989,0.07848870360696135,0.021511667594313562,0.0023788590905505736
0.5,GraphSAGE,5,5,65.6499981880188,2.0202100074313916,2.5084220350385227,0.7488741517066956,0.13581984432997246,0.01416562292724842,0.0012476048261052214
0.5,GraphSAGE,6,5,62.54999876022339,7.227118576099995,8.973652946693033,0.4212416887283325,0.3500830375318591,0.01285550408065316,0.003525977093037112
