target_homophily,architecture,n,baseline_depth_drop_mean_pp,baseline_depth_drop_std_pp,pairnorm_depth_drop_mean_pp,pairnorm_depth_drop_std_pp,depth_drop_reduction_mean_pp,depth_drop_reduction_ci95_pp,positive_reduction_seeds,paired_t_pvalue,wilcoxon_pvalue
0.1,GCN,5,28.450000286102295,26.265114760903423,-0.14999985694885254,0.13693050878905763,28.600000143051147,32.49197107427439,3,0.07091156035017881,0.25
0.1,GraphSAGE,5,19.800000190734863,27.455304520989653,-0.2499997615814209,0.30618592584596527,20.049999952316284,33.94793167297532,3,0.1763907129744468,0.25
0.5,GCN,5,10.34999966621399,2.6844457104120383,8.250001072883606,3.2834826208070518,2.0999985933303833,5.141111404234219,3,0.3201110569111194,0.4375
0.5,GraphSAGE,5,16.8999981880188,1.1805732307197603,1.9999992847442627,2.404423038696252,14.899998903274536,2.089264003128197,5,3.83773031472994e-05,0.0625
