target_homophily,architecture,num_layers,n,baseline_accuracy_mean_pct,baseline_accuracy_std_pct,pairnorm_accuracy_mean_pct,pairnorm_accuracy_std_pct,accuracy_delta_mean_pp,accuracy_delta_std_pp,accuracy_delta_ci95_pp,positive_seeds,negative_seeds,tie_seeds,paired_t_pvalue,wilcoxon_pvalue,final_pairwise_delta_mean,final_pairwise_delta_ci95,final_rank_ratio_delta_mean,final_rank_ratio_delta_ci95,best_pairwise_delta_mean,best_pairwise_delta_ci95,paired_t_pvalue_holm,wilcoxon_pvalue_holm,significant_t_holm_005,significant_wilcoxon_holm_005
0.1,GCN,2,5,99.85000014305116,0.1369305087890576,99.85000014305116,0.1369305087890576,0.0,0.0,0.0,0,0,5,1.0,1.0,0.5758836746215821,0.0151737567854985,0.1194953128695488,0.006955508918811,0.0642419815063476,0.0325865052776251,1.0,1.0,False,False
0.1,GCN,3,5,99.90000009536745,0.1369305087890576,99.95000004768372,0.1118032922509595,0.0499999523162841,0.1118032922509594,0.1388221228686705,1,0,4,0.373900966300059,1.0,0.531415104866028,0.0151271095889832,0.0246178785338997,0.024508300784858,0.846766221523285,0.0128922003054002,1.0,1.0,False,False
0.1,GCN,4,5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,5,1.0,1.0,0.5055040001869202,0.0295511902306691,-0.0009519200772046,0.0010133851767462,0.8808656454086303,0.0915324210524738,1.0,1.0,False,False
0.1,GCN,5,5,99.95000004768372,0.1118032922509595,100.0,0.0,0.0499999523162841,0.1118032922509594,0.1388221228686705,1,0,4,0.373900966300059,1.0,0.4809822201728821,0.0460161364161009,-0.0014140846207738,0.0008007187124279,0.8565181255340576,0.1814317131345774,1.0,1.0,False,False
0.1,GCN,6,5,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0,0,5,1.0,1.0,0.3670997023582458,0.0662133341747779,-0.0016072260215878,0.0003169827356496,0.7685324549674988,0.1390678434690775,1.0,1.0,False,False
0.1,GCN,7,5,100.0,0.0,99.95000004768372,0.1118032922509595,-0.0499999523162841,0.1118032922509594,0.1388221228686705,0,1,4,0.373900966300059,1.0,0.467313289642334,0.037241191835828,-0.0017676800489425,0.0006306329578195,0.8502901673316956,0.1650613157014617,1.0,1.0,False,False
0.1,GCN,8,5,71.39999985694885,26.16808663316193,100.0,0.0,28.600000143051147,26.168086633161938,32.49197107427439,3,0,2,0.0709115603501788,0.25,0.771332859992981,0.3900113589626889,0.0002656482160091,0.0021094164577913,0.9544262766838074,0.1236443733649363,1.0,1.0,False,False
0.1,GraphSAGE,2,5,99.80000019073486,0.2091648071582241,99.75000023841858,0.3061859258459652,-0.0499999523162841,0.1118032922509594,0.1388221228686705,0,1,4,0.373900966300059,1.0,0.2556265711784363,0.04994639513683,0.1410255014896392,0.026880672482851,0.0800316214561462,0.0598833814894433,1.0,1.0,False,False
0.1,GraphSAGE,3,5,99.80000019073486,0.2091648071582241,99.95000004768372,0.1118032922509594,0.1499998569488525,0.2236065845019189,0.2776442457373411,2,0,3,0.2079999999999998,0.5,0.5657976746559144,0.0849948017395235,0.1309037961065769,0.0063568311200058,0.6550578117370606,0.0885979949846216,1.0,1.0,False,False
0.1,GraphSAGE,4,5,99.95000004768372,0.1118032922509595,99.95000004768372,0.1118032922509595,0.0,0.0,0.0,0,0,5,1.0,1.0,0.41221364736557,0.0388729367675884,0.027041963674128,0.0031429044755922,0.5107382893562317,0.1317727757600803,1.0,1.0,False,False
