comparison,learning_rate,n_pairs,mean_difference,mean_difference_percentage_points,std_difference,median_difference,minimum_difference,maximum_difference,positive_pairs,negative_pairs,zero_pairs,ci95_low,ci95_high,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,cohen_dz,paired_t_holm_pvalue,wilcoxon_holm_pvalue,exact_sign_flip_holm_pvalue,baseline_mean_depth_loss,pairnorm_mean_depth_loss,absolute_depth_loss_reduction,relative_depth_loss_reduction
GraphSAGE L8 minus L4,0.0003,10,-0.011776315789473685,-1.1776315789473686,0.01335542519995033,-0.011842105263157932,-0.03815789473684211,0.006578947368421018,2,8,0,-0.02133021143866886,-0.0022224201402785103,0.02110970563649896,0.017578125,0.01953125,-0.8817627004131237,0.02110970563649896,0.017578125,0.01953125,0.011776315789473685,0.0313157894736842,-0.019539473684210516,-1.659217877094971
PairNorm L8 minus L4,0.0003,10,-0.0313157894736842,-3.13157894736842,0.011621565640426837,-0.03289473684210523,-0.044078947368421106,-0.003947368421052588,0,10,0,-0.03962935671296034,-0.023002222234408058,1.3323229182364875e-05,0.001953125,0.001953125,-2.6946274230684493,3.9969687547094626e-05,0.005859375,0.005859375,0.011776315789473685,0.0313157894736842,-0.019539473684210516,-1.659217877094971
PairNorm depth interaction,0.0003,10,-0.019539473684210516,-1.9539473684210515,0.015136504410665108,-0.02072368421052634,-0.044078947368420995,0.010526315789473717,1,9,0,-0.030367476646902772,-0.008711470721518262,0.0027492127181308248,0.005859375,0.005859375,-1.2908841535726767,0.0054984254362616496,0.01171875,0.01171875,0.011776315789473685,0.0313157894736842,-0.019539473684210516,-1.659217877094971
