seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss,relative_depth_loss_reduction
,,,,,,,,,,,
1,0,0.3526315789473684,0.3493421052631579,0.3203947368421053,0.325,-0.003289473684210509,0.004605263157894723,0.007894736842105232,0.003289473684210509,-0.004605263157894723,2.4000000000000035
1,1,0.3361842105263158,0.3092105263157895,0.3414473684210526,0.3539473684210526,-0.026973684210526316,0.012500000000000011,0.03947368421052633,0.026973684210526316,-0.012500000000000011,1.4634146341463419
1,2,0.3657894736842105,0.3276315789473684,0.3342105263157894,0.3322368421052631,-0.03815789473684211,-0.001973684210526294,0.03618421052631582,0.03815789473684211,0.001973684210526294,0.9482758620689661
1,3,0.3427631578947368,0.3263157894736842,0.3203947368421053,0.3368421052631579,-0.0164473684210526,0.0164473684210526,0.0328947368421052,0.0164473684210526,-0.0164473684210526,2.0
1,4,0.3375,0.3256578947368421,0.3151315789473684,0.3125,-0.011842105263157932,-0.0026315789473683737,0.009210526315789558,0.011842105263157932,0.0026315789473683737,0.7777777777777825
1,5,0.35,0.356578947368421,0.3368421052631579,0.3539473684210526,0.006578947368421018,0.017105263157894735,0.010526315789473717,-0.006578947368421018,-0.017105263157894735,-1.6000000000000134
1,6,0.3519736842105263,0.3381578947368421,0.3230263157894736,0.3447368421052632,-0.013815789473684226,0.02171052631578957,0.035526315789473795,0.013815789473684226,-0.02171052631578957,2.5714285714285765
1,7,0.3486842105263157,0.35,0.3256578947368421,0.3414473684210526,0.0013157894736842701,0.01578947368421052,0.01447368421052625,-0.0013157894736842701,-0.01578947368421052,-10.999999999999451
1,8,0.3513157894736842,0.3480263157894737,0.3368421052631579,0.3328947368421052,-0.003289473684210509,-0.003947368421052699,-0.0006578947368421906,0.003289473684210509,0.003947368421052699,-0.200000000000027
1,9,0.3519736842105263,0.3401315789473684,0.3506578947368421,0.3368421052631579,-0.011842105263157932,-0.013815789473684226,-0.001973684210526294,0.011842105263157932,0.013815789473684226,-0.16666666666666433
