model,num_layers,hidden_channels,learning_rate,n,mean_best_val_acc,std_best_val_acc,mean_test_at_best_val,std_test_at_best_val,mean_final_test_acc,std_final_test_acc,mean_best_epoch,std_best_epoch,best_epoch_at_cap_count,best_epoch_last_10_percent_count,selection_rule
GraphSAGE,4,128,0.0003,10,0.36981907894736843,0.006831655136752012,0.3488815789473684,0.00852757237509574,0.33309210526315786,0.008310506594201229,144.1,16.400880735158367,0,0,maximum mean validation accuracy; smaller learning rate breaks exact ties
GraphSAGEPairNorm,4,128,0.03,10,0.35045230263157895,0.005051042808906898,0.3304605263157895,0.011255149978853045,0.32743421052631577,0.011736247133059066,151.8,256.55919828028425,0,0,maximum mean validation accuracy; smaller learning rate breaks exact ties
GraphSAGE,8,128,0.0003,10,0.3598273026315789,0.008706258595743472,0.3371052631578947,0.014682177226179824,0.31914473684210526,0.010583043415809299,262.1,118.8972011632084,0,0,maximum mean validation accuracy; smaller learning rate breaks exact ties
GraphSAGEPairNorm,8,128,0.03,10,0.36007401315789467,0.005308542274534948,0.3370394736842105,0.012639838004131957,0.3229605263157894,0.01088324852660469,64.1,27.42444165338649,0,0,maximum mean validation accuracy; smaller learning rate breaks exact ties
