num_layers,learning_rate,baseline_mean_test,pairnorm_mean_test,n_pairs,mean_gain,mean_gain_percentage_points,std_gain,median_gain,minimum_gain,maximum_gain,positive_splits,negative_splits,zero_splits,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,mean_gain_ci95_low,mean_gain_ci95_high,cohen_dz,exact_sign_flip_holm_pvalue
4,0.0003,0.34888157894736843,0.3304605263157895,10,-0.018421052631578966,-1.8421052631578967,0.013429220081048129,-0.018750000000000017,-0.034210526315789525,0.003289473684210509,1,9,0,0.0018836695712107431,0.00390625,0.00390625,-0.02802773795859404,-0.008814367304563893,-1.3717142559585809,0.0234375
4,0.001,0.3430921052631578,0.3335526315789474,10,-0.009539473684210525,-0.9539473684210524,0.014209612543720518,-0.011513157894736836,-0.03026315789473688,0.011842105263157876,3,7,0,0.06273497052012486,0.060546875,0.0703125,-0.01970441814877954,0.0006254707803584909,-0.6713394650881025,0.169921875
4,0.003,0.3482236842105263,0.3346052631578947,10,-0.013618421052631575,-1.3618421052631575,0.011289281136323359,-0.017105263157894735,-0.025657894736842102,0.008552631578947423,1,9,0,0.004123284642606136,0.013671875,0.01171875,-0.021694286277144384,-0.005542555828118766,-1.2063142806156353,0.05859375
4,0.005,0.3442105263157894,0.3342763157894736,10,-0.009934210526315778,-0.9934210526315778,0.01082565073139159,-0.012828947368421023,-0.025000000000000022,0.009868421052631526,2,8,0,0.01754161571961967,0.01953125,0.01953125,-0.017678414538834477,-0.00219000651379708,-0.9176548156601001,0.078125
4,0.01,0.3405263157894737,0.33236842105263154,10,-0.008157894736842124,-0.8157894736842124,0.011277133756763225,-0.011184210526315796,-0.023684210526315808,0.015131578947368385,2,8,0,0.04796287939886417,0.0859375,0.056640625,-0.01622507024949693,-9.071922418731754e-05,-0.7234014345134107,0.169921875
4,0.03,0.3363157894736842,0.3304605263157895,10,-0.005855263157894736,-0.5855263157894736,0.012542057593536783,-0.0052631578947368585,-0.022368421052631537,0.013815789473684226,4,5,1,0.17397087039950165,0.203125,0.17578125,-0.014827310672734774,0.0031167843569453015,-0.46685028467036305,0.17578125
8,0.0003,0.3371052631578947,0.29914473684210524,10,-0.037960526315789486,-3.7960526315789487,0.013796805392096842,-0.03684210526315787,-0.060526315789473706,-0.013815789473684281,0,10,0,1.1249890261295844e-05,0.001953125,0.001953125,-0.04783016633360313,-0.02809088629797584,-2.751399707176723,0.0234375
8,0.001,0.2516447368421052,0.2931578947368422,10,0.04151315789473685,4.151315789473685,0.01606260475353059,0.03815789473684214,0.022368421052631593,0.0796052631578947,10,0,0,1.8653564408987912e-05,0.001953125,0.001953125,0.0300226626561376,0.0530036531333361,2.584459901225683,0.0234375
8,0.003,0.2516447368421052,0.31046052631578946,10,0.058815789473684224,5.881578947368422,0.0207122520216997,0.05953947368421056,0.030921052631578905,0.09342105263157902,10,0,0,8.696421360275282e-06,0.001953125,0.001953125,0.043999136951390384,0.07363244199597806,2.8396617331647187,0.0234375
8,0.005,0.2511184210526315,0.32085526315789475,10,0.06973684210526317,6.973684210526317,0.014707704067637918,0.07006578947368425,0.04539473684210532,0.09276315789473688,10,0,0,1.1320313859361445e-07,0.001953125,0.001953125,0.059215584429245585,0.08025809978128075,4.7415179000445455,0.0234375
8,0.01,0.2511184210526315,0.33124999999999993,10,0.08013157894736844,8.013157894736844,0.009776865741341794,0.07763157894736844,0.06907894736842107,0.09210526315789472,10,0,0,9.136647233370191e-10,0.001953125,0.001953125,0.07313763052037878,0.08712552737435811,8.196039617126935,0.0234375
8,0.03,0.25111842105263155,0.3370394736842105,10,0.08592105263157897,8.592105263157897,0.01702409893645882,0.08552631578947367,0.061184210526315785,0.10921052631578948,10,0,0,6.574258835642762e-08,0.001953125,0.001953125,0.0737427458891544,0.09809935937400353,5.0470249821898285,0.0234375
