seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss
,,,,,,,,,,
1,0,0.3526315789473684,0.3493421052631579,0.3243421052631579,0.2888157894736842,-0.003289473684210509,-0.035526315789473684,-0.032236842105263175,0.003289473684210509,0.035526315789473684
1,1,0.3361842105263158,0.3092105263157895,0.3394736842105263,0.2953947368421052,-0.026973684210526316,-0.044078947368421106,-0.01710526315789479,0.026973684210526316,0.044078947368421106
1,2,0.3657894736842105,0.3276315789473684,0.331578947368421,0.3039473684210526,-0.03815789473684211,-0.027631578947368396,0.010526315789473717,0.03815789473684211,0.027631578947368396
1,3,0.3427631578947368,0.3263157894736842,0.3361842105263158,0.2953947368421052,-0.0164473684210526,-0.0407894736842106,-0.024342105263157998,0.0164473684210526,0.0407894736842106
1,4,0.3375,0.3256578947368421,0.3105263157894737,0.2855263157894737,-0.011842105263157932,-0.025000000000000022,-0.01315789473684209,0.011842105263157932,0.025000000000000022
1,5,0.35,0.356578947368421,0.3407894736842105,0.3032894736842105,0.006578947368421018,-0.03749999999999998,-0.044078947368420995,-0.006578947368421018,0.03749999999999998
1,6,0.3519736842105263,0.3381578947368421,0.3197368421052631,0.2894736842105263,-0.013815789473684226,-0.03026315789473677,-0.016447368421052544,0.013815789473684226,0.03026315789473677
1,7,0.3486842105263157,0.35,0.3177631578947368,0.3138157894736842,0.0013157894736842701,-0.003947368421052588,-0.0052631578947368585,-0.0013157894736842701,0.003947368421052588
1,8,0.3513157894736842,0.3480263157894737,0.3407894736842105,0.3131578947368421,-0.003289473684210509,-0.027631578947368396,-0.024342105263157887,0.003289473684210509,0.027631578947368396
1,9,0.3519736842105263,0.3401315789473684,0.3434210526315789,0.3026315789473684,-0.011842105263157932,-0.04078947368421049,-0.028947368421052555,0.011842105263157932,0.04078947368421049
