seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss,relative_depth_loss_reduction
,,,,,,,,,,,
1,0,0.494692144373673,0.4881593989874244,0.5260493222276662,0.5138004246284501,-0.006532745386248595,-0.012248897599216102,-0.005716152212967507,0.006532745386248595,0.012248897599216102,-0.8749999999999979
1,1,0.5080842724154826,0.4884860362567368,0.5182100277641679,0.509880777396701,-0.019598236158745785,-0.0083292503674669,0.011268985791278885,0.019598236158745785,0.0083292503674669,0.575000000000003
1,2,0.5087375469541074,0.4777070063694267,0.5222929936305732,0.5195165768414176,-0.031030540584680744,-0.0027764167891556335,0.02825412379552511,0.031030540584680744,0.0027764167891556335,0.9105263157894741
1,3,0.5041646251837335,0.4750939082149273,0.515270292340356,0.5103707333006696,-0.0290707169688062,-0.004899559039686419,0.02417115792911978,0.0290707169688062,0.004899559039686419,0.8314606741573041
1,4,0.5030213947411399,0.4768904131961456,0.5219663563612609,0.5146170178017312,-0.026130981544994325,-0.007349338559529683,0.01878164298546464,0.026130981544994325,0.007349338559529683,0.7187499999999989
1,5,0.5138004246284501,0.4817899722358321,0.522129674995917,0.5072676792422015,-0.032010452392618016,-0.014861995753715496,0.01714845663890252,0.032010452392618016,0.014861995753715496,0.535714285714286
1,6,0.5084109096847951,0.4768904131961456,0.5240894986117917,0.5147803364363874,-0.03152049648864946,-0.009309162175404229,0.022211334313245235,0.03152049648864946,0.009309162175404229,0.7046632124352337
1,7,0.505307855626327,0.4793401927159889,0.5108606892046382,0.5040013065490773,-0.025967662910338085,-0.006859382655560964,0.01910828025477712,0.025967662910338085,0.006859382655560964,0.7358490566037751
1,8,0.5028580761064837,0.4698677119059284,0.512983831455169,0.5000816593173281,-0.03299036420055529,-0.01290217213784095,0.02008819206271434,0.03299036420055529,0.01290217213784095,0.6089108910891083
1,9,0.5026947574718276,0.4641515596929609,0.5227829495345419,0.5165768414176057,-0.03854319777886667,-0.006206108116936115,0.03233708966193055,0.03854319777886667,0.006206108116936115,0.8389830508474587
