seed,split_idx,graphsage_l4,graphsage_l8,pairnorm_l4,pairnorm_l8,graphsage_depth_change,pairnorm_depth_change,depth_interaction,graphsage_depth_loss,pairnorm_depth_loss
,,,,,,,,,,
1,0,0.494692144373673,0.4881593989874244,0.5260493222276662,0.5234362240731667,-0.006532745386248595,-0.0026130981544995047,0.0039196472317490905,0.006532745386248595,0.0026130981544995047
1,1,0.5080842724154826,0.4884860362567368,0.5182100277641679,0.5066144047035767,-0.019598236158745785,-0.011595623060591254,0.008002613098154532,0.019598236158745785,0.011595623060591254
1,2,0.5087375469541074,0.4777070063694267,0.5222929936305732,0.5196798954760738,-0.031030540584680744,-0.0026130981544993936,0.02841744243018135,0.031030540584680744,0.0026130981544993936
1,3,0.5041646251837335,0.4750939082149273,0.515270292340356,0.5018781642985465,-0.0290707169688062,-0.013392128041809559,0.01567858892699664,0.0290707169688062,0.013392128041809559
1,4,0.5030213947411399,0.4768904131961456,0.5219663563612609,0.5200065327453862,-0.026130981544994325,-0.0019598236158746563,0.02417115792911967,0.026130981544994325,0.0019598236158746563
1,5,0.5138004246284501,0.4817899722358321,0.522129674995917,0.5059611301649518,-0.032010452392618016,-0.016168544830965192,0.015841907561652824,0.032010452392618016,0.016168544830965192
1,6,0.5084109096847951,0.4768904131961456,0.5240894986117917,0.5123305569165442,-0.03152049648864946,-0.011758941695247493,0.01976155479340197,0.03152049648864946,0.011758941695247493
1,7,0.505307855626327,0.4793401927159889,0.5108606892046382,0.5057978115302956,-0.025967662910338085,-0.0050628776743426585,0.020904785235995427,0.025967662910338085,0.0050628776743426585
1,8,0.5028580761064837,0.4698677119059284,0.512983831455169,0.49697860525886,-0.03299036420055529,-0.016005226196309008,0.01698513800424628,0.03299036420055529,0.016005226196309008
1,9,0.5026947574718276,0.4641515596929609,0.5227829495345419,0.5111873264739507,-0.03854319777886667,-0.011595623060591143,0.026947574718275524,0.03854319777886667,0.011595623060591143
