num_layers,learning_rate,baseline_mean_test,pairnorm_mean_test,n_pairs,mean_gain,mean_gain_percentage_points,std_gain,median_gain,minimum_gain,maximum_gain,positive_splits,negative_splits,zero_splits,paired_t_pvalue,wilcoxon_pvalue,exact_sign_flip_pvalue,mean_gain_ci95_low,mean_gain_ci95_high,cohen_dz,exact_sign_flip_holm_pvalue
4,0.0003,0.4780173117752735,0.49639065817409767,10,0.018373346398824125,1.8373346398824126,0.008410248984756702,0.017801731177527397,0.0035930099624367218,0.03593009962436711,10,0,0,7.000847260638438e-05,0.001953125,0.001953125,0.012357016706496993,0.02438967609115126,2.1846376286986517,0.0234375
4,0.001,0.500048995590397,0.5162012085578964,10,0.016152212967499607,1.6152212967499606,0.005029371360076413,0.01420872121509062,0.010779029887310165,0.02449779519843215,10,0,0,3.1454616615182393e-06,0.001953125,0.001953125,0.012554417432288975,0.01975000850271024,3.2115769170909267,0.0234375
4,0.003,0.505177200718602,0.5196635636126082,10,0.014486362894006215,1.4486362894006215,0.007493322054143892,0.012330556916544166,0.005552833578311267,0.03135717785399322,10,0,0,0.000176349345389458,0.001953125,0.001953125,0.009125963213779648,0.019846762574232783,1.9332363922614393,0.0234375
4,0.005,0.4992650661440471,0.520921117099461,10,0.021656050955414025,2.1656050955414026,0.0052709175904476395,0.020414829332026763,0.014208721215090647,0.02988731014208723,10,0,0,3.9022443628973906e-07,0.001953125,0.001953125,0.017885463656191886,0.025426638254636164,4.108592210711239,0.0234375
4,0.01,0.4708149599869345,0.5172301159562307,10,0.046415155969296115,4.641515596929612,0.007701146632128804,0.04703576678098978,0.03364363873918019,0.05618161032173774,10,0,0,1.388165594624031e-08,0.001953125,0.001953125,0.04090608754197393,0.0519242243966183,6.027044826760521,0.0234375
4,0.03,0.4398334149926506,0.5031030540584681,10,0.06326963906581744,6.326963906581744,0.007339129094231442,0.06516413522782949,0.04654581087702109,0.07186019924873438,10,0,0,5.828081404732019e-10,0.001953125,0.001953125,0.05801954238431903,0.06851973574731585,8.620864717524508,0.0234375
8,0.0003,0.46578474603952313,0.48399477380369105,10,0.018210027764167896,1.8210027764167895,0.006204794743328747,0.01633186346562146,0.008492569002123196,0.029560672872774807,10,0,0,6.636305673362694e-06,0.001953125,0.001953125,0.013771384994287527,0.022648670534048267,2.9348316128824243,0.0234375
8,0.001,0.4766291033806958,0.5061897762534705,10,0.02956067287277478,2.956067287277478,0.006159131416508669,0.030213947411399655,0.016005226196309008,0.038543197778866556,10,0,0,1.018603240210611e-07,0.001953125,0.001953125,0.025154695679085556,0.033966650066464,4.799487277303685,0.0234375
8,0.003,0.4778376612771516,0.5103870651641352,10,0.03254940388698355,3.254940388698355,0.00945276506602193,0.031193859219336956,0.01812836844683985,0.04703576678098981,10,0,0,1.7537222202824647e-06,0.001953125,0.001953125,0.02578730311631943,0.03931150465764766,3.443373833967666,0.0234375
8,0.005,0.3679405520169852,0.5110893352931568,10,0.1431487832761718,14.314878327617182,0.005975096563751994,0.14412869508410908,0.13212477543687728,0.15155969296096683,10,0,0,6.153221042003922e-14,0.001953125,0.001953125,0.13887445668534462,0.147423109866999,23.957568174644386,0.0234375
8,0.01,0.3679405520169852,0.507937285644292,10,0.13999673362730686,13.999673362730686,0.0037997086431689245,0.1396374326310632,0.1334313245141271,0.14845663890249872,10,0,0,1.2834674300516236e-15,0.001953125,0.001953125,0.1372785858086724,0.14271488144594133,36.84407063130787,0.0234375
8,0.03,0.37515923566878984,0.45572431814470027,10,0.0805650824759105,8.05650824759105,0.020835351657488503,0.0852523272905438,0.022864608851869972,0.09652131308182271,10,0,0,6.559419199927486e-07,0.001953125,0.001953125,0.06566036977903049,0.09546979517279051,3.8667493498701924,0.0234375
