Modell,Tiefe,Validation (%),Test (%),Test-Std. (pp),Beste Epoche
GraphSAGE,L4,50.92601665850074,50.5177200718602,0.50893259188271,730.3
GraphSAGE + PairNorm,L4,52.89563939245468,51.96635636126082,0.5076294172438099,714.9
GraphSAGE,L8,48.22146006859382,47.78376612771516,0.74384421956503,742.1
GraphSAGE + PairNorm,L8,51.605422178670594,51.03870651641353,0.8567770913248699,719.0
