Modell,Tiefe,Lernrate,Validation (\%),Test (\%),Test-Std. (pp),Beste Epoche
GraphSAGE,L4,0.003,50.92601665850074,50.5177200718602,0.50893259188271,730.3
GraphSAGE + PairNorm,L4,0.003,52.89563939245468,51.96635636126082,0.5076294172438099,714.9
GraphSAGE,L8,0.003,48.22146006859382,47.78376612771516,0.74384421956503,742.1
GraphSAGE + PairNorm,L8,0.005,51.77037399967336,51.10893352931569,0.59864690031714,677.1
