Vergleich,Differenz (pp),95-%-KI unten (pp),95-%-KI oben (pp),Exaktes p (Holm),Cohen dz
GraphSAGE: L8 minus L4,-2.733953944145032,-3.3691351942107697,-2.09877269407928,0.005859375,-3.079046861656842
PairNorm: L8 minus L4,-0.9276498448472984,-1.33141925375826,-0.52388043593632,0.005859375,-1.6435141152480108
PairNorm-Tiefeninteraktion,1.806304099297733,1.24838337349647,2.36422482509899,0.005859375,2.3160138205870657
