dataset,h,n_cells,gs_L7_mean,gs_L8_mean,pn_L7_mean,pn_L8_mean,gs_depth_change_pp,pn_depth_change_pp,interaction_pp,interaction_crossed_ci_low_pp,interaction_crossed_ci_high_pp,positive_cells,positive_graph_means,positive_init_means,graph_mean_min_pp,graph_mean_max_pp,init_mean_min_pp,init_mean_max_pp,graph_signflip_p,init_signflip_p,pn_L8_effect_pp,var_graph,var_init,var_graph_init,variance_share_graph_pct,variance_share_init_pct,variance_share_graph_init_pct
PubMed,0.1,25,0.5019583284854889,0.399367481470108,0.8328539681434631,0.832791907787323,-10.259084701538088,-0.006206035614013672,10.252878665924074,-0.08284136652946462,25.252853780984886,18,5,3,0.5250918865203857,17.71943330764771,-0.0727987289428711,34.08198595046997,0.0625,0.25,43.342442631721504,0.0007529159304765235,0.01547729944903005,0.02075807737394289,2.0355519934244812,41.8437789280952,56.120669078480326
PubMed,0.5,25,0.576163238286972,0.399367481470108,0.7818008017539978,0.7806718564033508,-17.679575681686405,-0.11289453506469728,17.566681146621708,4.317911970615388,30.80470311641694,14,5,4,13.968614339828495,30.035204887390144,-0.30312061309814453,36.65135324001313,0.0625,0.125,38.13043749332429,0.0004911835292746962,0.0161496587572695,0.021985289810709498,1.2716352961202115,41.81018880328878,56.918175900590995
PubMed,0.9,25,0.8841100096702575,0.8259275376796722,0.8848260498046875,0.8841314959526062,-5.818247199058534,-0.06945538520812988,5.748791813850403,-0.5203170776367188,19.59615731239319,11,3,2,-0.723193883895874,19.350794553756717,-0.4880976676940918,19.97732639312744,0.375,0.5,5.820395827293397,0.003760085301465129,0.004312769481712544,0.019884180618293997,13.449513682223962,15.426419217130292,71.12406710064575
Roman-Empire,0.1,25,0.5324362754821778,0.5182308006286621,0.5679073858261109,0.5564782190322876,-1.4205474853515636,-1.1429166793823242,0.2776308059692394,-3.050615668296813,3.583669152855875,14,3,2,-2.177231311798095,3.2736361026763916,-1.4182615280151367,3.7045115232467687,0.75,0.875,3.8247418403625497,0.0,0.0,0.004650951720004241,0.0,0.0,100.0
Roman-Empire,0.5,25,0.7505019903182983,0.7355905032157898,0.7791994953155518,0.7856823873519897,-1.4911487102508545,0.6482892036437988,2.1394379138946533,-0.3712809085845947,4.712048661708832,17,5,5,0.7631218433380127,4.180034399032593,0.4132270812988281,5.340806245803833,0.0625,0.0625,5.009188413619995,0.0,0.0,0.0026055917008139494,0.0,0.0,100.0
Roman-Empire,0.9,25,0.9835996389389038,0.9838176703453064,0.9791122841835022,0.9821377730369568,0.02180314064025568,0.3025488853454559,0.2807457447052002,0.0058169364929230305,0.5670990943908714,17,5,4,0.04983663558959739,0.5596208572387606,-0.1360106468200728,0.6032323837280407,0.0625,0.125,-0.16798973083496316,6.831698024711517e-07,4.209674035209656e-06,1.4206545759378646e-05,3.5769195606980686,22.0408825832726,74.38219785602932
