dataset_name,h,graph_seed,init_seed,gs_L7,gs_L8,pn_L7,pn_L8,gs_depth_change,pn_depth_change,interaction,pn_L8_effect
,,,,,,,,,,,
PubMed,0.1,1,11,0.399367481470108,0.399367481470108,0.8277343511581421,0.8294647336006165,0.0,0.0017303824424743652,0.0017303824424743652,0.4300972521305085
PubMed,0.1,1,29,0.399367481470108,0.399367481470108,0.8198579549789429,0.8279730081558228,0.0,0.008115053176879883,0.008115053176879883,0.4286055266857148
PubMed,0.1,1,47,0.399367481470108,0.399367481470108,0.8268989324569702,0.8271973133087158,0.0,0.00029838085174560547,0.00029838085174560547,0.42782983183860784
PubMed,0.1,1,65,0.399367481470108,0.399367481470108,0.8212303519248962,0.8331642746925354,0.0,0.01193392276763916,0.01193392276763916,0.4337967932224274
PubMed,0.1,1,83,0.399367481470108,0.399367481470108,0.8249298930168152,0.8291067481040955,0.0,0.0041768550872802734,0.0041768550872802734,0.4297392666339875
PubMed,0.1,2,11,0.8324482440948486,0.399367481470108,0.8314934968948364,0.8361477255821228,-0.43308076262474066,0.004654228687286377,0.43773499131202703,0.4367802441120148
PubMed,0.1,2,29,0.399367481470108,0.399367481470108,0.836207389831543,0.8339399695396423,0.0,-0.0022674202919006348,-0.0022674202919006348,0.43457248806953436
PubMed,0.1,2,47,0.399367481470108,0.399367481470108,0.8334029316902161,0.839847207069397,0.0,0.006444275379180908,0.006444275379180908,0.440479725599289
PubMed,0.1,2,65,0.8446804285049438,0.399367481470108,0.8416969776153564,0.8412792682647705,-0.44531294703483587,-0.0004177093505859375,0.44489523768424993,0.44191178679466253
PubMed,0.1,2,83,0.399367481470108,0.399367481470108,0.8331642746925354,0.8323288559913635,0.0,-0.000835418701171875,-0.000835418701171875,0.43296137452125555
PubMed,0.1,3,11,0.399367481470108,0.399367481470108,0.8259442448616028,0.82683926820755,0.0,0.0008950233459472656,0.0008950233459472656,0.42747178673744207
PubMed,0.1,3,29,0.399367481470108,0.399367481470108,0.8298824429512024,0.8270779848098755,0.0,-0.0028044581413269043,-0.0028044581413269043,0.4277105033397675
PubMed,0.1,3,47,0.399367481470108,0.399367481470108,0.8347753286361694,0.8294050693511963,0.0,-0.0053702592849731445,-0.0053702592849731445,0.4300375878810883
PubMed,0.1,3,65,0.829285740852356,0.399367481470108,0.8308371305465698,0.829643726348877,-0.429918259382248,-0.001193404197692871,0.4287248551845551,0.430276244878769
PubMed,0.1,3,83,0.399367481470108,0.399367481470108,0.8359090685844421,0.8261829018592834,0.0,-0.009726166725158691,-0.009726166725158691,0.42681542038917547
PubMed,0.1,4,11,0.399367481470108,0.399367481470108,0.8329852223396301,0.8275552988052368,0.0,-0.0054299235343933105,-0.0054299235343933105,0.42818781733512884
PubMed,0.1,4,29,0.399367481470108,0.399367481470108,0.8375797867774963,0.8337012529373169,0.0,-0.0038785338401794434,-0.0038785338401794434,0.4343337714672089
PubMed,0.1,4,47,0.399367481470108,0.399367481470108,0.8314934968948364,0.8334029316902161,0.0,0.0019094347953796387,0.0019094347953796387,0.4340354502201081
PubMed,0.1,4,65,0.8315531611442566,0.399367481470108,0.8343576192855835,0.8263619542121887,-0.4321856796741486,-0.007995665073394775,0.42419001460075384,0.42699447274208074
PubMed,0.1,4,83,0.399367481470108,0.399367481470108,0.8342382907867432,0.8353123664855957,0.0,0.001074075698852539,0.001074075698852539,0.4359448850154877
PubMed,0.1,5,11,0.399367481470108,0.399367481470108,0.8335819244384766,0.8389521837234497,0.0,0.0053702592849731445,0.0053702592849731445,0.43958470225334173
PubMed,0.1,5,29,0.399367481470108,0.399367481470108,0.8422340154647827,0.842353343963623,0.0,0.00011932849884033203,0.00011932849884033203,0.44298586249351507
PubMed,0.1,5,47,0.8260635733604431,0.399367481470108,0.8409809470176697,0.834178626537323,-0.42669609189033514,-0.00680232048034668,0.41989377140998846,0.434811145067215
PubMed,0.1,5,65,0.7969449162483215,0.399367481470108,0.8396682143211365,0.8364460468292236,-0.39757743477821356,-0.003222167491912842,0.3943552672863007,0.43707856535911566
PubMed,0.1,5,83,0.399367481470108,0.399367481470108,0.8402649164199829,0.8419356346130371,0.0,0.0016707181930541992,0.0016707181930541992,0.44256815314292913
PubMed,0.5,1,11,0.7734948396682739,0.399367481470108,0.7721821069717407,0.7657974362373352,-0.37412735819816595,-0.006384670734405518,0.36774268746376043,0.36642995476722723
PubMed,0.5,1,29,0.399367481470108,0.399367481470108,0.7762396335601807,0.7720030546188354,0.0,-0.004236578941345215,-0.004236578941345215,0.3726355731487275
PubMed,0.5,1,47,0.7798794507980347,0.399367481470108,0.7739124894142151,0.7826839089393616,-0.3805119693279267,0.008771419525146484,0.3892833888530732,0.3833164274692536
PubMed,0.5,1,65,0.7749865651130676,0.399367481470108,0.7746285200119019,0.7754639387130737,-0.37561908364295965,0.000835418701171875,0.3764545023441315,0.37609645724296575
PubMed,0.5,1,83,0.7729578018188477,0.399367481470108,0.777612030506134,0.7765379548072815,-0.3735903203487397,-0.001074075698852539,0.37251624464988714,0.3771704733371735
