dataset,variant,graph_seed,n_init,test_acc,nde,effective_rank,effective_rank_ratio,pairwise
cSBM,baseline,1,5,0.5019999742507935,8.652473089318659e-07,2.397570824623108,0.018731022067368,5.7220458984375e-07
cSBM,baseline,2,5,0.5011764407157898,2.9065123133697696e-07,3.2657366037368774,0.0255135672166943,2.7418136596679685e-07
cSBM,baseline,3,5,0.5974117338657379,0.3058087414552618,1.654620313644409,0.0129267212003469,0.08000503778457642
cSBM,baseline,4,5,0.5010587930679321,5.814482329662363e-15,2.8812485694885255,0.02250975444912906,3.576278686523439e-08
cSBM,baseline,5,5,0.5983529150485992,0.2939863545044644,1.7445772886276245,0.01362951006740328,0.07601492404937744
cSBM,center,1,5,0.9996469974517822,3.6193446254820287,1.8206939697265625,0.01422417163848872,1.0002483129501343
cSBM,center,2,5,0.9977646470069885,3.6216085102637843,1.5917507886886597,0.01243555303663008,1.0002778768539429
cSBM,center,3,5,0.9985881805419922,3.6207136337574206,1.6020997047424317,0.0125164039433002,1.000239324569702
cSBM,center,4,5,0.9992940664291382,3.6348801522509375,1.6537822961807251,0.012920174188911882,1.0002854585647583
cSBM,center,5,5,0.9982352495193482,3.551487436785833,2.1331241846084597,0.01666503269225354,0.9986436605453491
cSBM,full,1,5,0.9992940545082092,3.6159888669484297,1.794558048248291,0.014019984751939718,1.0003460764884948
cSBM,full,2,5,0.9975293517112732,3.571607438884919,2.0873904705047606,0.0163077380508184,0.9992568492889404
cSBM,full,3,5,0.9974117159843445,3.5951155774657835,1.9435031175613404,0.015183618105947922,0.9996902346611023
cSBM,full,4,5,0.9997646450996399,3.610695889984066,1.906013298034668,0.014890728890895799,1.0000387907028199
cSBM,full,5,5,0.9996469974517822,3.6041055463432343,1.8201722621917724,0.014220095798373161,1.0003188610076905
cSBM,scale,1,5,0.9958823204040528,2.596725774698972,1.2656553506851196,0.00988793242722746,0.7388429522514344
cSBM,scale,2,5,0.9985881805419922,2.528910981568761,1.3041928291320801,0.01018900647759432,0.6919169783592224
cSBM,scale,3,5,0.9969411373138428,2.5435053894812167,1.2781072854995728,0.00998521316796536,0.692194664478302
cSBM,scale,4,5,0.9939999580383301,2.3464203149499308,1.3016030311584472,0.010168773680925319,0.6308932423591613
cSBM,scale,5,5,0.9984705328941346,2.696450241399035,1.353013849258423,0.01057042069733138,0.7449132204055786
