dataset,variant,graph_seed,n_init,test_acc,nde,effective_rank,effective_rank_ratio,pairwise
PubMed,baseline,1,5,0.399367481470108,2.612264788775934e-15,1.1393265008926392,0.00890098828822372,0.0
PubMed,baseline,2,5,0.399367481470108,3.6183229202453725e-17,1.0415213346481322,0.00813688542693852,7.152557373046875e-08
PubMed,baseline,3,5,0.399367481470108,9.109803718466111e-26,1.0000171422958375,0.007812633924186201,2.384185791015625e-08
PubMed,baseline,4,5,0.399367481470108,1.9269756191487898e-17,1.0353476524353025,0.00808865353465076,0.0
PubMed,baseline,5,5,0.399367481470108,4.4107505650386704e-24,1.0000488042831421,0.007812881283462001,0.0
PubMed,center,1,5,0.399367481470108,2.8875156271256614e-30,0.0,0.0,4.76837158203125e-08
PubMed,center,2,5,0.399367481470108,4.344025256764801e-32,0.0,0.0,-2.384185791015625e-08
PubMed,center,3,5,0.399367481470108,6.38992102285403e-32,0.0,0.0,2.384185791015625e-08
PubMed,center,4,5,0.399367481470108,6.081635359470721e-32,0.0,0.0,9.5367431640625e-08
PubMed,center,5,5,0.399367481470108,3.054830664434602e-32,0.0,0.0,2.384185791015625e-08
PubMed,full,1,5,0.8293812155723572,2.765637156053751,4.4673645973205565,0.0349012859165668,0.9977568626403809
PubMed,full,2,5,0.8367086052894592,2.627020876558718,4.717299938201904,0.03685390576720232,0.9963603377342224
PubMed,full,3,5,0.8278297901153564,2.574015202321645,4.47337236404419,0.03494822159409518,0.9947037816047668
PubMed,full,4,5,0.8312667608261108,2.636139401927278,4.675308609008789,0.03652584850788114,0.9964488744735718
PubMed,full,5,5,0.8387731671333313,2.8412553040303328,4.360838413238525,0.034069050103425924,0.9975978612899781
PubMed,scale,1,5,0.7976609349250794,1.9890206440307963,3.774192380905151,0.029485877975821438,0.8023233652114868
PubMed,scale,2,5,0.8153589010238648,2.0235356262034996,3.7625853061676025,0.029395197704434363,0.7993735790252685
PubMed,scale,3,5,0.8026254296302795,1.842301116117199,3.6315501213073724,0.028371485322713802,0.7313870310783386
PubMed,scale,4,5,0.8119457960128784,2.0303854867596756,3.62465295791626,0.028317601233720742,0.7890370726585388
PubMed,scale,5,5,0.8134733319282532,1.9506120616240494,3.8024276256561285,0.029706465825438462,0.7735047578811646
Roman-Empire,baseline,1,5,0.9846752762794495,0.09605579681888794,10.297765731811523,0.0804512947797775,0.8730363845825195
Roman-Empire,baseline,2,5,0.9858692765235901,0.05549931449453244,9.530146598815918,0.07445427030324933,0.8820324063301086
Roman-Empire,baseline,3,5,0.98214191198349,0.07845467200586954,10.064912033081054,0.07863212525844568,0.8800503969192505
Roman-Empire,baseline,4,5,0.9834293603897095,0.05056268752507004,9.454508209228516,0.07386334538459774,0.8953943967819213
Roman-Empire,baseline,5,5,0.982972526550293,0.0831714964141417,10.129848670959472,0.07913944274187086,0.8620945572853088
Roman-Empire,center,1,5,0.9839381217956543,0.04065170775482192,2.766832113265991,0.0216158758848905,0.3836320161819458
Roman-Empire,center,2,5,0.9854435920715332,0.09387454075219726,1.2321059226989746,0.00962582752108568,0.22944902181625362
Roman-Empire,center,3,5,0.9795981884002686,0.08104334674655238,1.589533519744873,0.01241823062300676,0.35224123001098634
Roman-Empire,center,4,5,0.9825364708900451,0.03948580157574484,1.9316370725631713,0.015090914629399741,0.3981258749961853
Roman-Empire,center,5,5,0.9798681259155273,0.048721574765194696,1.9512173414230347,0.015243885479867419,0.3638084530830383
Roman-Empire,full,1,5,0.982796025276184,0.17646164420120392,15.90407943725586,0.12425062060356136,0.9961994051933288
Roman-Empire,full,2,5,0.982048487663269,0.17515768586049826,16.285313034057616,0.1272290080785751,0.9971866846084595
Roman-Empire,full,3,5,0.9820796251296997,0.17936354693247805,16.66787395477295,0.13021776527166365,0.9976208686828614
Roman-Empire,full,4,5,0.9840315580368042,0.1711075334190705,17.035495376586915,0.13308980762958522,0.9970498919487
Roman-Empire,full,5,5,0.9797331690788269,0.16398232573329577,16.172362327575684,0.126346580684185,0.9970271706581115
Roman-Empire,scale,1,5,0.9804703116416931,0.1316043813044714,15.637863922119141,0.12217081189155574,0.8652146339416504
Roman-Empire,scale,2,5,0.9767845034599304,0.09458712028937744,10.627271461486817,0.08302555829286572,0.7782016873359681
Roman-Empire,scale,3,5,0.9803561210632324,0.13572214098256694,16.353200912475586,0.12775938212871546,0.8991135358810425
Roman-Empire,scale,4,5,0.9806156992912293,0.15458314971955275,16.76441650390625,0.13097200393676753,0.8855662703514099
Roman-Empire,scale,5,5,0.9746353030204773,0.12538940717661876,14.597493934631348,0.11404292136430738,0.8575210094451904
