epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,best_test_accuracy_at_best_val
1,0.6646337807178497,0.6266276041666666,0.6220599412918091,0.6790364583333334,0.6790364583333334,0.6888020833333334
2,0.5931116243203481,0.6956380208333334,0.5844502449035645,0.681640625,0.681640625,0.6868489583333334
3,0.5663798054059347,0.6959635416666666,0.5759326020876566,0.68359375,0.68359375,0.6940104166666666
4,0.5555739303429922,0.7041015625,0.5700317621231079,0.6920572916666666,0.6920572916666666,0.70703125
5,0.5434999068578085,0.7255859375,0.5533151229222616,0.7122395833333334,0.7122395833333334,0.7347005208333334
6,0.5174586772918701,0.7565104166666666,0.5155138174692789,0.75,0.75,0.7672526041666666
7,0.4863964915275574,0.7822265625,0.48379071553548175,0.7819010416666666,0.7819010416666666,0.7854817708333334
8,0.46144003172715503,0.7978515625,0.4626782536506653,0.7903645833333334,0.7903645833333334,0.7998046875
9,0.4402780930201213,0.8015950520833334,0.44260692596435547,0.791015625,0.791015625,0.8001302083333334
10,0.42304915686448413,0.802734375,0.4280530313650767,0.7916666666666666,0.7916666666666666,0.8043619791666666
11,0.4085594415664673,0.8126627604166666,0.41746944189071655,0.794921875,0.794921875,0.8079427083333334
12,0.39506495495637256,0.8147786458333334,0.4056089123090108,0.80078125,0.80078125,0.8089192708333334
13,0.3826894462108612,0.82421875,0.39467432101567584,0.796875,0.80078125,0.8089192708333334
14,0.36932607491811115,0.8279622395833334,0.3830844660600026,0.8059895833333334,0.8059895833333334,0.818359375
15,0.35584260523319244,0.8323567708333334,0.3719865679740906,0.8111979166666666,0.8111979166666666,0.82421875
16,0.34294075270493823,0.837890625,0.3579072952270508,0.8235677083333334,0.8235677083333334,0.828125
17,0.3298223565022151,0.8494466145833334,0.347145140171051,0.8333333333333334,0.8333333333333334,0.8365885416666666
18,0.3162278135617574,0.8614908854166666,0.3309500018755595,0.8541666666666666,0.8541666666666666,0.8616536458333334
19,0.30032364030679065,0.8728841145833334,0.3172774116198222,0.8671875,0.8671875,0.8662109375
20,0.28163186212380725,0.8870442708333334,0.3067706028620402,0.8528645833333334,0.8671875,0.8662109375
21,0.2720998500784238,0.8888346354166666,0.2884486714998881,0.8880208333333334,0.8880208333333334,0.890625
22,0.2533646325270335,0.9026692708333334,0.28779955705006915,0.8665364583333334,0.8880208333333334,0.890625
23,0.23723707596460977,0.9111328125,0.2701008915901184,0.890625,0.890625,0.896484375
24,0.2175388385852178,0.9305013020833334,0.24230741957823435,0.9108072916666666,0.9108072916666666,0.9235026041666666
25,0.19640742242336273,0.9436848958333334,0.23368012408415476,0.912109375,0.912109375,0.9274088541666666
26,0.18598751972119013,0.9456380208333334,0.22077233592669168,0.9303385416666666,0.9303385416666666,0.9420572916666666
27,0.17397649337848028,0.9571940104166666,0.19411689043045044,0.94140625,0.94140625,0.9583333333333334
28,0.15252088010311127,0.9664713541666666,0.1888632227977117,0.9375,0.94140625,0.9583333333333334
29,0.1345430165529251,0.9765625,0.17964141567548117,0.9401041666666666,0.94140625,0.9583333333333334
30,0.12408983210722606,0.9796549479166666,0.14743760228157043,0.96484375,0.96484375,0.9752604166666666
31,0.10925576463341713,0.9856770833333334,0.15248967707157135,0.9524739583333334,0.96484375,0.9752604166666666
32,0.10386915008227031,0.9847005208333334,0.12063220143318176,0.9752604166666666,0.9752604166666666,0.9807942708333334
33,0.09211648876468341,0.9905598958333334,0.12637527287006378,0.96875,0.9752604166666666,0.9807942708333334
34,0.08152569830417633,0.994140625,0.1122128963470459,0.9765625,0.9765625,0.9837239583333334
35,0.07302328820029895,0.9944661458333334,0.10213030874729156,0.98046875,0.98046875,0.9856770833333334
36,0.06533568724989891,0.9952799479166666,0.09764330834150314,0.9830729166666666,0.9830729166666666,0.9866536458333334
37,0.058571756506959595,0.9983723958333334,0.08206259707609813,0.9876302083333334,0.9876302083333334,0.9876302083333334
38,0.05274614505469799,0.9990234375,0.07811866203943889,0.9889322916666666,0.9889322916666666,0.9905598958333334
39,0.04765454058845838,0.9993489583333334,0.07995002468427022,0.9830729166666666,0.9889322916666666,0.9905598958333334
40,0.04498446856935819,0.99853515625,0.07286844650904338,0.9850260416666666,0.9889322916666666,0.9905598958333334
