run,dataset,model,depth,seed,best_epoch_1800,best_epoch_2000,best_epoch_2200,best_epoch_2400,best_val_1800,best_val_2000,best_val_2200,best_val_2400,gain_val_1800_2000,gain_val_2000_2200,gain_val_2200_2400,gain_val_2000_2400,test_best_2000,test_best_2400,gain_test_2000_2400,last100_val_slope
RW-PubMed-H0.1-LOW_GraphSAGE_L5_H128_seed1_split0,RW-PubMed-H0.1-LOW,GraphSAGE,5,1,1193,1193,1193,1193,0.8615618348121643,0.8615618348121643,0.8615618348121643,0.8615618348121643,0.0,0.0,0.0,0.0,0.8570320010185242,0.8570320010185242,0.0,6.899168067174198e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L5_H128_seed2_split0,RW-PubMed-H0.1-LOW,GraphSAGE,5,2,1461,1461,1461,1461,0.866125762462616,0.866125762462616,0.866125762462616,0.866125762462616,0.0,0.0,0.0,0.0,0.8507070541381836,0.8507070541381836,0.0,-3.097063816241136e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L5_H128_seed3_split0,RW-PubMed-H0.1-LOW,GraphSAGE,5,3,1322,1322,1322,1322,0.8590263724327087,0.8590263724327087,0.8590263724327087,0.8590263724327087,0.0,0.0,0.0,0.0,0.8488572835922241,0.8488572835922241,0.0,-5.5137848017145696e-06
RW-PubMed-H0.1-LOW_GraphSAGE_L5_H128_seed4_split0,RW-PubMed-H0.1-LOW,GraphSAGE,5,4,485,485,485,485,0.8620689511299133,0.8620689511299133,0.8620689511299133,0.8620689511299133,0.0,0.0,0.0,0.0,0.8551822900772095,0.8551822900772095,0.0,-3.890650643624291e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L5_H128_seed5_split0,RW-PubMed-H0.1-LOW,GraphSAGE,5,5,886,886,886,886,0.8691683411598206,0.8691683411598206,0.8691683411598206,0.8691683411598206,0.0,0.0,0.0,0.0,0.8532728552818298,0.8532728552818298,0.0,-1.0221179383603694e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L6_H128_seed1_split0,RW-PubMed-H0.1-LOW,GraphSAGE,6,1,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L6_H128_seed2_split0,RW-PubMed-H0.1-LOW,GraphSAGE,6,2,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,1.674203589411021e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L6_H128_seed3_split0,RW-PubMed-H0.1-LOW,GraphSAGE,6,3,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L6_H128_seed4_split0,RW-PubMed-H0.1-LOW,GraphSAGE,6,4,504,504,504,504,0.8569979667663574,0.8569979667663574,0.8569979667663574,0.8569979667663574,0.0,0.0,0.0,0.0,0.8425920009613037,0.8425920009613037,0.0,-6.668215179958485e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L6_H128_seed5_split0,RW-PubMed-H0.1-LOW,GraphSAGE,6,5,991,991,991,991,0.8580121397972107,0.8580121397972107,0.8580121397972107,0.8580121397972107,0.0,0.0,0.0,0.0,0.8436660766601562,0.8436660766601562,0.0,9.574483651997494e-05
RW-PubMed-H0.1-LOW_GraphSAGE_L7_H128_seed1_split0,RW-PubMed-H0.1-LOW,GraphSAGE,7,1,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L7_H128_seed2_split0,RW-PubMed-H0.1-LOW,GraphSAGE,7,2,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L7_H128_seed3_split0,RW-PubMed-H0.1-LOW,GraphSAGE,7,3,2,2,2,2,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-6.905185922255849e-19
RW-PubMed-H0.1-LOW_GraphSAGE_L7_H128_seed4_split0,RW-PubMed-H0.1-LOW,GraphSAGE,7,4,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,-5.239873829454834e-06
RW-PubMed-H0.1-LOW_GraphSAGE_L7_H128_seed5_split0,RW-PubMed-H0.1-LOW,GraphSAGE,7,5,1,1,1,1,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.3995943069458008,0.0,0.0,0.0,0.0,0.399367481470108,0.399367481470108,0.0,6.475291236398782e-06
