epoch,loss,train_acc,val_acc,test_acc,gradient_norm
1,1.1074796915054321,0.4979715943336487,0.4984786808490753,0.4873202443122864,0.20598703190091178
2,1.0893958806991577,0.5020284056663513,0.4964503049850464,0.48720088601112366,0.17490622066470357
3,1.0483366250991821,0.517241358757019,0.49746447801589966,0.48887163400650024,0.13370872470984374
4,1.0216665267944336,0.5669370889663696,0.5385395288467407,0.5313562750816345,0.1091944222187048
5,0.9824517369270325,0.6064908504486084,0.5760648846626282,0.5648905038833618,0.10933823505115059
6,0.9430971145629883,0.6277890205383301,0.5745435953140259,0.5738409161567688,0.12691020262908131
7,0.8977693319320679,0.6511155962944031,0.6009127497673035,0.59263676404953,0.09750828978255113
8,0.8681151866912842,0.6683569550514221,0.6014198660850525,0.5957396030426025,0.09301258528070343
9,0.8488467335700989,0.68052738904953,0.6019269824028015,0.593412458896637,0.10705119654342166
10,0.8107743263244629,0.6906693577766418,0.6044624447822571,0.5879228711128235,0.10802528162366702
11,0.783234179019928,0.6967545747756958,0.6039553880691528,0.5841637253761292,0.11372205698952205
12,0.7642686367034912,0.7079107165336609,0.6024340391159058,0.5950832366943359,0.11137111824712018
13,0.7453361749649048,0.7099391222000122,0.6009127497673035,0.5818365812301636,0.15439407314185813
14,0.732011079788208,0.7221094965934753,0.6009127497673035,0.5951429009437561,0.1900652780536585
15,0.7031193375587463,0.7363082766532898,0.6009127497673035,0.5967539548873901,0.14505270529244246
16,0.6774954199790955,0.749492883682251,0.6009127497673035,0.5909063816070557,0.14773653558453154
17,0.651466965675354,0.7636916637420654,0.6054766774177551,0.5978876948356628,0.1848894766808194
18,0.6276118755340576,0.7738336324691772,0.6014198660850525,0.5919803977012634,0.13727247978234075
19,0.6024999022483826,0.7920892238616943,0.5938133597373962,0.5766453742980957,0.1469085413313702
20,0.5860444903373718,0.8062880039215088,0.5938133597373962,0.5813592672348022,0.1833124427866623
21,0.5629343390464783,0.8123732209205627,0.5943204760551453,0.5832687020301819,0.1500156413991165
22,0.5430393218994141,0.8255577683448792,0.5912778973579407,0.5783160924911499,0.16027595467618486
23,0.5309062600135803,0.8296145796775818,0.5963488817214966,0.5812399387359619,0.268614959157796
24,0.5001415014266968,0.8316429853439331,0.5973630547523499,0.5881615877151489,0.15336124275693788
25,0.49356260895729065,0.8519269824028015,0.5948275923728943,0.5831493139266968,0.1490523826182638
26,0.4815845787525177,0.8569979667663574,0.5948275923728943,0.5879228711128235,0.22061449454769055
27,0.45949456095695496,0.8671399354934692,0.5917849540710449,0.5788531303405762,0.17524868582966416
28,0.44639262557029724,0.8762677311897278,0.5715010166168213,0.5657258629798889,0.19307266695622885
29,0.4194198250770569,0.8904665112495422,0.5770791172981262,0.5750343203544617,0.24172012318179484
30,0.40998420119285583,0.8975659012794495,0.5664300322532654,0.5703204274177551,0.2066320231271332
31,0.4051617383956909,0.906693696975708,0.5720080733299255,0.5677546262741089,0.24393926619724246
32,0.3837924003601074,0.9117646813392639,0.5720080733299255,0.5668596029281616,0.16583618953098117
33,0.3659703731536865,0.9137930870056152,0.563387393951416,0.5602959394454956,0.1908171756136053
34,0.35409560799598694,0.9249492883682251,0.5684583783149719,0.5627424120903015,0.24372813494553536
35,0.3381809592247009,0.9259634613990784,0.5704867839813232,0.5693656802177429,0.3035108913503811
36,0.320855975151062,0.923935055732727,0.568965494632721,0.569485068321228,0.1718498057932056
37,0.3238970935344696,0.923935055732727,0.5912778973579407,0.5773614048957825,0.24864176773298166
38,0.3190373480319977,0.9361054301261902,0.586713969707489,0.577182412147522,0.325523296289811
39,0.2928704023361206,0.923935055732727,0.5583164095878601,0.550331175327301,0.174027977298069
40,0.32739725708961487,0.9371196627616882,0.5679513216018677,0.5491974353790283,0.43151567274699404
41,0.2940119802951813,0.9361054301261902,0.5730223059654236,0.5533146262168884,0.24450532602792588
42,0.2826453447341919,0.9381338357925415,0.5740364789962769,0.5645921230316162,0.20976457888323258
43,0.2663145363330841,0.9472616314888,0.5709939002990723,0.5646517872810364,0.1855027925207957
44,0.28091001510620117,0.9503042101860046,0.5786004066467285,0.5689480304718018,0.28915715772032424
45,0.26456159353256226,0.9492900371551514,0.5750507116317749,0.5701413750648499,0.1833565633036017
46,0.26390814781188965,0.9482758641242981,0.5831642746925354,0.5688287019729614,0.2795238415417635
47,0.24557262659072876,0.9584178328514099,0.5740364789962769,0.5644727945327759,0.21786034070527868
48,0.23515543341636658,0.9574036002159119,0.5760648846626282,0.568589985370636,0.22087962185526142
49,0.23840808868408203,0.9553752541542053,0.5730223059654236,0.5709767937660217,0.21974175910591165
50,0.23265759646892548,0.9645029902458191,0.5760648846626282,0.5675756335258484,0.2715882259055771
51,0.22396425902843475,0.9655172228813171,0.5806288123130798,0.5689480304718018,0.2549956286597679
