data_path,dataset,model,num_layers,hidden_channels,seed,split_idx,lr,weight_decay,dropout
realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h01_seed1.pt,RW-PubMed-H0.1-LOW,GraphSAGEPairNorm,10,128,1,0,0.01,0.0005,0.5
realworld_data/homophily_controlled/pubmed/lowlabel/pubmed_h09_seed1.pt,RW-PubMed-H0.9-LOW,GCN,8,128,1,0,0.01,0.0005,0.5
realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h01_seed1.pt,RW-Roman-empire-H0.1-LOW,GraphSAGE,10,128,1,0,0.01,0.0005,0.5
realworld_data/homophily_controlled/roman_empire/lowlabel/roman_empire_h09_seed1.pt,RW-Roman-empire-H0.9-LOW,GCNPairNorm,8,128,1,0,0.01,0.0005,0.5
