target_homophily,realized_homophily,feature_signal,graph_seed,seed,split_idx,num_layers,hidden_channels,baseline_best_epoch,baseline_best_train_acc,baseline_best_val_acc,baseline_best_test_acc,baseline_best_pairwise_distance,baseline_best_edge_distance,baseline_best_rank_ratio,baseline_best_normalized_dirichlet,baseline_final_pairwise_distance,baseline_final_edge_distance,baseline_final_rank_ratio,baseline_final_normalized_dirichlet,pairnorm_best_epoch,pairnorm_best_train_acc,pairnorm_best_val_acc,pairnorm_best_test_acc,pairnorm_best_pairwise_distance,pairnorm_best_edge_distance,pairnorm_best_rank_ratio,pairnorm_best_normalized_dirichlet,pairnorm_final_pairwise_distance,pairnorm_final_edge_distance,pairnorm_final_rank_ratio,pairnorm_final_normalized_dirichlet,delta_best_epoch,delta_best_train_acc,delta_best_val_acc,delta_best_test_acc,delta_best_pairwise_distance,delta_best_edge_distance,delta_best_rank_ratio,delta_best_normalized_dirichlet,delta_final_pairwise_distance,delta_final_edge_distance,delta_final_rank_ratio,delta_final_normalized_dirichlet,accuracy_delta_pp
0.1,0.09996520727872849,0.25,1,1,0,2,128,8,1.0,0.6399999856948853,0.6076470613479614,0.986380398273468,0.993353009223938,0.6316892504692078,1.981486716805364,0.987464427947998,0.9897549152374268,0.419659286737442,1.981224544707727,117,1.0,0.6949999928474426,0.6682352423667908,1.0006568431854248,1.024730920791626,0.4687875807285309,2.036161470148107,1.000624179840088,1.0182558298110962,0.4268381893634796,2.025078320577927,109,0.0,0.05500000715255737,0.060588181018829346,0.014276444911956787,0.03137791156768799,-0.16290166974067688,0.054674753342742966,0.013159751892089844,0.028500914573669434,0.007178902626037598,0.04385377587020001,6.058818101882935
0.1,0.10044276714324951,0.25,2,2,0,2,128,18,1.0,0.6699999570846558,0.6358823180198669,0.9891090393066406,0.9997419118881226,0.6065355539321899,1.9967591335416237,0.992230236530304,0.9964104890823364,0.4381558895111084,1.9910912083007288,102,1.0,0.7699999809265137,0.7617647051811218,1.000403881072998,1.0438092947006226,0.486476719379425,2.092070267326118,1.0001860857009888,1.0297735929489136,0.4526103734970093,2.0547456365013668,84,0.0,0.10000002384185791,0.12588238716125488,0.011294841766357422,0.0440673828125,-0.12005883455276495,0.09531113378449407,0.007955849170684814,0.03336310386657715,0.014454483985900879,0.06365442820063794,12.588238716125488
0.1,0.10047942399978638,0.25,3,3,0,2,128,23,1.0,0.6499999761581421,0.6094117164611816,0.989444375038147,1.0003812313079834,0.6030886769294739,1.9970332204753127,0.98440819978714,0.9924301505088806,0.4255861639976501,1.9862376432009985,108,1.0,0.7450000047683716,0.7082352638244629,1.0000629425048828,1.0389057397842407,0.4532416462898254,2.081959260278942,1.0005719661712646,1.034677505493164,0.4307339489459991,2.070720190372773,85,0.0,0.09500002861022949,0.09882354736328125,0.01061856746673584,0.038524508476257324,-0.1498470306396485,0.08492603980362912,0.016163766384124645,0.04224735498428345,0.005147784948348999,0.08448254717177472,9.882354736328125
0.1,0.09760119765996933,0.25,4,4,0,2,128,100,1.0,0.6349999904632568,0.5699999928474426,0.9860659837722778,1.000252604484558,0.4668880403041839,2.0169610946520717,0.9762107133865356,0.9926156401634216,0.4098691046237945,2.0098629257441223,116,1.0,0.7199999690055847,0.6823529005050659,1.000478982925415,1.056970715522766,0.430908590555191,2.155843059736001,1.0004574060440063,1.0538465976715088,0.4291117787361145,2.134815028508963,16,0.0,0.08499997854232788,0.11235290765762329,0.014412999153137207,0.056718111038207786,-0.03597944974899292,0.13888196508392925,0.024246692657470703,0.06123095750808716,0.019242674112320002,0.12495210276484059,11.235290765762329
0.1,0.10260676592588425,0.25,5,5,0,2,128,3,0.9799999594688416,0.5949999690055847,0.5499999523162842,0.9855400919914246,0.9866979122161864,0.6528344750404358,1.9668466208956237,0.9890676736831664,0.9886137247085572,0.4263641238212585,1.9719764857628788,116,1.0,0.699999988079071,0.6970587968826294,1.0006229877471924,1.0275802612304688,0.4516229927539825,2.040901004172808,1.0004278421401978,1.0264906883239746,0.4333823621273041,2.0414619890639663,113,0.020000040531158447,0.10500001907348633,0.14705884456634521,0.015082895755767822,0.04088234901428234,-0.2012114822864533,0.0740543832771845,0.011360168457031361,0.03787696361541737,0.007018238306045588,0.06948550330108749,14.705884456634521
0.1,0.09996520727872849,0.25,1,1,0,7,128,12,1.0,1.0,0.99647057056427,0.0002338290214538,0.0003682980022858,0.0882396325469017,0.0007447689927011,0.6583758592605591,1.189517617225647,0.0116918366402387,2.4032477452765115,5,1.0,1.0,0.9988234639167786,0.9981592297554016,1.5040955543518066,0.5178243517875671,3.026639200987887,0.9971018433570862,1.7324883937835691,0.0247831735759973,3.474181856979835,-7,0.0,0.0,0.002352893352508545,0.9979254007339479,1.5037272563495208,0.42958471924066544,3.025894431995186,0.3387259840965271,0.5429707765579221,0.013091336935758601,1.0709341117033233,0.2352893352508545
0.1,0.10044276714324951,0.25,2,2,0,7,128,1,0.5,0.5,0.4999999701976776,0.0001457929611206,0.0001454313023714,0.4011944532394409,0.0003590227787243,0.0,5.390838442309587e-09,0.0157822035253047,8.626742623862017e-11,5,1.0,1.0,0.9999999403953552,0.9995265603065492,1.4722967147827148,0.5657594799995422,2.9872802433083527,0.9890601634979248,1.646876573562622,0.0244921576231718,3.417696549230539,4,0.5,0.5,0.4999999701976776,0.9993807673454286,1.4721512834803434,0.16456502676010132,2.9869212205296285,0.9890601634979248,1.6468765681717836,0.008709954097867099,3.4176965491442717,49.99999701976776
0.1,0.10047942399978638,0.25,3,3,0,7,128,31,1.0,1.0,0.9905881881713867,0.4446168541908264,0.7795792818069458,0.0173295326530933,1.7158066363063096,0.6549673080444336,1.1840466260910034,0.0127237169072031,2.422330594504775,5,1.0,1.0,0.9994117021560669,0.9983975291252136,1.44809889793396,0.5782885551452637,2.9155256145504227,0.9884762763977052,1.5530327558517456,0.0215463936328887,3.2942423877374303,-26,0.0,0.0,0.008823513984680176,0.5537806749343872,0.6685196161270142,0.5609590224921703,1.199718978244113,0.3335089683532716,0.3689861297607422,0.0088226767256856,0.8719117932326554,0.8823513984680176
0.1,0.09760119765996933,0.25,4,4,0,7,128,16,0.6699999570846558,0.574999988079071,0.563529372215271,5.960464477539062e-07,5.637360231958155e-07,0.052582886070013,1.2550909759866856e-06,0.0,2.484271677261063e-09,0.0147555628791451,2.324806646113281e-16,5,1.0,1.0,0.9982352256774902,0.9963291883468628,1.3815888166427612,0.5728918313980103,2.795611478698164,0.9659026861190796,1.4594424962997437,0.0246445443481206,3.1740430611671093,-11,0.33000004291534424,0.42500001192092896,0.43470585346221924,0.996328592300415,1.381588252906738,0.5203089453279972,2.795610223607188,0.9659026861190796,1.459442493815472,0.009888981468975499,3.174043061167109,43.470585346221924
0.1,0.10260676592588425,0.25,5,5,0,7,128,90,1.0,0.9950000047683716,0.9970588088035583,0.5860904455184937,1.057699203491211,0.0160611532628536,2.183051058276511,0.6216050386428833,1.1199381351470947,0.0146125135943293,2.314836706578413,5,1.0,1.0,0.9988234639167786,0.9966971278190612,1.3734030723571775,0.5733394622802734,2.798739059067594,0.9964419007301332,1.716439723968506,0.0228261239826679,3.4554794255179013,-85,0.0,0.004999995231628418,0.0017646551132202148,0.4106066823005675,0.3157038688659666,0.5572783090174198,0.6156880007910828,0.37483686208724987,0.5965015888214114,0.008213610388338599,1.1406427189394885,0.17646551132202148
