dataset,model,seed,split_idx,num_layers,hidden_channels,epoch,layer_index,layer_name,num_nodes_used,mean_pairwise_cosine_distance,mean_edge_cosine_distance,dirichlet_energy,normalized_dirichlet_energy,embedding_dim,effective_rank,effective_rank_ratio,mean_embedding_norm,mean_feature_variance,gradient_norm
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,1,1,convs.0,1024,0.9889850616455078,0.9883288741111755,88.84819030761719,1.9717235563154274,128,82.98918151855469,0.6483529806137085,6.6769585609436035,0.34791335463523865,0.08377101885991058
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,1,2,pns.0,1024,1.0005227327346802,1.0003106594085693,1.9951125383377075,1.9951128950916936,128,83.11067962646484,0.6493021845817566,0.9945375323295593,0.007812498137354851,0.08377101885991058
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,1,3,convs.1,1024,0.47465598583221436,0.4745734632015228,0.004594184923917055,1.0108806121471412,2,1.9761244058609009,0.9880622029304504,0.0615415945649147,0.0011494504287838936,0.08377101885991058
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,2,1,convs.0,1024,0.9907476902008057,0.9910880327224731,88.0947036743164,1.9771666279826272,128,82.59951782226562,0.6453087329864502,6.638698101043701,0.3449048101902008,0.08375419316678949
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,2,2,pns.0,1024,1.0004546642303467,1.0004581212997437,1.9954477548599243,1.9954485874259538,128,82.25579833984375,0.6426234245300293,0.9944522976875305,0.007812495809048414,0.08375419316678949
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,2,3,convs.1,1024,0.5431301593780518,0.5395969748497009,0.006798274349421263,1.1856804826476914,2,1.914149284362793,0.9570746421813965,0.06890314072370529,0.0016841776669025421,0.08375419316678949
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,4,1,convs.0,1024,0.9949520230293274,0.9952329993247986,87.64508056640625,1.985074036256866,128,80.79833221435547,0.6312369704246521,6.6059041023254395,0.3430651128292084,0.1133050126880403
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,4,2,pns.0,1024,1.000515341758728,1.0008119344711304,1.9959099292755127,1.9959102861720834,128,80.85147857666016,0.6316521763801575,0.9940894246101379,0.007812498137354851,0.1133050126880403
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,4,3,convs.1,1024,0.6947798728942871,0.7145907282829285,0.01955999620258808,1.6652400880510634,2,1.704480767250061,0.8522403836250305,0.09556394070386887,0.004753555171191692,0.1133050126880403
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,8,1,convs.0,1024,0.9984786510467529,1.0003836154937744,89.1203842163086,1.9946397795600592,128,77.39013671875,0.6046104431152344,6.627573490142822,0.3483692407608032,0.1471040095817072
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,8,2,pns.0,1024,1.0003913640975952,1.0024524927139282,1.998605728149414,1.9986062046542656,128,77.64181518554688,0.606576681137085,0.9914868474006653,0.0078124976716935635,0.1471040095817072
CSBM-H0.5-FS0.50-TR0.05,GraphSAGEPairNorm,2,0,2,128,8,3,convs.1,1024,0.8749191761016846,0.905594527721405,0.11947385966777802,2.0068075354446506,2,1.3910541534423828,0.6955270767211914,0.20154376327991486,0.028668895363807678,0.1471040095817072
