target_homophily,feature_signal,model,num_layers,n,accuracy_mean_pct,accuracy_std_pct,accuracy_ci95_pct,final_pairwise_mean,final_pairwise_ci95,ceiling_runs_ge_95pct,chance_runs_le_52pct
0.1,0.25,GraphSAGE,2,5,59.458820819854736,3.423509327247419,4.250848279157917,0.9858762502670289,0.00756952857926679,0,0
0.1,0.25,GraphSAGE,7,5,80.95293819904327,25.456877596048543,31.608888417693517,0.3869896411895752,0.43900718521034765,3,1
0.1,0.25,GraphSAGE,8,5,50.129408836364746,0.2893736190025937,0.3593048047454539,8.344650268554687e-08,1.2384064599079724e-07,0,5
0.1,0.25,GraphSAGEPairNorm,2,5,70.35293817520142,3.587996071092612,4.455085547172259,1.000453495979309,0.00021085435530479604,0,0
0.1,0.25,GraphSAGEPairNorm,7,5,99.90587592124939,0.06706947845401402,0.08327775677465242,0.9873965740203857,0.015729617569627503,5,0
0.1,0.25,GraphSAGEPairNorm,8,5,99.90587711334229,0.1354204118447741,0.1681466500095829,0.9929945230484009,0.0045818054292875105,5,0
0.1,0.5,GraphSAGE,2,5,70.36470413208008,3.210708240222963,3.9866208306210233,0.9747709035873413,0.009702516714223024,0,0
0.1,0.5,GraphSAGE,7,5,99.70587849617004,0.28515629991391206,0.3540683114641004,0.6328856945037842,0.04836996911363882,5,0
0.1,0.5,GraphSAGE,8,5,49.99999701976776,0.0,0.0,3.576278686523438e-08,2.0669572501925565e-07,0,5
0.1,0.5,GraphSAGEPairNorm,2,5,83.623526096344,3.3235561874290784,4.1267400639380565,1.000453782081604,0.0002334110279458999,0,0
0.1,0.5,GraphSAGEPairNorm,7,5,99.88234758377075,0.13795155385618682,0.17128947791949514,0.9873270392417908,0.0115988542378423,5,0
0.1,0.5,GraphSAGEPairNorm,8,5,99.90587711334229,0.1533912514714163,0.19046039459147815,0.9907186508178711,0.008934138469386848,5,0
0.5,0.25,GraphSAGE,2,5,49.84705686569214,0.8711050010221476,1.0816197184244558,0.9911155223846435,0.0026866736822277948,0,5
0.5,0.25,GraphSAGE,7,5,49.91764426231384,0.18414636380151417,0.22864791033247342,0.13802398443222047,0.2456985180151545,0,5
0.5,0.25,GraphSAGE,8,5,50.02352595329285,1.2216328191223969,1.516857490528454,0.07872672080993652,0.2185804600133555,0,5
0.5,0.25,GraphSAGEPairNorm,2,5,49.599997997283936,0.8778302564293008,1.0899702259422432,1.0003490209579469,0.0005863879845198791,0,5
0.5,0.25,GraphSAGEPairNorm,7,5,49.305880069732666,1.0251172478853938,1.2728511806370197,0.9888175129890442,0.0036090496471604477,0,5
0.5,0.25,GraphSAGEPairNorm,8,5,50.764703154563904,1.308741467750476,1.625017163462122,0.9782644152641297,0.02068429011023732,0,4
0.5,0.5,GraphSAGE,2,5,50.89411497116089,0.6502580285182243,0.8074019835540373,0.9907388091087341,0.003775663063552474,0,5
0.5,0.5,GraphSAGE,7,5,50.14117419719696,0.5352625108877884,0.6646161893575185,0.23174750804901123,0.26400257894941614,0,5
0.5,0.5,GraphSAGE,8,5,50.17646789550781,0.3946008742036731,0.4899616991584343,9.5367431640625e-08,4.053636674036126e-08,0,5
0.5,0.5,GraphSAGEPairNorm,2,5,49.94117498397827,2.1649132158974655,2.688094799415421,1.000387191772461,0.0005134291362754854,0,5
0.5,0.5,GraphSAGEPairNorm,7,5,50.42352557182312,1.3435729008096382,1.668266099897528,0.9901721119880676,0.014937258245522455,0,4
0.5,0.5,GraphSAGEPairNorm,8,5,50.188233852386475,1.4819570590829336,1.840092727147211,0.9765646576881408,0.030082440326505804,0,4
0.9,0.25,GraphSAGE,2,5,61.729408502578735,1.447824322149318,1.7977113365365804,0.9864526629447937,0.006990790502871174,0,0
0.9,0.25,GraphSAGE,7,5,99.56470131874084,0.39591275026129225,0.4915906084292854,0.6842151761054993,0.2861190198837669,5,0
0.9,0.25,GraphSAGE,8,5,80.65881907939911,26.328682061700086,32.69137663616631,0.3726911783218384,0.44602959593548785,3,1
0.9,0.25,GraphSAGEPairNorm,2,5,69.97646689414978,2.6768271552705287,3.3237199081136195,1.000474786758423,0.0002439138994878006,0,0
0.9,0.25,GraphSAGEPairNorm,7,5,99.76470232009888,0.18130430122867341,0.2251190235551347,0.9891919016838073,0.0029185571855544234,5,0
0.9,0.25,GraphSAGEPairNorm,8,5,99.71764087677002,0.5663580513681191,0.7032264024766329,0.9890781283378601,0.00888971433896174,5,0
0.9,0.5,GraphSAGE,2,5,70.57646751403809,3.033947387323254,3.7671432432836625,0.9780399680137635,0.007039041420457687,0,0
0.9,0.5,GraphSAGE,7,5,99.42352533340454,0.38885841744090366,0.4828314973348617,0.7560100197792053,0.1143319446883088,5,0
0.9,0.5,GraphSAGE,8,5,99.72940683364868,0.31014970828607236,0.38510172683221644,0.5968265414237977,0.07721542526429244,5,0
0.9,0.5,GraphSAGEPairNorm,2,5,83.19999694824219,1.8954513567981532,2.353513710082749,1.0005119085311889,0.0002625886348386631,0,0
0.9,0.5,GraphSAGEPairNorm,7,5,99.78823184967041,0.14166331043352212,0.1758982324316684,0.991497528553009,0.005950687378964094,5,0
0.9,0.5,GraphSAGEPairNorm,8,5,99.95293617248535,0.10522458960032964,0.13065358463249577,0.9874064207077027,0.014192204014419486,5,0
